fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Normalized kNN (k=1000, min=3)	1.0	0.3984560972096738	0.33531283138918344	0.3512200627739991	0.28722331025919856
1	100	Normalized kNN (k=1000, min=3)	1.0	0.3959845294082545	0.343796394485684	0.3851200725972008	0.30420554480341266
4	100	Normalized kNN (k=1000, min=3)	1.0	0.36599172368207405	0.32704135737009543	0.34163845808641574	0.27987416170270557
3	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.7375636860751219	0.5244962884411453	0.6486597474076401	0.4851810304053033
1	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.7399016950045846	0.5277836691410392	0.6479581949242194	0.4868082474225153
4	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.7359293431534067	0.5274655355249205	0.6362017275714776	0.479963425774749
5	100	Normalized kNN (k=1000, min=3)	1.0	0.4268821344482076	0.32916224814422057	0.35880359303567766	0.2868251563927876
2	100	Normalized kNN (k=1000, min=3)	1.0	0.4256405664991387	0.34390243902439027	0.3656125847373903	0.2982751298705698
1	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.6563917698951605	0.47560975609756095	0.5861255875991395	0.4374874700259831
3	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.650845515779474	0.47391304347826085	0.5916799212405274	0.4389750168880569
5	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.7334270538777313	0.5310710498409332	0.6459656893708342	0.48976601324865976
4	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.6403690905943302	0.47783669141039237	0.5850493481686477	0.4362064684636694
1	100	kNN (k=20)	1.0	0.7290329201541461	0.5151643690349947	0.6239419400862559	0.47175606734757414
3	100	kNN (k=20)	1.0	0.734056521911731	0.5176033934252386	0.6233937837970402	0.4731265101314124
2	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.7359405432220669	0.5309650053022269	0.6405352932678553	0.48859861159064344
4	100	kNN (k=20)	1.0	0.7243533315329949	0.5135737009544009	0.6115146364851985	0.46398965986070456
5	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.6453255011720929	0.47900318133616115	0.592953422773204	0.4434982393939103
5	100	kNN (k=20)	1.0	0.7327776955913902	0.5203605514316013	0.6295224321539488	0.4765374841641434
