target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	7.133649412318637E-238	0.0
500	Popularity	iMF (test)	NaN	1.4574882796762043E-42	7.581441260707979E-12	1.9969361098577106E-4	5.918503191073768E-10
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	0.8064315002212548	0.7058154448332068	8.096835268807672E-11	6.47445824743403E-4
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	7.328222348967393E-232	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	2.045488394893764E-270	0.0
1682	kNN (full)	Normalized kNN (full)	NaN	0.0	0.0	2.856981711776547E-151	1.0732296927624785E-303
1682	kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	kNN (test)	NaN	0.4695868451245836	0.3880419355295698	0.637245019649034	0.3807379494958071
1682	kNN (full)	iMF (full)	NaN	2.4517665634823057E-42	4.880535961303899E-54	8.931572922595786E-23	2.4965102364374752E-48
1682	kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Popularity	NaN	0.0	0.0	1.2726595665790553E-260	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	6.072202422640895E-13	4.604885901628092E-58	1.3430997438292679E-34	1.0411433700943832E-49
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	2.4822851090595916E-198	2.9248884E-317	1.1338365680941565E-258	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	2.6527175E-317	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	2.2757402253129116E-305	0.0
20	Popularity	Average Rating	NaN	4.658902366748939E-10	0.051851259539802304	0.048444288923083584	0.6129781627442648
20	Popularity	Normalized kNN (full)	NaN	1.187015683364605E-26	4.525589218049781E-27	3.3868724155879163E-7	0.00128161232184977
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	4.8040925913909144E-5	9.908378455509588E-5	8.97836088796692E-37	1.0493094425093442E-6
50	Popularity	iMF (full)	NaN	0.0	0.0	1.912870207179533E-282	0.0
50	Popularity	iMF (test)	NaN	2.099348097885605E-41	2.50869444751012E-120	1.4532743417941497E-91	6.497310315039128E-128
50	Popularity	kNN (test)	NaN	0.0	0.0	1.2113601627409663E-266	0.0
50	Popularity	Normalized kNN (test)	NaN	5.571483181872084E-178	5.320183004280961E-103	1.238661827210095E-162	1.544831921631914E-155
50	Popularity	kNN (full)	NaN	0.0	0.0	3.6748761267115267E-249	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	2.404253392084245E-264	7.049904853383629E-270	1.1319356254847316E-304	0.0
5	iMF (full)	Normalized kNN (full)	NaN	2.471729775113536E-112	1.4202535959753108E-118	7.47868909134007E-145	5.293679024096475E-148
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	1.7015284913409273E-151	1.649945931840036E-69	8.802673364951335E-43	3.267154940474986E-61
5	iMF (full)	Average Rating	NaN	2.2031187244831998E-216	5.750975917905758E-96	2.677445200341004E-61	1.8757136807098798E-84
5	iMF (full)	Popularity	NaN	8.059261595968723E-192	1.8874132798755086E-190	1.9231189905899747E-166	8.110646619944808E-200
5	iMF (full)	kNN (full)	NaN	4.4887958551453796E-4	1.7316133165817483E-6	7.273232779693184E-7	2.380611553737075E-7
5	iMF (full)	kNN (test)	NaN	1.4958592984212133E-4	7.1946863191961075E-6	5.372090980544844E-7	5.781291984059611E-7
5	iMF (full)	iMF (test)	NaN	5.564270352616699E-28	0.03608639949074298	0.1615614904169348	0.06688022213675524
1682	Normalized kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	Normalized kNN (full)	iMF (test)	NaN	1.5621773105348771E-89	3.2642130764190186E-87	2.904778626209729E-89	1.8722640131608242E-107
1682	Normalized kNN (full)	kNN (test)	NaN	0.0	0.0	8.125737261399506E-149	2.1022770605909235E-296
1682	Normalized kNN (full)	iMF (full)	NaN	0.0	0.0	3.5931970815482055E-207	0.0
1682	Normalized kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	Normalized kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	Normalized kNN (full)	Popularity	NaN	3.3664177343810134E-8	2.4142076341285847E-9	7.175819779782122E-36	2.855028562332352E-27
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	0.0	0.0	0.0	0.0
