target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.09013785790031813	0.3535524920466596	0.3535524920466596	0.3535524920466596
500	Popularity	iMF (test)	1.0	0.05853658536585366	0.3187698833510074	0.3187698833510074	0.3187698833510074
500	Popularity	Random	1.0	0.055779427359490985	0.06193001060445387	0.06193001060445387	0.06193001060445387
500	Popularity	Normalized kNN (full)	1.0	0.07168610816542947	0.3391304347826087	0.3391304347826087	0.3391304347826087
500	Popularity	Normalized kNN (test)	1.0	0.05514316012725345	0.16288441145281018	0.16288441145281018	0.16288441145281018
500	Popularity	kNN (full)	1.0	0.08886532343584305	0.34676564156945916	0.34676564156945916	0.34676564156945916
500	Popularity	Average Rating	1.0	0.051961823966065745	0.08674443266171793	0.08674443266171793	0.08674443266171793
500	Popularity	iMF (full)	1.0	0.07974549310710498	0.3361611876988335	0.3361611876988335	0.3361611876988335
1682	kNN (full)	Normalized kNN (full)	1.0	0.1630965005302227	0.3630965005302227	0.3630965005302227	0.3630965005302227
1682	kNN (full)	Average Rating	1.0	0.18112407211028633	0.20424178154825026	0.20424178154825026	0.20424178154825026
1682	kNN (full)	iMF (test)	1.0	0.17136797454931071	0.2922587486744433	0.2922587486744433	0.2922587486744433
1682	kNN (full)	kNN (test)	1.0	0.3802757158006363	0.8025450689289502	0.8025450689289502	0.8025450689289502
1682	kNN (full)	iMF (full)	1.0	0.17476139978791091	0.4831389183457052	0.4831389183457052	0.4831389183457052
1682	kNN (full)	Random	1.0	0.18642629904559915	0.19427359490986215	0.19427359490986215	0.19427359490986215
1682	kNN (full)	Normalized kNN (test)	1.0	0.18154825026511134	0.22184517497348888	0.22184517497348888	0.22184517497348888
1682	kNN (full)	Popularity	1.0	0.17221633085896076	0.33255567338282077	0.33255567338282077	0.33255567338282077
20	Popularity	Random	1.0	0.030328738069989397	0.14846235418875928	0.14846235418875928	0.14846235418875928
20	Popularity	Normalized kNN (test)	1.0	0.042629904559915166	0.37751855779427357	0.37751855779427357	0.37751855779427357
