fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
5	5	Normalized kNN (k=1000, min=3)	0.9685185185185184	0.616038530745247	0.42592592592592593	0.6378667935827145	0.43792284055363173
5	50	Normalized kNN (k=1000, min=3)	1.0	0.2062426421308766	0.18703703703703703	0.2371301714086972	0.17451093779573354
5	10	Normalized kNN (k=1000, min=3)	1.0	0.4425381692503129	0.35185185185185186	0.5132543468715779	0.356826390105025
5	200	Normalized kNN (k=1000, min=3)	1.0	0.06345153395500207	0.06851851851851852	0.06650069303238078	0.057100331878651676
2	1	Normalized kNN (k=1000, min=3)	0.8185185185185185	0.713218382034659	0.4611111111111111	0.7108080455054214	0.4662846948929357
5	20	Normalized kNN (k=1000, min=3)	1.0	0.3979274400221949	0.3166666666666667	0.43884427567788103	0.31234780977659354
5	100	Normalized kNN (k=1000, min=3)	1.0	0.11021154623834349	0.10555555555555556	0.12665076244170945	0.09387189236929336
4	1012	Normalized kNN (k=1000, min=3)	1.0	0.021591285647269507	0.018518518518518517	0.00909599237784506	0.011089276388731925
4	20	Normalized kNN (k=1000, min=3)	1.0	0.3201120764311233	0.26481481481481484	0.35363569915377185	0.255173201368537
3	5	Normalized kNN (k=1000, min=3)	0.9629629629629629	0.6467749891315369	0.4555555555555556	0.6262785063509702	0.4454831510625891
3	1012	Normalized kNN (k=1000, min=3)	1.0	0.04212306023835419	0.046296296296296294	0.029318540725545558	0.032189992254195395
2	2	Normalized kNN (k=1000, min=3)	0.8611111111111112	0.7039311413925466	0.4555555555555556	0.7026069873043632	0.459785058001142
4	2	Normalized kNN (k=1000, min=3)	0.8925925925925926	0.6645754480567448	0.4555555555555556	0.7317956272698403	0.4676272533987626
4	500	Normalized kNN (k=1000, min=3)	1.0	0.02826622469516833	0.027777777777777776	0.013193707113857667	0.016563360459307223
1	50	Normalized kNN (k=1000, min=3)	1.0	0.24167205193588603	0.22407407407407406	0.2586701284275341	0.1996539654487703
3	1	Normalized kNN (k=1000, min=3)	0.862962962962963	0.705069264293172	0.5018518518518519	0.7046014180072151	0.4987323800471122
1	2	Normalized kNN (k=1000, min=3)	0.8962962962962963	0.7096917095815436	0.49074074074074076	0.7012107188011152	0.49080024993974464
3	2	Normalized kNN (k=1000, min=3)	0.8944444444444444	0.6868246825340847	0.4833333333333333	0.6818200327258298	0.47875470884395077
5	0	Normalized kNN (k=1000, min=3)	0.8166666666666667	0.7628105066940335	0.49074074074074076	0.7330094636262188	0.5085978087057191
2	50	Normalized kNN (k=1000, min=3)	1.0	0.20193095313422113	0.1962962962962963	0.2273685048351427	0.17082822881083498
5	2	Normalized kNN (k=1000, min=3)	0.9	0.6722469027646537	0.46481481481481485	0.7080587577805267	0.48503255355705555
4	50	Normalized kNN (k=1000, min=3)	1.0	0.1684187319656261	0.15	0.1840658708512074	0.1361746445012855
4	100	Normalized kNN (k=1000, min=3)	1.0	0.1295287799089911	0.11851851851851852	0.13235223469312682	0.10165069252794225
3	0	Normalized kNN (k=1000, min=3)	0.8351851851851853	0.7798288430303246	0.5166666666666666	0.7169871971502407	0.5116309393278113
4	200	Normalized kNN (k=1000, min=3)	1.0	0.0699251104824636	0.06851851851851852	0.06276985708474447	0.05421024154633872
3	50	Normalized kNN (k=1000, min=3)	1.0	0.1884404702909606	0.19074074074074077	0.22134367042982178	0.16591160765299784
5	1012	Normalized kNN (k=1000, min=3)	1.0	0.016875730082849663	0.018518518518518517	0.018341997508664176	0.015802645211297563
3	20	Normalized kNN (k=1000, min=3)	1.0	0.3792889260090296	0.3333333333333333	0.4231853361744666	0.31001279928829006
5	1	Normalized kNN (k=1000, min=3)	0.8555555555555556	0.6809344167274858	0.4703703703703703	0.7140772762990452	0.4907938704294835
3	10	Normalized kNN (k=1000, min=3)	1.0	0.5645364576534446	0.40925925925925927	0.5419062363305519	0.3915447429866873
3	200	Normalized kNN (k=1000, min=3)	1.0	0.06984631174437579	0.07222222222222222	0.051597540802452234	0.05077061601806451
