fold	target size	expected intersection ratio in top n
1	0	0.7457965599946738
2	0	0.753495840909379
3	0	0.7188026551338579
4	0	0.7426304452248665
5	0	0.7642684365109753
1	1	0.7252450448197506
2	1	0.7347789097041381
3	1	0.6957402270125661
4	1	0.7196311355475662
5	1	0.7491549257654488
1	2	0.7024486603997384
2	2	0.7150297256949278
3	2	0.6743588085946051
4	2	0.7008692467580606
5	2	0.7266418554425103
1	5	0.6243208409495573
2	5	0.6493633227315506
3	5	0.595066945254276
4	5	0.6227266789698789
5	5	0.6394008180163098
1	10	0.47133470243917563
2	10	0.4939562320434728
3	10	0.4620094017305237
4	10	0.47531888034657466
5	10	0.48590877967245744
1	20	0.31275919522647266
2	20	0.32033855937520983
3	20	0.3092774447830009
4	20	0.31579647657632104
5	20	0.3215482941095704
1	50	0.16220708728657612
2	50	0.1628912083495471
3	50	0.15922931614148758
4	50	0.16270752129563165
5	50	0.1631590673038724
1	100	0.09119786445230528
2	100	0.09159780974361144
3	100	0.0904762658187152
4	100	0.0913461903386138
5	100	0.09171645359387878
1	200	0.049312851579347595
2	200	0.04927511367649803
3	200	0.049067137608663006
4	200	0.04942768338110029
5	200	0.04947023169669704
1	500	0.020812332665821304
2	500	0.020800780311690442
3	500	0.020765290290316957
4	500	0.020842668358410418
5	500	0.020828575048247838
1	1012	0.01067708918382919
2	1012	0.010675817202830206
3	1012	0.010667429260620398
4	1012	0.010679902366589847
5	1012	0.01068239216431155
