target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	NaN	8.239384120885146E-12	1.1413572531919123E-10	9.490407173982154E-7	1.2591516144486738E-9
500	Popularity	iMF (test)	NaN	0.9008320238150527	0.16654628708641372	0.06816723252893847	0.09331645600039207
500	Popularity	Average Rating	NaN	1.887064876209138E-21	5.726248449652324E-25	2.2386751179112483E-17	9.449855751430033E-27
500	Popularity	Random	NaN	2.0446119174166653E-39	4.0345565839292E-36	1.3966153027762287E-28	2.0422017308725595E-40
500	Popularity	Normalized kNN (full)	0.3182091907828293	0.49229343948455107	0.47472504043391983	0.10717209796682159	0.2300111532938116
500	Popularity	iMF (full)	NaN	4.363370878657297E-8	3.1541601556783357E-12	6.25770176762443E-7	1.6971439915638352E-10
500	Popularity	Normalized kNN (test)	NaN	1.2501406722779499E-30	9.903621786237306E-27	9.506420069106614E-19	7.592530835883899E-29
1	Average Rating	iMF (test)	9.78560191584851E-7	0.25925380589927094	0.05217491349190139	0.01800992505998694	0.024060845478029936
1	Average Rating	iMF (full)	9.78560191584851E-7	0.26582811620424973	0.21502997483813524	0.16049951898137638	0.2197994738795117
1	Average Rating	Normalized kNN (test)	1.2168479550001742E-25	0.020821999357451663	2.3564786497377926E-5	9.63795708446091E-10	1.3007526112512181E-8
1	Average Rating	Normalized kNN (full)	5.580968268848912E-51	6.966328382844388E-16	8.096918912365547E-22	4.7992991621218995E-31	1.6091228231215577E-29
1	Average Rating	kNN (full/test)	1.8033749166002487E-11	0.052308948655716045	0.04719774782084716	0.8378675872671864	0.19637527428079282
1	Average Rating	Random	9.78560191584851E-7	2.5905415880311668E-11	1.2660129644244672E-8	3.4092666821075236E-5	8.49047252051386E-8
1	Average Rating	Popularity	NaN	0.9793403802821653	0.9589300451940226	0.6336503357010267	0.8124430245265297
50	Normalized kNN (test)	Popularity	0.0832623780061456	1.215815800242771E-10	1.8695594972120165E-5	1.02516980448075E-5	6.932322829877298E-7
50	Normalized kNN (test)	Normalized kNN (full)	1.6282809384763705E-37	1.1080330732034564E-14	1.1056386715377895E-6	9.88217181960295E-4	8.102401326477103E-6
