fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	Random	0.8333333333333334	0.6808742180271878	0.48148148148148145	0.7185968379694662	0.4948376393017214
1	0	iMF (full)	0.8333333333333334	0.7270142333760091	0.5185185185185185	0.7334326800757593	0.5139592221536583
1	0	Popularity	0.825925925925926	0.7481787602427226	0.5148148148148148	0.737966314336096	0.5160448075919364
1	0	Normalized kNN (test)	0.7611111111111112	0.7235895047491189	0.49074074074074076	0.6712826236446572	0.4822727681812686
1	0	Average Rating	0.825925925925926	0.7750814773930164	0.5092592592592593	0.7249099642119619	0.5094068916048545
1	0	Normalized kNN (full)	0.5944444444444444	0.6048741650420645	0.39629629629629626	0.48766800092833196	0.36425009888597515
1	0	kNN (full/test)	0.8203703703703703	0.7474780416140078	0.5222222222222223	0.7159483125913918	0.5146424070830885
1	0	iMF (test)	0.8333333333333334	0.7576376061720924	0.5240740740740741	0.7334714108571636	0.5192915782933344
2	0	Random	0.7851851851851852	0.6858203518840494	0.4388888888888889	0.6996183730825188	0.45126859248583234
2	0	iMF (full)	0.7851851851851852	0.752297887071016	0.48333333333333334	0.7288483722072343	0.4843826644597512
2	0	Popularity	0.774074074074074	0.7326501291017535	0.4703703703703703	0.7203403374859642	0.4788949308575945
2	0	Normalized kNN (test)	0.7277777777777777	0.7426920906525949	0.45925925925925926	0.6877775731185044	0.4550351301466443
2	0	Average Rating	0.774074074074074	0.7395355369561197	0.4666666666666667	0.7203243484612014	0.4741004344804454
2	0	Normalized kNN (full)	0.5703703703703704	0.5614527245479028	0.3574074074074074	0.43069136145562426	0.31908312248084836
2	0	kNN (full/test)	0.7703703703703704	0.7637052109926129	0.49074074074074076	0.7283432301131052	0.4867401198670912
2	0	iMF (test)	0.7851851851851852	0.7480538782583271	0.48518518518518516	0.7344563706934147	0.4879659194876445
3	0	Random	0.8351851851851853	0.675573744294637	0.46481481481481485	0.6687287354195567	0.4663693124396117
3	0	iMF (full)	0.8351851851851853	0.7705260382633725	0.5203703703703704	0.7125527169488521	0.510438513856426
3	0	Popularity	0.8277777777777778	0.7588117031847514	0.5222222222222223	0.7107509707268161	0.5130260414418677
3	0	Normalized kNN (test)	0.7481481481481481	0.7250830020857981	0.4740740740740741	0.6111362271326038	0.4547621666093654
3	0	Average Rating	0.8277777777777778	0.7554089220080116	0.5407407407407407	0.7172929680538376	0.5228080029212635
3	0	Normalized kNN (full)	0.5685185185185185	0.6069619386572299	0.38148148148148153	0.4484346934105388	0.34651179419841033
3	0	kNN (full/test)	0.8166666666666667	0.7824822291308897	0.5259259259259259	0.7114448807262818	0.5133328699921603
3	0	iMF (test)	0.8351851851851853	0.7565783521999115	0.5185185185185185	0.7159020966629662	0.5107487713868198
4	0	Random	0.8222222222222222	0.6829117132654176	0.4740740740740741	0.7498254009940584	0.49212898476251
