target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	1.0	0.25925925925925924	0.5370370370370371	0.5370370370370371	0.5370370370370371
500	Popularity	iMF (test)	1.0	0.25925925925925924	0.46296296296296297	0.46296296296296297	0.46296296296296297
500	Popularity	Average Rating	1.0	0.2777777777777778	0.3333333333333333	0.3333333333333333	0.3333333333333333
500	Popularity	Random	1.0	0.2777777777777778	0.35185185185185186	0.35185185185185186	0.35185185185185186
500	Popularity	Normalized kNN (full)	1.0	0.24074074074074073	0.42592592592592593	0.42592592592592593	0.42592592592592593
500	Popularity	iMF (full)	1.0	0.18518518518518517	0.3148148148148148	0.3148148148148148	0.3148148148148148
500	Popularity	Normalized kNN (test)	1.0	0.2962962962962963	0.4074074074074074	0.4074074074074074	0.4074074074074074
50	Normalized kNN (test)	Popularity	1.0	0.09259259259259259	0.37037037037037035	0.37037037037037035	0.37037037037037035
50	Normalized kNN (test)	Normalized kNN (full)	0.48148148148148145	0.12962962962962962	0.35185185185185186	0.35185185185185186	0.35185185185185186
50	Normalized kNN (test)	iMF (full)	1.0	0.14814814814814814	0.35185185185185186	0.35185185185185186	0.35185185185185186
50	Normalized kNN (test)	Random	1.0	0.07407407407407407	0.14814814814814814	0.14814814814814814	0.14814814814814814
50	Normalized kNN (test)	iMF (test)	1.0	0.09259259259259259	0.2962962962962963	0.2962962962962963	0.2962962962962963
50	Normalized kNN (test)	Average Rating	1.0	0.1111111111111111	0.3148148148148148	0.3148148148148148	0.3148148148148148
50	Normalized kNN (test)	kNN (full/test)	1.0	0.1111111111111111	0.3333333333333333	0.3333333333333333	0.3333333333333333
1	Average Rating	iMF (test)	0.9444444444444444	0.09259259259259259	0.6111111111111112	0.6111111111111112	0.6111111111111112
1	Average Rating	iMF (full)	0.9444444444444444	0.037037037037037035	0.46296296296296297	0.46296296296296297	0.46296296296296297
1	Average Rating	Normalized kNN (test)	0.5555555555555556	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.4444444444444444
1	Average Rating	Normalized kNN (full)	0.25925925925925924	0.05555555555555555	0.2222222222222222	0.2222222222222222	0.2222222222222222
1	Average Rating	kNN (full/test)	0.9074074074074074	0.05555555555555555	0.5740740740740741	0.5740740740740741	0.5740740740740741
