target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	NaN	1.3672063072395244E-10	2.6322062558107877E-8	2.103130831822194E-7	9.652201947078772E-9
500	Popularity	iMF (test)	NaN	0.47321514696172984	0.791833976036152	0.0934597718329141	0.4682051350839722
500	Popularity	Average Rating	NaN	1.4815048253726091E-22	8.728591975472917E-27	1.5682141578615865E-18	3.060522521712844E-28
500	Popularity	Random	NaN	5.736478261937521E-41	2.3001974095865855E-36	3.5886866093841654E-31	6.009045591469788E-41
500	Popularity	Normalized kNN (full)	NaN	0.6355967318265896	0.9314768000961249	0.018022523077895453	0.24889679404809972
500	Popularity	iMF (full)	NaN	5.996243811616628E-9	3.221329244765471E-11	6.53154535857531E-7	6.757747767965258E-10
500	Popularity	Normalized kNN (test)	NaN	2.626543812298034E-28	1.48661382966427E-26	9.513671690581932E-18	7.693638898788929E-28
1	Average Rating	iMF (test)	NaN	0.015286093601241188	0.05661197243810223	0.004779017751786537	0.014474471121755966
1	Average Rating	iMF (full)	NaN	0.2926988580984695	0.5073038039607252	0.5652458848557296	0.6466389674531807
1	Average Rating	Normalized kNN (test)	NaN	0.015798929370908456	0.3427195072246011	0.15419350622154837	0.29827631554627276
1	Average Rating	Normalized kNN (full)	NaN	0.3490136501709792	0.48051944083640075	0.3571391393002662	0.2031739582504316
1	Average Rating	kNN (full/test)	NaN	3.8765756167084657E-4	0.003812719423961071	0.0016636322573914573	0.0027288943602502497
1	Average Rating	Random	NaN	8.241890807766018E-9	6.62515287029505E-9	1.2257595564353961E-6	6.549342154017484E-9
1	Average Rating	Popularity	NaN	0.4837760691509986	0.8791255886587112	0.30575504631226436	0.5272370654836352
50	Normalized kNN (test)	Popularity	NaN	1.5096547200145495E-9	1.1972161132956707E-5	7.77177436054251E-5	1.4906008181454923E-6
50	Normalized kNN (test)	Normalized kNN (full)	NaN	3.7119358576429653E-19	7.127359458961399E-13	2.8982267554507645E-6	1.4099379268378964E-10
50	Normalized kNN (test)	iMF (full)	NaN	2.601977594055853E-26	2.13361623921842E-21	9.584049054967172E-15	1.1932070969855703E-20
50	Normalized kNN (test)	Random	NaN	1.4100714368412626E-30	9.048683863007376E-33	1.632542053207215E-24	2.0885429916013286E-33
50	Normalized kNN (test)	iMF (test)	NaN	2.6117876043012406E-19	1.7405024550887539E-15	1.2353884478677042E-12	9.005713964645034E-16
50	Normalized kNN (test)	Average Rating	NaN	2.66899690838592E-21	8.116157116963683E-27	1.078181733009342E-22	7.942086604330057E-28
50	Normalized kNN (test)	kNN (full/test)	NaN	5.059707873165104E-34	4.902545726928769E-24	6.393664286898153E-17	7.168957715154398E-24
