target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	1.0	0.24444444444444444	0.5	0.5	0.5
500	Popularity	iMF (test)	1.0	0.2111111111111111	0.4185185185185185	0.4185185185185185	0.4185185185185185
500	Popularity	Average Rating	1.0	0.2814814814814815	0.37777777777777777	0.37777777777777777	0.37777777777777777
500	Popularity	Random	1.0	0.2962962962962963	0.32592592592592595	0.32592592592592595	0.32592592592592595
500	Popularity	Normalized kNN (full)	1.0	0.21481481481481482	0.3962962962962963	0.3962962962962963	0.3962962962962963
500	Popularity	iMF (full)	1.0	0.2037037037037037	0.3962962962962963	0.3962962962962963	0.3962962962962963
500	Popularity	Normalized kNN (test)	1.0	0.2851851851851852	0.3888888888888889	0.3888888888888889	0.3888888888888889
1	Average Rating	iMF (test)	1.0	0.11851851851851852	0.6777777777777778	0.6777777777777778	0.6777777777777778
1	Average Rating	iMF (full)	1.0	0.1037037037037037	0.6259259259259259	0.6259259259259259	0.6259259259259259
1	Average Rating	Normalized kNN (test)	1.0	0.15185185185185185	0.6814814814814815	0.6814814814814815	0.6814814814814815
1	Average Rating	Normalized kNN (full)	1.0	0.11481481481481481	0.6148148148148148	0.6148148148148148	0.6148148148148148
1	Average Rating	kNN (full/test)	1.0	0.13703703703703704	0.6555555555555556	0.6555555555555556	0.6555555555555556
1	Average Rating	Random	1.0	0.08518518518518518	0.6148148148148148	0.6148148148148148	0.6148148148148148
1	Average Rating	Popularity	1.0	0.10740740740740741	0.6222222222222222	0.6222222222222222	0.6222222222222222
50	Normalized kNN (test)	Popularity	1.0	0.08148148148148149	0.34444444444444444	0.34444444444444444	0.34444444444444444
50	Normalized kNN (test)	Normalized kNN (full)	1.0	0.09259259259259259	0.34814814814814815	0.34814814814814815	0.34814814814814815
50	Normalized kNN (test)	iMF (full)	1.0	0.07777777777777778	0.3333333333333333	0.3333333333333333	0.3333333333333333
50	Normalized kNN (test)	Random	1.0	0.11481481481481481	0.22592592592592592	0.22592592592592592	0.22592592592592592
50	Normalized kNN (test)	iMF (test)	1.0	0.06666666666666667	0.3111111111111111	0.3111111111111111	0.3111111111111111
50	Normalized kNN (test)	Average Rating	1.0	0.15555555555555556	0.3074074074074074	0.3074074074074074	0.3074074074074074
50	Normalized kNN (test)	kNN (full/test)	1.0	0.08888888888888889	0.4074074074074074	0.4074074074074074	0.4074074074074074
1012	Random	Normalized kNN (full)	1.0	0.45555555555555555	0.48148148148148145	0.48148148148148145	0.48148148148148145
1012	Random	Popularity	1.0	0.3814814814814815	0.3962962962962963	0.3962962962962963	0.3962962962962963
1012	Random	kNN (full/test)	1.0	0.3037037037037037	0.32592592592592595	0.32592592592592595	0.32592592592592595
1012	Random	iMF (full)	1.0	0.3148148148148148	0.337037037037037	0.337037037037037	0.337037037037037
1012	Random	Average Rating	1.0	0.6407407407407407	0.6481481481481481	0.6481481481481481	0.6481481481481481
1012	Random	iMF (test)	1.0	0.4148148148148148	0.44074074074074077	0.44074074074074077	0.44074074074074077
1012	Random	Normalized kNN (test)	1.0	0.7111111111111111	0.737037037037037	0.737037037037037	0.737037037037037
20	Popularity	Random	1.0	0.05925925925925926	0.18518518518518517	0.18518518518518517	0.18518518518518517
20	Popularity	Normalized kNN (test)	1.0	0.07407407407407407	0.4444444444444444	0.4444444444444444	0.4444444444444444
20	Popularity	iMF (full)	1.0	0.08148148148148149	0.4666666666666667	0.4666666666666667	0.4666666666666667
20	Popularity	iMF (test)	1.0	0.07777777777777778	0.45555555555555555	0.45555555555555555	0.45555555555555555
20	Popularity	kNN (full/test)	1.0	0.11481481481481481	0.44814814814814813	0.44814814814814813	0.44814814814814813
20	Popularity	Average Rating	1.0	0.06296296296296296	0.2777777777777778	0.2777777777777778	0.2777777777777778
