fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	10681	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.1391587375476601	0.10524628638484217	0.11062632587245738	0.0861812302573342
3	10681	Random	1.0	0.0015856932144870679	0.001408168522281691	9.295048823930634E-4	8.449039879262167E-4
5	10681	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.13891143890117552	0.10488422679527176	0.11073454490215053	0.08606234512142495
3	10681	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.22779659191267573	0.17240762471736454	0.16502191181285195	0.13431673329125762
3	10681	Average Rating	1.0	0.00771184401665007	0.007756375397120696	0.009639643319756629	0.006884865085583893
1	10681	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.1391796979693861	0.10522625146684221	0.11116322840957953	0.08610286835653082
5	10681	Random	1.0	0.0015490007974563	0.0013924268009960219	9.26106308060739E-4	8.789489880757508E-4
3	10681	kNN (k=400)	1.0	0.3255389933766602	0.22985488995105754	0.25032344269257756	0.1899359805326448
3	10681	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.2557892216871484	0.18976645009874352	0.2027465025631148	0.15622454658017912
3	10681	kNN (k=10)	1.0	0.30250802963963835	0.21472995792667218	0.23712325595696968	0.17855057849136893
3	10681	kNN (k=40)	1.0	0.34003495960519303	0.2393213887060305	0.26561134840242384	0.19968855022992393
3	10681	kNN (k=800)	1.0	0.3144854851664183	0.2228598414379347	0.2406511777412038	0.1833564187561833
3	10681	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.18976514376393064	0.1451830332865852	0.1454361494906972	0.11621498070147675
3	10681	kNN (k=80)	1.0	0.34160276324128414	0.24003119722945707	0.2657335118552209	0.19996303782394872
3	10681	kNN (k=300)	1.0	0.3294814745068388	0.2324823263401929	0.2538214552952881	0.19240150811780332
5	10681	kNN (k=80)	1.0	0.34213710454855983	0.2404533615730273	0.26611759411360175	0.20002667828075194
3	10681	kNN (k=100)	1.0	0.3406597198041313	0.23956753198431552	0.264581728905215	0.19933615235180127
5	10681	kNN (k=10)	1.0	0.30116110717417044	0.21416039382924526	0.23646949360016054	0.17797747012111892
3	10681	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.2987240242020254	0.2187398036578036	0.22462567229541353	0.17509575269377847
3	10681	kNN (k=700)	1.0	0.3167625392850013	0.2243152351240734	0.24260949323398737	0.18470126918464946
