target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
0	kNN (k=4000)	iMF (k=10, lambda=10.0, alpha=100.0)	9.445032771401586E-4	0.025415724548498813	0.025415724548498813	0.025415724548498813	0.025415724548498813
0	kNN (k=4000)	kNN (k=40)	9.445032771401586E-4	0.02588797618706889	0.02588797618706889	0.02588797618706889	0.02588797618706889
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=10.0)	9.445032771401586E-4	0.025759180285640688	0.025759180285640688	0.025759180285640688	0.025759180285640688
0	kNN (k=4000)	kNN (k=80)	9.445032771401586E-4	0.025902286842783135	0.025902286842783135	0.025902286842783135	0.025902286842783135
0	kNN (k=4000)	Normalized kNN (k=10, min=3)	9.445032771401586E-4	0.025787801597069178	0.025787801597069178	0.025787801597069178	0.025787801597069178
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=1.0)	9.445032771401586E-4	0.026231431924210766	0.026231431924210766	0.026231431924210766	0.026231431924210766
0	kNN (k=4000)	Normalized kNN (k=70, min=3)	9.445032771401586E-4	0.025630384384212484	0.025630384384212484	0.025630384384212484	0.025630384384212484
0	kNN (k=4000)	Normalized kNN (k=700, min=3)	9.445032771401586E-4	0.025573141761355507	0.025573141761355507	0.025573141761355507	0.025573141761355507
0	kNN (k=4000)	kNN (k=2000)	9.445032771401586E-4	0.026460402415638684	0.026460402415638684	0.026460402415638684	0.026460402415638684
0	kNN (k=4000)	Normalized kNN (k=5000, min=3)	9.445032771401586E-4	0.02555883110564126	0.02555883110564126	0.02555883110564126	0.02555883110564126
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=1.0)	9.445032771401586E-4	0.025730558974212198	0.025730558974212198	0.025730558974212198	0.025730558974212198
0	kNN (k=4000)	kNN (k=200)	9.445032771401586E-4	0.02611694667849681	0.02611694667849681	0.02611694667849681	0.02611694667849681
0	kNN (k=4000)	Normalized kNN (k=60, min=3)	9.445032771401586E-4	0.02561607372849824	0.02561607372849824	0.02561607372849824	0.02561607372849824
0	kNN (k=4000)	iMF (k=50, lambda=1.0, alpha=100.0)	9.445032771401586E-4	0.025358481925641833	0.025358481925641833	0.025358481925641833	0.025358481925641833
0	kNN (k=4000)	iMF (k=5, lambda=10.0, alpha=10.0)	9.445032771401586E-4	0.025973840121354362	0.025973840121354362	0.025973840121354362	0.025973840121354362
0	kNN (k=4000)	Normalized kNN (k=800, min=3)	9.445032771401586E-4	0.025544520449927017	0.025544520449927017	0.025544520449927017	0.025544520449927017
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=10.0)	9.445032771401586E-4	0.025973840121354362	0.025973840121354362	0.025973840121354362	0.025973840121354362
0	kNN (k=4000)	Random	9.445032771401586E-4	0.025716248318497954	0.025716248318497954	0.025716248318497954	0.025716248318497954
0	kNN (k=4000)	Normalized kNN (k=100, min=3)	9.445032771401586E-4	0.02558745241706975	0.02558745241706975	0.02558745241706975	0.02558745241706975
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=100.0)	9.445032771401586E-4	0.025372792581356076	0.025372792581356076	0.025372792581356076	0.025372792581356076
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=100.0)	9.445032771401586E-4	0.025430035204213056	0.025430035204213056	0.025430035204213056	0.025430035204213056
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=10.0)	9.445032771401586E-4	0.025973840121354362	0.025973840121354362	0.025973840121354362	0.025973840121354362
0	kNN (k=4000)	kNN (k=30)	9.445032771401586E-4	0.025902286842783135	0.025902286842783135	0.025902286842783135	0.025902286842783135
0	kNN (k=4000)	kNN (k=100)	9.445032771401586E-4	0.02600246143278285	0.02600246143278285	0.02600246143278285	0.02600246143278285
0	kNN (k=4000)	kNN (k=70)	9.445032771401586E-4	0.025902286842783135	0.025902286842783135	0.025902286842783135	0.025902286842783135
0	kNN (k=4000)	iMF (k=10, lambda=0.1, alpha=1.0)	9.445032771401586E-4	0.026074014711354076	0.026074014711354076	0.026074014711354076	0.026074014711354076
0	kNN (k=4000)	iMF (k=50, lambda=1.0, alpha=1.0)	9.445032771401586E-4	0.025730558974212198	0.025730558974212198	0.025730558974212198	0.025730558974212198
0	kNN (k=4000)	Normalized kNN (k=4000, min=3)	9.445032771401586E-4	0.025573141761355507	0.025573141761355507	0.025573141761355507	0.025573141761355507
0	kNN (k=4000)	Normalized kNN (k=1000, min=3)	9.445032771401586E-4	0.02558745241706975	0.02558745241706975	0.02558745241706975	0.02558745241706975
0	kNN (k=4000)	Normalized kNN (k=200, min=3)	9.445032771401586E-4	0.02567331635135522	0.02567331635135522	0.02567331635135522	0.02567331635135522
0	kNN (k=4000)	Popularity	9.445032771401586E-4	0.026202810612782276	0.026202810612782276	0.026202810612782276	0.026202810612782276
0	kNN (k=4000)	kNN (k=400)	9.445032771401586E-4	0.026131257334211053	0.026131257334211053	0.026131257334211053	0.026131257334211053
0	kNN (k=4000)	Normalized kNN (k=30, min=3)	9.445032771401586E-4	0.025659005695640974	0.025659005695640974	0.025659005695640974	0.025659005695640974
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=100.0)	9.445032771401586E-4	0.025372792581356076	0.025372792581356076	0.025372792581356076	0.025372792581356076
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=100.0)	9.445032771401586E-4	0.025573141761355507	0.025573141761355507	0.025573141761355507	0.025573141761355507
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=10.0)	9.445032771401586E-4	0.025487277827070037	0.025487277827070037	0.025487277827070037	0.025487277827070037
0	kNN (k=4000)	Average Rating	9.445032771401586E-4	0.02553020979421277	0.02553020979421277	0.02553020979421277	0.02553020979421277
0	kNN (k=4000)	kNN (k=3000)	9.445032771401586E-4	0.026560577005638398	0.026560577005638398	0.026560577005638398	0.026560577005638398
0	kNN (k=4000)	kNN (k=700)	9.445032771401586E-4	0.026217121268496523	0.026217121268496523	0.026217121268496523	0.026217121268496523
0	kNN (k=4000)	kNN (k=20)	9.445032771401586E-4	0.02588797618706889	0.02588797618706889	0.02588797618706889	0.02588797618706889
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=1.0)	9.445032771401586E-4	0.02605970405563983	0.02605970405563983	0.02605970405563983	0.02605970405563983
0	kNN (k=4000)	Normalized kNN (k=2000, min=3)	9.445032771401586E-4	0.02555883110564126	0.02555883110564126	0.02555883110564126	0.02555883110564126
0	kNN (k=4000)	Normalized kNN (k=80, min=3)	9.445032771401586E-4	0.025630384384212484	0.025630384384212484	0.025630384384212484	0.025630384384212484
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=1.0)	9.445032771401586E-4	0.025787801597069178	0.025787801597069178	0.025787801597069178	0.025787801597069178
0	kNN (k=4000)	Normalized kNN (k=400, min=3)	9.445032771401586E-4	0.02558745241706975	0.02558745241706975	0.02558745241706975	0.02558745241706975
0	kNN (k=4000)	Normalized kNN (k=3000, min=3)	9.445032771401586E-4	0.025601763072783994	0.025601763072783994	0.025601763072783994	0.025601763072783994
0	kNN (k=4000)	kNN (k=60)	9.445032771401586E-4	0.025902286842783135	0.025902286842783135	0.025902286842783135	0.025902286842783135
0	kNN (k=4000)	kNN (k=300)	9.445032771401586E-4	0.02608832536706832	0.02608832536706832	0.02608832536706832	0.02608832536706832
0	kNN (k=4000)	Normalized kNN (k=40, min=3)	9.445032771401586E-4	0.02567331635135522	0.02567331635135522	0.02567331635135522	0.02567331635135522
0	kNN (k=4000)	kNN (k=5000)	9.445032771401586E-4	0.02660350897278113	0.02660350897278113	0.02660350897278113	0.02660350897278113
0	kNN (k=4000)	kNN (k=600)	9.445032771401586E-4	0.026231431924210766	0.026231431924210766	0.026231431924210766	0.026231431924210766
0	kNN (k=4000)	iMF (k=10, lambda=0.1, alpha=10.0)	9.445032771401586E-4	0.025773490941354935	0.025773490941354935	0.025773490941354935	0.025773490941354935
0	kNN (k=4000)	iMF (k=10, lambda=10.0, alpha=1.0)	9.445032771401586E-4	0.026074014711354076	0.026074014711354076	0.026074014711354076	0.026074014711354076
0	kNN (k=4000)	kNN (k=1000)	9.445032771401586E-4	0.026288674547067747	0.026288674547067747	0.026288674547067747	0.026288674547067747
0	kNN (k=4000)	iMF (k=5, lambda=10.0, alpha=100.0)	9.445032771401586E-4	0.025573141761355507	0.025573141761355507	0.025573141761355507	0.025573141761355507
0	kNN (k=4000)	iMF (k=10, lambda=10.0, alpha=10.0)	9.445032771401586E-4	0.025716248318497954	0.025716248318497954	0.025716248318497954	0.025716248318497954
0	kNN (k=4000)	Normalized kNN (k=500, min=3)	9.445032771401586E-4	0.025573141761355507	0.025573141761355507	0.025573141761355507	0.025573141761355507
0	kNN (k=4000)	kNN (k=900)	9.445032771401586E-4	0.026288674547067747	0.026288674547067747	0.026288674547067747	0.026288674547067747
0	kNN (k=4000)	kNN (k=10)	9.445032771401586E-4	0.025845044219926158	0.025845044219926158	0.025845044219926158	0.025845044219926158
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=1.0)	9.445032771401586E-4	0.026231431924210766	0.026231431924210766	0.026231431924210766	0.026231431924210766
