fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	1	Average Rating	0.8831620824866195	0.7602481584817052	0.542458284438593	0.6756764786405903	0.4947158482869162
1	5	Average Rating	0.9796502475743438	0.637245000690117	0.4748862302870717	0.5987238173356174	0.42910054398346004
1	1	iMF (test)	0.8831635135521909	0.8231314561591271	0.5725149546352214	0.6979234715317207	0.5179793809410749
1	5	iMF (test)	0.9796502475743438	0.8128523281688842	0.5662239903832393	0.6910854381919066	0.5120492413096702
1	100	Average Rating	1.0	0.2545932797041388	0.1799335985574859	0.15698935014205442	0.1330765277051401
1	100	iMF (test)	1.0	0.5549775543627857	0.4065442628581242	0.4777759667568637	0.3553315444740706
2	100	Average Rating	1.0	0.2666134247724585	0.18799765305246285	0.1615976554230351	0.13824820921885395
2	100	iMF (test)	1.0	0.5556086637709102	0.4088797618706889	0.4676570544176481	0.35333879660279577
1	20	Average Rating	1.0	0.4549196341674938	0.3484658977074329	0.38512037436166546	0.2934410297750826
3	100	Average Rating	1.0	0.2579837025207283	0.18686138698875182	0.15970161001584088	0.13728912938368695
3	5	Average Rating	0.9800051518360572	0.6327351298962973	0.4732834368470763	0.5972633632483665	0.4285734376953776
1	20	iMF (test)	1.0	0.7400659503261563	0.5254743982369272	0.638248805637561	0.4712760184134779
3	100	iMF (test)	1.0	0.5550459749331226	0.4065657288416955	0.4719775244539458	0.35429542947247133
2	5	Average Rating	0.979980823721343	0.6378112985691134	0.47578923266264056	0.5989537073666845	0.43034652410853746
3	5	iMF (test)	0.9800051518360572	0.810476085908584	0.566704828415238	0.690751567813628	0.5131846498723736
2	5	iMF (test)	0.979980823721343	0.81213679997587	0.566657603251381	0.690620113015915	0.5129554605039994
1	0	Average Rating	0.8473181831191505	0.8031105855179109	0.5588039153954034	0.6926821693766801	0.5104211919258916
1	0	iMF (test)	0.8473224763158648	0.8254410688462666	0.5739445891410744	0.6996394353719759	0.5194618222671387
2	100	Random	1.0	0.11305070351744817	0.09814104582271961	0.08358955832581282	0.07102277536862603
2	2000	Average Rating	1.0	0.06674752294204021	0.046243452875010735	0.03990448351740664	0.033494936749132134
2	2000	iMF (test)	1.0	0.2590479935941286	0.19474226509058645	0.21471138978148388	0.16313898574097205
1	1	Random	0.8831635135521909	0.6181176975377033	0.4464738544320101	0.6110795638591828	0.42789649690085546
1	5	Normalized kNN (full)	0.617328773004379	0.5829406677943999	0.41180199776753773	0.40245342035934817	0.3320391248193265
1	5	Random	0.9796502475743438	0.5094239861288636	0.3836314719940468	0.523655420526689	0.36200333272569923
1	100	Random	1.0	0.11147360642897693	0.09594006697386875	0.08155919779656531	0.06945302001244968
