fold	target size	expected intersection ratio in top n
3	100	0.08095676506787168
3	200	0.044888886339210336
2	100	0.08103799976700365
1	100	0.08105167410099832
5	100	0.08101505836201481
3	50	0.1387912937520626
2	200	0.044916564676783274
3	5	0.48066391592630203
1	200	0.04491738263276759
3	2000	0.005104819261312887
5	200	0.04491738962439748
4	100	0.08107693001716232
4	5	0.4814181100575984
2	5	0.4804910214896485
2	1	0.5585125659219842
4	2000	0.005105330288978172
2	0	0.5745289867164669
5	5	0.4797358439809709
2	50	0.13888404078017474
4	1	0.5585141251533932
3	20	0.2561661444327782
1	50	0.13889283428631438
3	3706	0.00280427991504091
4	200	0.04491334183717849
5	50	0.13889752182660425
4	20	0.2565426808474318
2	20	0.25614964765610576
2	2000	0.005105492640980908
4	3706	0.002804339765194753
5	20	0.25619818127826044
4	2	0.5413876289865213
3	10	0.373104035668761
1	2000	0.005106072315783299
3	1000	0.010033771408096678
4	50	0.13897348769761445
5	2000	0.005105453808323767
2	3706	0.0028044388235634035
2	10	0.37257358759635223
4	1000	0.01003444105252246
5	10	0.3726687000265239
4	10	0.3734889693185696
4	0	0.5746066957475039
3	1	0.5573700344013601
4	500	0.01944546394903344
1	3706	0.002804512266441185
2	2	0.5412960300996517
5	3706	0.002804370302171929
5	1	0.5589015652156664
5	500	0.019444955238779787
3	2	0.5402833418984896
1	1000	0.01003732850637992
5	0	0.5749936327056513
5	1000	0.010035059488542882
5	2	0.5410983325835493
3	500	0.01943966869206925
2	500	0.019447717104937288
3	0	0.5735480625803838
1	500	0.019450694239346224
1	10	0.3732070485193867
1	0	0.5746580457490925
1	5	0.480621996780222
2	1000	0.010035014101010322
1	20	0.2563886121104632
1	1	0.5581710396462685
1	2	0.5406588674483495
