fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	0	iMF (k=5, lambda=3.0, alpha=1.0)	0.8848509933774834	0.8317341020569807	0.6492384105960265	0.6146654694741623	0.5207999148376024
3	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8848509933774834	0.8479093643852822	0.6631788079470199	0.6225412378495077	0.5298092021705527
3	0	kNN (k=20)	0.8848509933774834	0.8311828309525137	0.6515728476821192	0.6129894100030303	0.5202119453966499
3	0	iMF (k=30, lambda=5.0, alpha=5.0)	0.8848509933774834	0.849131668348631	0.6659271523178808	0.6219625894402272	0.5300340390894063
3	0	iMF (k=10, lambda=1.0, alpha=15.0)	0.8848509933774834	0.857474335808527	0.6722350993377484	0.6260379734094186	0.5346150279146568
3	0	iMF (k=10, lambda=0.1, alpha=1.0)	0.8848509933774834	0.8376715843310731	0.6557615894039736	0.6171182495665299	0.5240151527706028
3	0	iMF (k=10, lambda=0.5, alpha=15.0)	0.8848509933774834	0.8578654592652827	0.6728476821192053	0.6266388979480206	0.5351364973774589
3	0	Average Rating	0.8848509933774834	0.8471703424652345	0.6630298013245033	0.6241812000315319	0.5309915748720271
3	0	iMF (k=5, lambda=1.0, alpha=10.0)	0.8848509933774834	0.847993924801379	0.6632615894039735	0.6225816989883634	0.5298623982641457
3	0	iMF (k=50, lambda=1.0, alpha=1.0)	0.8848509933774834	0.8377019532838544	0.656341059602649	0.616701219787449	0.5240394129051676
3	0	Normalized kNN (k=40, min=3)	0.8848509933774834	0.8425047883322953	0.660612582781457	0.6183419066619249	0.5266751380132578
3	0	iMF (k=50, lambda=0.5, alpha=1.0)	0.8848509933774834	0.8374792550136546	0.6565397350993377	0.6168518717868792	0.5241330976343199
3	3706	iMF (k=50, lambda=0.5, alpha=1.0)	1.0	0.3597354986173242	0.29072847682119207	0.2157239585583676	0.20046690220226654
3	0	iMF (k=20, lambda=0.5, alpha=15.0)	0.8848509933774834	0.8561830530943414	0.6728973509933776	0.6261204295375181	0.5348172100005677
3	3706	iMF (k=20, lambda=0.5, alpha=15.0)	1.0	0.25264905481160316	0.21097682119205297	0.15756108413811357	0.14588979788663384
3	0	iMF (k=50, lambda=3.0, alpha=100.0)	0.8848509933774834	0.8329661023850783	0.6588079470198676	0.6198057656337111	0.5266310976583983
3	0	iMF (k=5, lambda=3.0, alpha=100.0)	0.8848509933774834	0.8647113261833285	0.6767052980132451	0.6305982661061964	0.5388976560547643
3	0	iMF (k=50, lambda=5.0, alpha=15.0)	0.8848509933774834	0.8453591686377463	0.6636092715231787	0.6207724492500528	0.5286841018800508
3	3706	iMF (k=50, lambda=5.0, alpha=15.0)	1.0	0.23495414286959637	0.19380794701986753	0.15631293829908274	0.13986277654200363
3	0	iMF (k=50, lambda=2.0, alpha=15.0)	0.8848509933774834	0.844796695625934	0.6642880794701987	0.6212751726901506	0.5291379969279579
3	0	iMF (k=10, lambda=0.5, alpha=1.0)	0.8848509933774834	0.8376111580191866	0.6557450331125827	0.6171159460916871	0.5240164063129406
3	0	iMF (k=20, lambda=3.0, alpha=15.0)	0.8848509933774834	0.8563301816610702	0.6733278145695364	0.6263427587820766	0.5350068168694753
3	0	iMF (k=50, lambda=1.0, alpha=50.0)	0.8848509933774834	0.8385699347763436	0.6606622516556292	0.6195984332655344	0.5271754273646543
3	0	kNN (k=6000)	0.8848509933774834	0.8232759448991466	0.6443046357615894	0.6139051995225441	0.5189302755028267
3	3706	iMF (k=50, lambda=1.0, alpha=50.0)	1.0	0.14924406459646775	0.12652317880794703	0.10644958136358597	0.09270947006846081
3	0	iMF (k=10, lambda=5.0, alpha=5.0)	0.8848509933774834	0.8483450162755463	0.6647682119205298	0.622081360794709	0.5297777547677909
3	0	kNN (k=300)	0.8848509933774834	0.8383988465054555	0.6549172185430463	0.6175931423706851	0.5242906573171812
3	3706	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14438026370240728	0.12642384105960267	0.08661489388940742	0.0829855048570511
3	0	iMF (k=30, lambda=5.0, alpha=15.0)	0.8848509933774834	0.8538911295010851	0.6707119205298013	0.6246818134609006	0.5331838118735636
3	0	Normalized kNN (k=1000, min=3)	0.8848509933774834	0.8546746224470819	0.6683774834437086	0.6273853253587942	0.5346644753500815
3	0	Normalized kNN (k=300, min=3)	0.8848509933774834	0.857776841302632	0.671158940397351	0.6280715163945662	0.5359696578641736
3	0	iMF (k=50, lambda=5.0, alpha=1.0)	0.8848509933774834	0.8380227564423616	0.6565397350993377	0.6169817136519331	0.5242928462736666
3	0	iMF (k=5, lambda=1.0, alpha=15.0)	0.8848509933774834	0.8514651970179087	0.6662913907284769	0.6242512286617677	0.531842687179849
3	3706	iMF (k=50, lambda=5.0, alpha=1.0)	1.0	0.35983581328504943	0.2907119205298013	0.21522035406300993	0.2005894182368262
3	0	iMF (k=20, lambda=5.0, alpha=15.0)	0.8848509933774834	0.8561947879439085	0.672682119205298	0.6258549280103523	0.534532745245595
3	0	iMF (k=30, lambda=10.0, alpha=5.0)	0.8848509933774834	0.8493674954499646	0.6665231788079471	0.622419642547178	0.5305462294109683
3	3706	iMF (k=30, lambda=10.0, alpha=5.0)	1.0	0.31846246339793277	0.26048013245033114	0.19615819013116753	0.18101224634079577
3	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8848509933774834	0.8693577026871026	0.6828476821192052	0.6335622197922266	0.5426319935320124
3	0	iMF (k=50, lambda=3.0, alpha=10.0)	0.8848509933774834	0.8457528997498165	0.6646192052980133	0.6211910191993457	0.5292790473872497
3	0	kNN (k=80)	0.8848509933774834	0.8390421421358415	0.6573509933774835	0.6177995913797564	0.5249647502753056
3	3706	Normalized kNN (k=6000, min=3)	1.0	0.023631757235027178	0.03163907284768212	0.018556230437327473	0.018953316681624928
3	3706	iMF (k=5, lambda=0.5, alpha=10.0)	1.0	0.21871439142894775	0.18039735099337748	0.12035876369711106	0.11725317808141793
3	3706	iMF (k=5, lambda=3.0, alpha=15.0)	1.0	0.20509992827254345	0.16980132450331123	0.11341963424732521	0.11071026764263056
3	0	iMF (k=50, lambda=2.0, alpha=1.0)	0.8848509933774834	0.8374672960083104	0.6565397350993377	0.6164004168586155	0.5238858599084332
3	0	Normalized kNN (k=200, min=3)	0.8848509933774834	0.8573349326789854	0.6700496688741722	0.6270005180611542	0.5348836679632542
3	0	iMF (k=10, lambda=3.0, alpha=15.0)	0.8848509933774834	0.857137801230259	0.6722847682119205	0.6259716792536058	0.5345854423257899
3	3706	iMF (k=20, lambda=10.0, alpha=15.0)	1.0	0.25283427785816703	0.21158940397350992	0.1579059644599634	0.14650109536168984
3	0	iMF (k=50, lambda=0.1, alpha=1.0)	0.8848509933774834	0.8377299115249209	0.6564403973509934	0.6168929712183665	0.5242198690850213
3	3706	iMF (k=50, lambda=0.1, alpha=1.0)	1.0	0.3585221306899736	0.2899337748344371	0.21600146835683576	0.2005079152971358
3	0	Normalized kNN (k=10, min=3)	0.8848509933774834	0.8121231313989727	0.6401490066225165	0.6033980043541353	0.510601954091214
3	0	kNN (k=800)	0.8848509933774834	0.8347272766783279	0.6515397350993378	0.6165866244364633	0.5226803800031244
3	0	iMF (k=10, lambda=3.0, alpha=50.0)	0.8848509933774834	0.8652572456861156	0.6796026490066226	0.6313105073756774	0.5401759600715135
3	0	iMF (k=30, lambda=2.0, alpha=1.0)	0.8848509933774834	0.8392343041932758	0.6569370860927153	0.6167317584329036	0.5242070391264516
3	0	iMF (k=30, lambda=1.0, alpha=5.0)	0.8848509933774834	0.8500486644580868	0.6670033112582782	0.622712240932077	0.5309170663740759
3	0	iMF (k=30, lambda=10.0, alpha=15.0)	0.8848509933774834	0.8540754780529765	0.67158940397351	0.6253674144220179	0.533835882344593
3	3706	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.11329499619028241	0.09637417218543047	0.08030781566717653	0.06930406113157948
3	0	iMF (k=50, lambda=5.0, alpha=100.0)	0.8848509933774834	0.8343973334689984	0.659453642384106	0.6194600870178257	0.5268073886212802
3	0	Normalized kNN (k=6000, min=3)	0.8848509933774834	0.8492447108478959	0.6643211920529801	0.6250582090807419	0.531967072213113
3	0	iMF (k=5, lambda=0.5, alpha=10.0)	0.8848509933774834	0.8480324827066695	0.6630794701986755	0.6224366121983936	0.5297184500104799
3	3706	iMF (k=50, lambda=5.0, alpha=100.0)	1.0	0.11234246718717907	0.09713576158940398	0.0793213341875975	0.06938110691423895
3	0	iMF (k=5, lambda=3.0, alpha=15.0)	0.8848509933774834	0.8516079079716126	0.6664072847682119	0.6242803608635946	0.5318873807721556
3	0	iMF (k=20, lambda=2.0, alpha=100.0)	0.8848509933774834	0.8600462756332286	0.6775993377483444	0.6294623346916356	0.5383832540821829
3	0	iMF (k=20, lambda=10.0, alpha=15.0)	0.8848509933774834	0.8561832000782125	0.6725496688741721	0.6256290731747859	0.5343517744042048
3	0	kNN (k=700)	0.8848509933774834	0.8354072376321517	0.6521192052980133	0.6170187553565725	0.5231076129135757
3	3706	iMF (k=30, lambda=0.5, alpha=1.0)	1.0	0.36046321764614225	0.29246688741721855	0.2124810402576353	0.19924515606057175
3	0	iMF (k=30, lambda=1.0, alpha=15.0)	0.8848509933774834	0.8556308805628331	0.6725	0.6258120465869778	0.5343254069644738
3	3706	iMF (k=30, lambda=1.0, alpha=15.0)	1.0	0.24767297018045262	0.20710264900662254	0.15969061393313555	0.1458197384881253
3	0	iMF (k=50, lambda=0.1, alpha=100.0)	0.8848509933774834	0.8332919782404034	0.6563741721854305	0.6177223834471244	0.5246160833334967
3	0	Popularity	0.8848509933774834	0.7911023832679026	0.6205298013245033	0.6005100045581964	0.5035279170486798
3	3706	iMF (k=30, lambda=5.0, alpha=100.0)	1.0	0.11271073321310976	0.09884105960264901	0.07728512284092218	0.06866422251917892
3	3706	kNN (k=60)	1.0	0.3226207569789894	0.25677152317880797	0.19097661082291162	0.1762510745597267
3	3706	iMF (k=20, lambda=2.0, alpha=5.0)	1.0	0.31078542660606995	0.25584437086092715	0.18673064277959292	0.17500529306708706
3	0	iMF (k=50, lambda=10.0, alpha=15.0)	0.8848509933774834	0.8448087145043357	0.663543046357616	0.6210370098291952	0.528741684852578
