target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=400, min=3)	0.0	0.19188741721854305	0.19188741721854305	0.19188741721854305	0.19188741721854305
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=10.0)	0.0	0.16920529801324502	0.16920529801324502	0.16920529801324502	0.16920529801324502
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=1.0)	0.0	0.17003311258278145	0.17003311258278145	0.17003311258278145	0.17003311258278145
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=900)	0.0	0.1632450331125828	0.1632450331125828	0.1632450331125828	0.1632450331125828
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=70, min=3)	0.0	0.18559602649006623	0.18559602649006623	0.18559602649006623	0.18559602649006623
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=100)	0.0	0.13245033112582782	0.13245033112582782	0.13245033112582782	0.13245033112582782
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=5000)	0.0	0.16920529801324502	0.16920529801324502	0.16920529801324502	0.16920529801324502
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=10.0, alpha=100.0)	0.0	0.16605960264900663	0.16605960264900663	0.16605960264900663	0.16605960264900663
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=100.0)	0.0	0.16639072847682118	0.16639072847682118	0.16639072847682118	0.16639072847682118
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=500, min=3)	0.0	0.1922185430463576	0.1922185430463576	0.1922185430463576	0.1922185430463576
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=4000, min=3)	0.0	0.1912251655629139	0.1912251655629139	0.1912251655629139	0.1912251655629139
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=20)	0.0	0.11754966887417219	0.11754966887417219	0.11754966887417219	0.11754966887417219
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=60)	0.0	0.1251655629139073	0.1251655629139073	0.1251655629139073	0.1251655629139073
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=10, min=3)	0.0	0.12566225165562914	0.12566225165562914	0.12566225165562914	0.12566225165562914
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=0.1, alpha=10.0)	0.0	0.15894039735099338	0.15894039735099338	0.15894039735099338	0.15894039735099338
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=5000, min=3)	0.0	0.1913907284768212	0.1913907284768212	0.1913907284768212	0.1913907284768212
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=60, min=3)	0.0	0.18443708609271522	0.18443708609271522	0.18443708609271522	0.18443708609271522
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=600)	0.0	0.15927152317880794	0.15927152317880794	0.15927152317880794	0.15927152317880794
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=50, min=3)	0.0	0.18079470198675496	0.18079470198675496	0.18079470198675496	0.18079470198675496
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=2000, min=3)	0.0	0.1902317880794702	0.1902317880794702	0.1902317880794702	0.1902317880794702
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=80, min=3)	0.0	0.18824503311258278	0.18824503311258278	0.18824503311258278	0.18824503311258278
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=10.0)	0.0	0.1152317880794702	0.1152317880794702	0.1152317880794702	0.1152317880794702
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=700)	0.0	0.16142384105960264	0.16142384105960264	0.16142384105960264	0.16142384105960264
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=10.0)	0.0	0.15993377483443708	0.15993377483443708	0.15993377483443708	0.15993377483443708
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=100.0)	0.0	0.16456953642384106	0.16456953642384106	0.16456953642384106	0.16456953642384106
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=700, min=3)	0.0	0.1912251655629139	0.1912251655629139	0.1912251655629139	0.1912251655629139
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=10)	0.0	0.1205298013245033	0.1205298013245033	0.1205298013245033	0.1205298013245033
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=0.1, alpha=1.0)	0.0	0.19735099337748344	0.19735099337748344	0.19735099337748344	0.19735099337748344
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Average Rating	0.0	0.19486754966887418	0.19486754966887418	0.19486754966887418	0.19486754966887418
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=50)	0.0	0.12334437086092716	0.12334437086092716	0.12334437086092716	0.12334437086092716
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=100.0)	0.0	0.1455298013245033	0.1455298013245033	0.1455298013245033	0.1455298013245033
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=1.0, alpha=1.0)	0.0	0.10033112582781457	0.10033112582781457	0.10033112582781457	0.10033112582781457
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=2000)	0.0	0.16688741721854305	0.16688741721854305	0.16688741721854305	0.16688741721854305
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=90)	0.0	0.13013245033112583	0.13013245033112583	0.13013245033112583	0.13013245033112583
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=1.0)	0.0	0.10016556291390728	0.10016556291390728	0.10016556291390728	0.10016556291390728
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=1000, min=3)	0.0	0.19072847682119207	0.19072847682119207	0.19072847682119207	0.19072847682119207
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=1.0, alpha=10.0)	0.0	0.11440397350993377	0.11440397350993377	0.11440397350993377	0.11440397350993377
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=30, min=3)	0.0	0.16622516556291392	0.16622516556291392	0.16622516556291392	0.16622516556291392
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=400)	0.0	0.15132450331125827	0.15132450331125827	0.15132450331125827	0.15132450331125827
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=4000)	0.0	0.16903973509933776	0.16903973509933776	0.16903973509933776	0.16903973509933776
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=1.0)	0.0	0.1943708609271523	0.1943708609271523	0.1943708609271523	0.1943708609271523
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=800, min=3)	0.0	0.1912251655629139	0.1912251655629139	0.1912251655629139	0.1912251655629139
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=6000, min=3)	0.0	0.19172185430463576	0.19172185430463576	0.19172185430463576	0.19172185430463576
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=1.0)	0.0	0.1693708609271523	0.1693708609271523	0.1693708609271523	0.1693708609271523
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=100.0)	0.0	0.1609271523178808	0.1609271523178808	0.1609271523178808	0.1609271523178808
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=3000, min=3)	0.0	0.19089403973509933	0.19089403973509933	0.19089403973509933	0.19089403973509933
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=100, min=3)	0.0	0.18940397350993377	0.18940397350993377	0.18940397350993377	0.18940397350993377
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=10.0)	0.0	0.16903973509933776	0.16903973509933776	0.16903973509933776	0.16903973509933776
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=1.0, alpha=100.0)	0.0	0.14602649006622517	0.14602649006622517	0.14602649006622517	0.14602649006622517
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=10.0)	0.0	0.11639072847682119	0.11639072847682119	0.11639072847682119	0.11639072847682119
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=500)	0.0	0.15496688741721854	0.15496688741721854	0.15496688741721854	0.15496688741721854
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=40)	0.0	0.1205298013245033	0.1205298013245033	0.1205298013245033	0.1205298013245033
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=900, min=3)	0.0	0.19105960264900662	0.19105960264900662	0.19105960264900662	0.19105960264900662
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=80)	0.0	0.12814569536423842	0.12814569536423842	0.12814569536423842	0.12814569536423842
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=6000)	0.0	0.16903973509933776	0.16903973509933776	0.16903973509933776	0.16903973509933776
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=0.1, alpha=100.0)	0.0	0.16158940397350993	0.16158940397350993	0.16158940397350993	0.16158940397350993
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=10.0, alpha=1.0)	0.0	0.17019867549668874	0.17019867549668874	0.17019867549668874	0.17019867549668874
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=200, min=3)	0.0	0.1922185430463576	0.1922185430463576	0.1922185430463576	0.1922185430463576
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=200)	0.0	0.14437086092715232	0.14437086092715232	0.14437086092715232	0.14437086092715232
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Random	0.0	0.19586092715231787	0.19586092715231787	0.19586092715231787	0.19586092715231787
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=10.0)	0.0	0.15910596026490068	0.15910596026490068	0.15910596026490068	0.15910596026490068
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=1.0)	0.0	0.10165562913907285	0.10165562913907285	0.10165562913907285	0.10165562913907285
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=20, min=3)	0.0	0.14966887417218544	0.14966887417218544	0.14966887417218544	0.14966887417218544
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=10.0, alpha=10.0)	0.0	0.1693708609271523	0.1693708609271523	0.1693708609271523	0.1693708609271523
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Popularity	0.0	0.16854304635761588	0.16854304635761588	0.16854304635761588	0.16854304635761588
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=300, min=3)	0.0	0.19188741721854305	0.19188741721854305	0.19188741721854305	0.19188741721854305
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=100.0)	0.0	0.14917218543046357	0.14917218543046357	0.14917218543046357	0.14917218543046357
3706	iMF (k=10, lambda=10.0, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=100.0)	0.0	0.16605960264900663	0.16605960264900663	0.16605960264900663	0.16605960264900663
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=300)	0.0	0.1478476821192053	0.1478476821192053	0.1478476821192053	0.1478476821192053
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=1000)	0.0	0.16357615894039734	0.16357615894039734	0.16357615894039734	0.16357615894039734
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=600, min=3)	0.0	0.19172185430463576	0.19172185430463576	0.19172185430463576	0.19172185430463576
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=30)	0.0	0.1195364238410596	0.1195364238410596	0.1195364238410596	0.1195364238410596
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=90, min=3)	0.0	0.1879139072847682	0.1879139072847682	0.1879139072847682	0.1879139072847682
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=70)	0.0	0.12781456953642384	0.12781456953642384	0.12781456953642384	0.12781456953642384
3706	iMF (k=10, lambda=10.0, alpha=1.0)	Normalized kNN (k=40, min=3)	0.0	0.17516556291390728	0.17516556291390728	0.17516556291390728	0.17516556291390728
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=800)	0.0	0.16225165562913907	0.16225165562913907	0.16225165562913907	0.16225165562913907
3706	iMF (k=10, lambda=10.0, alpha=1.0)	kNN (k=3000)	0.0	0.16821192052980133	0.16821192052980133	0.16821192052980133	0.16821192052980133
0	kNN (k=4000)	iMF (k=10, lambda=10.0, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	kNN (k=40)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=10.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=80)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=10, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=1.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=70, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=700, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=2000)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	kNN (k=6000)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	Normalized kNN (k=5000, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=1.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=200)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	Normalized kNN (k=60, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=50, lambda=1.0, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	iMF (k=5, lambda=10.0, alpha=10.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=800, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=10.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Random	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	Normalized kNN (k=100, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=10.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=30)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=100)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=70)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=10, lambda=0.1, alpha=1.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=50, lambda=1.0, alpha=1.0)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=4000, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=1000, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Normalized kNN (k=200, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	Popularity	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	kNN (k=400)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	Normalized kNN (k=30, min=3)	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=100.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=10.0)	8.278145695364238E-4	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
0	kNN (k=4000)	Average Rating	8.278145695364238E-4	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
0	kNN (k=4000)	kNN (k=3000)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
0	kNN (k=4000)	kNN (k=700)	8.278145695364238E-4	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
