fold	target size	expected intersection ratio in top n
1	0	0.5733390464782928
2	0	0.5748255670188134
3	0	0.5745671804118214
4	0	0.5739553235565462
5	0	0.5751775585733161
1	1	0.5571676222738499
2	1	0.5587804417941912
3	1	0.5585371694129914
4	1	0.5580884860085789
5	1	0.5590769339147136
1	2	0.5397435732882186
2	2	0.5413504099556388
3	2	0.541356004906602
4	2	0.540974946031803
5	2	0.5414082854408767
1	5	0.4780670177932987
2	5	0.48061734297136427
3	5	0.4807745366336781
4	5	0.4823432552004376
5	5	0.4809287696214776
1	10	0.3710874928797534
2	10	0.3729204395248567
3	10	0.37296578974080474
4	10	0.3751980844059174
5	10	0.37313147387808354
1	20	0.2555545710964897
2	20	0.2564363488783501
3	20	0.25624157883973364
4	20	0.25701390858599554
5	20	0.2564047304980952
1	50	0.138683082445712
2	50	0.13894136560669254
3	50	0.13885861306395403
4	50	0.1390784410910012
5	50	0.1388580610103355
1	100	0.08099916893971965
2	100	0.08104504078264826
3	100	0.08101727368868421
4	100	0.08107882840480322
5	100	0.0810263518136259
1	200	0.04490314237852125
2	200	0.04492760913622467
3	200	0.0449133149082575
4	200	0.04492343848991107
5	200	0.04491147067644455
1	500	0.019443988033117286
2	500	0.019449687011219477
3	500	0.019446139550220665
4	500	0.0194460560137247
5	500	0.01944917559547487
1	1000	0.010033672707528475
2	1000	0.01003588965898628
3	1000	0.010035223903722341
4	1000	0.010035267001931357
5	1000	0.010035146186597512
1	2000	0.005104678324705321
2	2000	0.005105984684066855
3	2000	0.00510547000941387
4	2000	0.00510538280259078
5	2000	0.005105698174815949
1	3706	0.0028042694747139716
2	3706	0.0028044664159211966
3	3706	0.002804412296303477
4	3706	0.0028043881598293283
5	3706	0.002804405019581035
