fold	target size	expected intersection ratio in top n
1	0	0.6178407773369724
2	0	0.6149010665905063
3	0	0.6205295270551692
4	0	0.6217514699295756
5	0	0.6192443376820133
1	1	0.6001563558870562
2	1	0.5972913997017741
3	1	0.6040335621045119
4	1	0.6046024062950967
5	1	0.6023278686213819
1	2	0.5813440434914756
2	2	0.5790388171905775
3	2	0.5854093368148543
4	2	0.5865532579109817
5	2	0.5840501813943711
1	5	0.51481427691644
2	5	0.5144954139940208
3	5	0.519334502964336
4	5	0.5227757386507023
5	5	0.5197044952409015
1	10	0.3969863606248607
2	10	0.3955659165781729
3	10	0.3996855190036267
4	10	0.4020720240969023
5	10	0.39914354073227426
1	20	0.2695447212910928
2	20	0.26933818947267596
3	20	0.2708344979445942
4	20	0.27198162046304647
5	20	0.27060956579415174
1	50	0.1435787733671132
2	50	0.143545025567528
3	50	0.14400844882743402
4	50	0.14428454457946727
5	50	0.1440658402529243
1	100	0.08286778848239273
2	100	0.0828521581685303
3	100	0.0829482216733608
4	100	0.08309274879680163
5	100	0.08296046476757586
1	200	0.04550899049604566
2	200	0.045504960072191215
3	200	0.04555928934404521
4	200	0.045596337383884064
5	200	0.04553639086767641
1	500	0.019536196491611455
2	500	0.019539212468299438
3	500	0.019549339978110373
4	500	0.019558312040391657
5	500	0.019556368273609688
1	1000	0.01004854529779384
2	1000	0.010048982067154951
3	1000	0.010052615153778522
4	1000	0.010054000052105607
5	1000	0.010053632079169218
1	2000	0.0051014005409962026
2	2000	0.005102281553560376
3	2000	0.005102735981916902
4	2000	0.005102997542655439
5	2000	0.00510216091360827
1	3481	0.0029764232513095987
2	3481	0.002976501513469471
3	3481	0.0029766569970813422
4	3481	0.002976764526729523
5	3481	0.0029766668002704755
