fold	target size	expected intersection ratio in top n
1	0	0.6178407773369724
2	0	0.6149010665905063
3	0	0.6205295270551692
4	0	0.6217514699295756
5	0	0.6192443376820133
1	1	0.600204265690204
2	1	0.5972293793065773
3	1	0.6040847518016184
4	1	0.6044049115503777
5	1	0.6025668233554502
1	2	0.5813322242547811
2	2	0.5787271121105128
3	2	0.5854938046074902
4	2	0.5864611969098533
5	2	0.5839977177945116
1	5	0.5147888580743482
2	5	0.5142749659558531
3	5	0.5194771608702144
4	5	0.5224243961638316
5	5	0.5195697862920565
1	10	0.39709902354732
2	10	0.39591541486469767
3	10	0.3994081715550726
4	10	0.401893669979343
5	10	0.3991688034242979
1	20	0.26942680053239526
2	20	0.26916414277599165
3	20	0.2708780535935002
4	20	0.27172006813581856
5	20	0.2708033255905608
1	50	0.1436840967217655
2	50	0.1435397180842946
3	50	0.14398764752094492
4	50	0.14433180502405013
5	50	0.14400654779687205
1	100	0.08283375246804082
2	100	0.08285109687633395
3	100	0.08300283111566918
4	100	0.08306168471859962
5	100	0.08296655320660347
1	200	0.045503202300836466
2	200	0.04551285150125398
3	200	0.045535956386575836
4	200	0.04559381786829639
5	200	0.04556482238948205
1	500	0.019542851327852426
2	500	0.019545745714598578
3	500	0.01955082207909934
4	500	0.019556095140024207
5	500	0.019553868710820883
1	1000	0.010048583862779356
2	1000	0.01004987570755772
3	1000	0.010049419684567925
4	1000	0.010054236574968838
5	1000	0.010052331022253258
1	2000	0.005101399689501051
2	2000	0.005101389022897466
3	2000	0.005101907850294327
4	2000	0.005102582299227266
5	2000	0.00510227301396713
1	3481	0.0029764232513095987
2	3481	0.002976501513469471
3	3481	0.0029766569970813422
4	3481	0.002976764526729523
5	3481	0.0029766668002704755
