fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Average Rating	1.0	0.2360100280231931	0.21755412521942658	0.17795790220913396	0.15779516757643813
3	100	iMF (test)	1.0	0.5631094864248637	0.4523112931538912	0.4270315373076694	0.3601390125303139
3	100	Normalized kNN (full)	0.688765359859567	0.537712144080165	0.41509654768870685	0.3328708833467465	0.3086201814473725
3	100	Random	1.0	0.12917958577481073	0.1184318314803979	0.08004649942559156	0.07852438663258887
3	5	Average Rating	0.9822703335283792	0.7426388865915327	0.5904037448800468	0.6106552338739774	0.498063309263006
3	5	iMF (test)	0.9832650672908134	0.8239793462699149	0.6316559391456993	0.6447220325300697	0.530974424709409
3	5	Normalized kNN (full)	0.6224107665301346	0.6002307471791023	0.46132241076653013	0.35501612641191693	0.3367307621646924
3	5	Random	0.9832650672908134	0.5591682018582685	0.4572264482153306	0.5083786997147139	0.3970869645597927
3	1	Average Rating	0.8992393212404914	0.8164405574727496	0.631480397893505	0.6503687951383802	0.5346604323821273
3	1	iMF (test)	0.8998829724985372	0.8481190696767631	0.6465769455822118	0.6599032139976737	0.5445699548256399
3	100	iMF (full)	1.0	0.6895827881620692	0.5319485078993563	0.5069322228375726	0.4301524593650431
3	100	Popularity	1.0	0.531220555410978	0.4212990052662376	0.38244924833169885	0.3293239348273188
3	1	Normalized kNN (full)	0.6193680514921006	0.604173325924144	0.4641895845523698	0.35612308125080616	0.33826694203336716
3	1	Random	0.8998829724985372	0.666548564983405	0.5252194265652429	0.5883093212014089	0.4646106461684306
3	100	kNN (test)	1.0	0.6697054764197419	0.516500877706261	0.49068797769424205	0.4161085455149488
3	0	Average Rating	0.8672322995904037	0.840779011514123	0.6408425980105324	0.6585966320356529	0.5427541910616054
3	100	Normalized kNN (test)	1.0	0.3958880351659556	0.3366881217086015	0.2991633625081011	0.2578290095781084
3	0	iMF (test)	0.8675833820947924	0.8535418506679217	0.6497366881217087	0.6626699290487966	0.5473897504176891
3	100	kNN (full)	1.0	0.6694847880347	0.5156231714452897	0.48873643726688853	0.4147382501475575
3	5	iMF (full)	0.9832650672908134	0.8069462198306239	0.6146869514335869	0.6298051325580868	0.5176686207223281
3	5	Popularity	0.9822703335283792	0.7614223545396999	0.5885313048566413	0.6177611134693757	0.5024292442662563
3	0	Normalized kNN (full)	0.6177881802223523	0.6055354577937951	0.46500877706260973	0.35652654256801847	0.3387897781440524
3	0	Random	0.8675833820947924	0.7086189883488304	0.5469280280866003	0.6096409583938406	0.4846439218900673
3	5	kNN (test)	0.9176711527208894	0.8093325025350644	0.6181392627267408	0.629704222774335	0.5204614351863299
3	20	Average Rating	1.0	0.5492432703313245	0.4616149795201872	0.4497712367291326	0.3736528080216208
3	5	Normalized kNN (test)	0.9360444704505559	0.7922511210756558	0.6142188414277355	0.6294301652890222	0.5176648981578805
3	20	iMF (test)	1.0	0.7545128256107965	0.5864833235810415	0.5881549694375635	0.48671982997262747
3	5	kNN (full)	0.8959625511995319	0.8014843229349053	0.6114686951433587	0.6176156822136437	0.5125251507941547
3	20	Normalized kNN (full)	0.6321825629022821	0.5904432987002332	0.4540081919251024	0.3516947078089772	0.332436425942015
3	20	Random	1.0	0.3292144322050481	0.2906377998829725	0.2557157917055882	0.2228869509135626
5	100	Average Rating	1.0	0.23539243538537596	0.21930953774136921	0.1753152247802618	0.15931868197143573
5	100	iMF (test)	1.0	0.5621286370833964	0.451316559391457	0.43059094360348527	0.36086395253578407
5	100	Normalized kNN (full)	0.695143358689292	0.5340134121055866	0.41889994148624926	0.33480885442849834	0.31168410956610504
5	100	Random	1.0	0.12725732304483653	0.1157401989467525	0.08159590960945429	0.07717075702396303
5	5	Average Rating	0.9824458747805734	0.7410613426877207	0.586541837331773	0.6111273981605485	0.4948957744204109
5	5	iMF (test)	0.9833820947922761	0.8271133582029978	0.6309537741369221	0.6467098786334902	0.5305151086123617
5	5	Normalized kNN (full)	0.6291983616149794	0.6034267225071636	0.4674663545933294	0.3587859350565758	0.34176210136275315
5	5	Random	0.9833820947922761	0.5605400403203468	0.45658279695728493	0.5126575171572357	0.39745959057642183
3	1	iMF (full)	0.8998829724985372	0.8227325223795772	0.6255119953188999	0.6459206597989755	0.5300814723004104
3	1	Popularity	0.8992393212404914	0.7865847418224203	0.6030427150380339	0.6362699732328958	0.5173224617617571
3	1	kNN (test)	0.8675248683440608	0.818537376072764	0.6238150965476886	0.6355066286263065	0.5257734930273592
3	1	Normalized kNN (test)	0.8770040959625511	0.8333692907212624	0.6363955529549443	0.6481370721585086	0.5361632592961151
3	1	kNN (full)	0.8554710356933879	0.81174474454205	0.6183733177296664	0.6247237288660633	0.5190692055791202
3	0	iMF (full)	0.8675833820947924	0.8256779670085023	0.6272674078408426	0.648911868138757	0.5322305015555417
3	0	Popularity	0.8672322995904037	0.7933953577498503	0.6067875950848449	0.6399489173850573	0.5208790475311923
3	0	kNN (test)	0.8534230544177882	0.8219723662760922	0.6263311878291399	0.6382461509849214	0.5282524313198013
