target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.06963136337039204	0.2650672908133411	0.2650672908133411	0.2650672908133411
500	Popularity	iMF (test)	1.0	0.08894090111176127	0.2960795787009947	0.2960795787009947	0.2960795787009947
500	Popularity	Random	1.0	0.1456992393212405	0.17144528964306613	0.17144528964306613	0.17144528964306613
500	Popularity	Normalized kNN (full)	1.0	0.07899356348741954	0.2586307782328847	0.2586307782328847	0.2586307782328847
500	Popularity	Normalized kNN (test)	1.0	0.12873025160912815	0.24341720304271502	0.24341720304271502	0.24341720304271502
500	Popularity	kNN (full)	1.0	0.06670567583382095	0.2662375658279696	0.2662375658279696	0.2662375658279696
500	Popularity	Average Rating	1.0	0.13867758923346987	0.18665886483323582	0.18665886483323582	0.18665886483323582
500	Popularity	iMF (full)	1.0	0.04564072557050907	0.20128730251609128	0.20128730251609128	0.20128730251609128
20	Popularity	Random	1.0	0.016968987712112346	0.10181392627267408	0.10181392627267408	0.10181392627267408
20	Popularity	Normalized kNN (test)	1.0	0.037448800468110006	0.37390286717378585	0.37390286717378585	0.37390286717378585
20	Popularity	iMF (full)	1.0	0.049151550614394385	0.3622001170275015	0.3622001170275015	0.3622001170275015
20	Popularity	iMF (test)	1.0	0.056173200702165006	0.41837331772966646	0.41837331772966646	0.41837331772966646
20	Popularity	kNN (test)	1.0	0.07138677589233469	0.4370977179637215	0.4370977179637215	0.4370977179637215
20	Popularity	kNN (full)	1.0	0.06553540081919251	0.4195435927442949	0.4195435927442949	0.4195435927442949
20	Popularity	Average Rating	1.0	0.02399063779988297	0.26857811585722646	0.26857811585722646	0.26857811585722646
20	Popularity	Normalized kNN (full)	1.0	0.04564072557050907	0.28671737858396723	0.28671737858396723	0.28671737858396723
20	Random	Normalized kNN (test)	1.0	0.015213575190169689	0.11000585137507314	0.11000585137507314	0.11000585137507314
20	Random	iMF (full)	1.0	0.014043300175541252	0.07840842598010532	0.07840842598010532	0.07840842598010532
20	Random	iMF (test)	1.0	0.016383850204798128	0.07489760093622001	0.07489760093622001	0.07489760093622001
20	Random	kNN (test)	1.0	0.015213575190169689	0.07197191339964892	0.07197191339964892	0.07197191339964892
20	Random	kNN (full)	1.0	0.014628437682855471	0.06963136337039204	0.06963136337039204	0.06963136337039204
