target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.05324751316559392	0.05324751316559392	0.05324751316559392	0.05324751316559392
500	Popularity	iMF (test)	0.0	0.07957870099473376	0.07957870099473376	0.07957870099473376	0.07957870099473376
500	Popularity	Random	0.0	0.14160327677004095	0.14160327677004095	0.14160327677004095	0.14160327677004095
500	Popularity	Normalized kNN (full)	0.0	0.06377998829724986	0.06377998829724986	0.06377998829724986	0.06377998829724986
500	Popularity	Normalized kNN (test)	0.0	0.12521942656524282	0.12521942656524282	0.12521942656524282	0.12521942656524282
500	Popularity	kNN (full)	0.0	0.052077238150965474	0.052077238150965474	0.052077238150965474	0.052077238150965474
500	Popularity	Average Rating	0.0	0.13575190169689877	0.13575190169689877	0.13575190169689877	0.13575190169689877
500	Popularity	iMF (full)	0.0	0.035693387946167346	0.035693387946167346	0.035693387946167346	0.035693387946167346
20	Popularity	Random	0.0	0.013458162668227034	0.013458162668227034	0.013458162668227034	0.013458162668227034
20	Popularity	Normalized kNN (test)	0.0	0.012287887653598596	0.012287887653598596	0.012287887653598596	0.012287887653598596
20	Popularity	iMF (full)	0.0	0.012873025160912814	0.012873025160912814	0.012873025160912814	0.012873025160912814
20	Popularity	iMF (test)	0.0	0.012287887653598596	0.012287887653598596	0.012287887653598596	0.012287887653598596
20	Popularity	kNN (test)	0.0	0.012873025160912814	0.012873025160912814	0.012873025160912814	0.012873025160912814
20	Popularity	kNN (full)	0.0	0.012873025160912814	0.012873025160912814	0.012873025160912814	0.012873025160912814
20	Popularity	Average Rating	0.0	0.013458162668227034	0.013458162668227034	0.013458162668227034	0.013458162668227034
20	Popularity	Normalized kNN (full)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
20	Random	Normalized kNN (test)	0.0	0.012287887653598596	0.012287887653598596	0.012287887653598596	0.012287887653598596
20	Random	iMF (full)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
20	Random	iMF (test)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
20	Random	kNN (test)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
20	Random	kNN (full)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
20	Random	Average Rating	0.0	0.018724400234055003	0.018724400234055003	0.018724400234055003	0.018724400234055003
20	Random	Normalized kNN (full)	0.0	0.022820362785254535	0.022820362785254535	0.022820362785254535	0.022820362785254535
50	Popularity	Normalized kNN (full)	0.0	0.018139262726740785	0.018139262726740785	0.018139262726740785	0.018139262726740785
50	Popularity	iMF (full)	0.0	0.013458162668227034	0.013458162668227034	0.013458162668227034	0.013458162668227034
50	Popularity	iMF (test)	0.0	0.016383850204798128	0.016383850204798128	0.016383850204798128	0.016383850204798128
50	Popularity	kNN (test)	0.0	0.015213575190169689	0.015213575190169689	0.015213575190169689	0.015213575190169689
50	Popularity	Normalized kNN (test)	0.0	0.01989467524868344	0.01989467524868344	0.01989467524868344	0.01989467524868344
50	Popularity	kNN (full)	0.0	0.014628437682855471	0.014628437682855471	0.014628437682855471	0.014628437682855471
50	Popularity	Random	0.0	0.021064950263311878	0.021064950263311878	0.021064950263311878	0.021064950263311878
50	Popularity	Average Rating	0.0	0.021650087770626096	0.021650087770626096	0.021650087770626096	0.021650087770626096
5	iMF (full)	Normalized kNN (full)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	Random	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	Normalized kNN (test)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	Average Rating	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	Popularity	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	kNN (full)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	kNN (test)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
5	iMF (full)	iMF (test)	0.0	0.011702750146284377	0.011702750146284377	0.011702750146284377	0.011702750146284377
2000	Normalized kNN (test)	iMF (test)	0.0	0.4008191925102399	0.4008191925102399	0.4008191925102399	0.4008191925102399
2000	Normalized kNN (test)	Popularity	0.0	0.3346986541837332	0.3346986541837332	0.3346986541837332	0.3346986541837332
2000	Normalized kNN (test)	kNN (test)	0.0	0.15740198946752487	0.15740198946752487	0.15740198946752487	0.15740198946752487
2000	Normalized kNN (test)	kNN (full)	0.0	0.15038033937975423	0.15038033937975423	0.15038033937975423	0.15038033937975423
2000	Normalized kNN (test)	Random	0.0	0.7226448215330603	0.7226448215330603	0.7226448215330603	0.7226448215330603
