fold	target size	expected intersection ratio in top n
1	0	0.5556521804441947
2	0	0.5576191467253088
3	0	0.5582228402193052
4	0	0.5582393777942342
5	0	0.5562664532581317
1	1	0.5398377840998468
2	1	0.5421880938301459
3	1	0.541829841834326
4	1	0.5420313510962047
5	1	0.5401092003504614
1	2	0.5225241771004272
2	2	0.5256136109335791
3	2	0.5244657358990489
4	2	0.5247612601767064
5	2	0.5232710125960235
1	5	0.4637682190150467
2	5	0.4667506745965322
3	5	0.46596899511019696
4	5	0.4663817630010984
5	5	0.46502960618854605
1	10	0.3618627408333789
2	10	0.3632573941380601
3	10	0.36265154863754856
4	10	0.36284656140932986
5	10	0.36281097630925735
1	20	0.2502669480392575
2	20	0.2510480142478214
3	20	0.2509079934621773
4	20	0.25076908194598513
5	20	0.25068601892802317
1	50	0.13677637469284026
2	50	0.13706766717870356
3	50	0.13707992007758793
4	50	0.13697440027354033
5	50	0.13691084077676888
1	100	0.08027333489337922
2	100	0.08036258750864736
3	100	0.08037825823561695
4	100	0.08029744383719707
5	100	0.08030800761566206
1	200	0.04467427919175932
2	200	0.04473559338131835
3	200	0.04471310977295611
4	200	0.044691992034934604
5	200	0.0447112889894666
1	500	0.019418311454857076
2	500	0.019428344663030065
3	500	0.019433571503839654
4	500	0.019421841966037395
5	500	0.019422275188259883
1	1000	0.010039915735440911
2	1000	0.01004281129456409
3	1000	0.010043255530067074
4	1000	0.010040955214899713
5	1000	0.010040905306097693
1	2000	0.005112686907903943
2	2000	0.005113896655081717
3	2000	0.00511373542844694
4	2000	0.005113352847701721
5	2000	0.005113080848046847
1	3671	0.0028381165244450433
2	3671	0.0028384215615886994
3	3671	0.0028384148991756272
4	3671	0.002838224172113487
5	3671	0.0028382627667724704
