target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
0	kNN (k=4000)	iMF (k=10, lambda=10.0, alpha=100.0)	NaN	4.754397135763839E-90	6.717438198949175E-95	4.339364809414722E-50	4.30544122252134E-74
0	kNN (k=4000)	kNN (k=40)	NaN	8.151816701650458E-7	4.6801133187050315E-7	0.01903715165572211	0.6780888745266256
0	kNN (k=4000)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	2.2367090995632976E-41	3.628470609176925E-47	2.5469580549486556E-15	5.286399925823104E-29
0	kNN (k=4000)	kNN (k=80)	NaN	7.64984085438167E-14	4.894556676011391E-13	0.6308071276690446	0.0024741450863942213
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	5.094610256270337E-4	0.011941967502989871	0.344842831414651	0.7358335353071316
0	kNN (k=4000)	Normalized kNN (k=10, min=3)	NaN	3.272459125388703E-13	2.3319103124154248E-7	8.193042164679622E-29	1.0710457917953537E-22
0	kNN (k=4000)	Normalized kNN (k=70, min=3)	NaN	1.6515492407528517E-39	7.518304984597978E-39	1.6061392901300932E-13	2.429816472101374E-25
0	kNN (k=4000)	Normalized kNN (k=700, min=3)	NaN	1.4138460532896292E-77	2.242600320380746E-58	2.939797199277194E-36	2.5917769073984407E-49
0	kNN (k=4000)	kNN (k=2000)	NaN	4.3694138087359297E-14	7.835780610820309E-7	7.497705111186656E-4	8.741452909135955E-5
0	kNN (k=4000)	kNN (k=6000)	NaN	0.624146290788601	0.5271512709106078	0.980487897632016	0.7912375092353605
0	kNN (k=4000)	Normalized kNN (k=5000, min=3)	NaN	6.522723877489826E-49	5.512352716218925E-36	1.487206414361078E-23	1.2802728876962233E-32
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=1.0)	NaN	0.0012949101280955062	4.187940096477791E-5	0.20823934310586545	0.4179582955761736
0	kNN (k=4000)	kNN (k=200)	NaN	4.6373927635592583E-26	2.3835787426952476E-23	1.958213933971992E-6	8.184422829579819E-12
0	kNN (k=4000)	Normalized kNN (k=60, min=3)	NaN	4.555397866026632E-37	1.765386103120307E-36	4.334294663541855E-13	1.4752742246400224E-23
0	kNN (k=4000)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	0.5573579776718043	7.499794382709032E-4	0.6282112782506581	0.08914399331052003
0	kNN (k=4000)	iMF (k=5, lambda=10.0, alpha=10.0)	NaN	1.5443631291509044E-33	5.216941327888347E-30	4.1010013595683045E-15	6.702142876180922E-22
0	kNN (k=4000)	Normalized kNN (k=800, min=3)	NaN	1.5252507765177046E-75	4.683476016198553E-56	8.40093381862878E-37	6.908236475867975E-49
0	kNN (k=4000)	iMF (k=5, lambda=0.1, alpha=10.0)	NaN	9.39984192209793E-34	5.531506891579366E-30	3.0334487021484495E-15	5.971554225768203E-22
0	kNN (k=4000)	Random	NaN	0.0	3.60432E-318	2.2331615109935987E-228	1.685511164748927E-293
0	kNN (k=4000)	Normalized kNN (k=100, min=3)	NaN	1.8938757618042033E-52	2.166405698908035E-48	1.2230672065873198E-22	5.71206935438688E-36
0	kNN (k=4000)	iMF (k=50, lambda=0.1, alpha=100.0)	NaN	0.7478819252651818	4.701438094211827E-4	0.6675048668454426	0.04778032122622374
0	kNN (k=4000)	iMF (k=50, lambda=10.0, alpha=100.0)	NaN	0.601077238043511	0.02790972808652397	0.4366421263089463	0.6135403978172626
0	kNN (k=4000)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	2.723471568859515E-25	1.227503962076633E-28	5.491606853295128E-10	2.954026459120666E-17
0	kNN (k=4000)	kNN (k=30)	NaN	1.0364102686581737E-4	6.816708069015987E-7	0.04290062314187037	0.5405178740992433
0	kNN (k=4000)	kNN (k=100)	NaN	5.202782870689717E-17	4.65811518870198E-17	0.023739218091784454	6.317072860844745E-6
