fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	3671	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.15092908900818305	0.1300161625490649	0.08354694663090904	0.08315363868396419
1	3671	Normalized kNN (k=1000, min=3)	1.0	0.0523320938856999	0.05483722004156084	0.031771725231907716	0.03359299049151511
5	3671	Normalized kNN (k=1000, min=3)	1.0	0.05285173041594417	0.056199492034172245	0.030134557145131725	0.03250884769227661
3	3671	Normalized kNN (k=1000, min=3)	1.0	0.042498088534036624	0.04601708612329716	0.027038967642570848	0.028176128794766803
2	3671	Normalized kNN (k=1000, min=3)	1.0	0.06321302141571467	0.06723620410990533	0.03442645324622154	0.03780675219578989
4	3671	Normalized kNN (k=1000, min=3)	1.0	0.05391366487005313	0.05714615562225814	0.033795395692829064	0.03469602030588399
1	3671	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.2324887151828089	0.1942738397598707	0.12396937772331378	0.12415351137199897
5	3671	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.23331782847560162	0.19390441006695916	0.12617671020679014	0.12401184960934732
3	3671	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.23134842709810452	0.19265758485338258	0.12310157245560058	0.12396211910557056
2	3671	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.23387887552663114	0.1944585546063265	0.12533309160043815	0.12429520086680214
4	3671	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.2325708090075548	0.19307319325790812	0.12466217762691233	0.12357502911979487
1	3671	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14616674495846357	0.12745324405449088	0.08842801362320463	0.08490846966348954
3	3671	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14577996406239632	0.1281228353728931	0.08668735949816404	0.08466712888698774
5	3671	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14826219828721474	0.12768413761256062	0.08847257087935442	0.08423754947153368
2	3671	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.1463365787605046	0.1283768182867698	0.08735235884810438	0.08424719331572926
4	3671	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.15014790021879137	0.13073193257908106	0.09127117897393774	0.08663279394973598
1	3671	kNN (k=20)	1.0	0.3232858419374723	0.2592934657123066	0.19046458862996188	0.17723407684519868
3	3671	kNN (k=20)	1.0	0.3219599309970677	0.25945509120295546	0.1895881262952951	0.17826123672597152
5	3671	kNN (k=20)	1.0	0.32476111200938323	0.2595474486261833	0.18866154907823385	0.17560655683188076
2	3671	kNN (k=20)	1.0	0.32462039492768513	0.2601939505887786	0.1888671238467342	0.17659098888139677
4	3671	kNN (k=20)	1.0	0.3241358698634192	0.26017086123297156	0.1865904464906524	0.1763459031989077
1	0	Normalized kNN (k=1000, min=3)	0.8944816439621335	0.8572038888282031	0.6811359963057031	0.6138676752983103	0.5357666226811559
1	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8944816439621335	0.8492984372017862	0.6746478873239437	0.6073338633449362	0.5295454645712092
1	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8944816439621335	0.8698713782048284	0.6950819672131148	0.6198112346567171	0.5435072914414388
1	0	kNN (k=20)	0.8944816439621335	0.8341005806737275	0.664973447240822	0.6000652803866481	0.5218974839691466
1	3671	Normalized kNN (k=3000, min=3)	1.0	0.03142946875941863	0.03987531747864235	0.024322850786421515	0.024723304407912268
1	3671	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.14666301908728563	0.12816901408450704	0.08790204132265939	0.0844802458524154
1	3671	kNN (k=200)	1.0	0.31514391504485195	0.2523897483260217	0.17352404839904473	0.16702775693019545
1	3671	kNN (k=600)	1.0	0.2840789496044412	0.22893096282613715	0.14941850745228344	0.14700288920900598
1	3671	Normalized kNN (k=40, min=3)	1.0	0.06592554006542198	0.06421149849919187	0.042923658696879106	0.040996516488489565
