fold	target size	expected intersection ratio in top n
3	100	0.08037371171351891
3	5	0.4658831926882822
3	1	0.5419021339351152
3	0	0.5582228402193052
3	50	0.13708582200435687
2	200	0.044714224922416515
3	200	0.04473332448092036
3	2000	0.005114137953128322
3	20	0.2508156004641988
1	200	0.04468699647147752
5	100	0.08029985664524938
5	5	0.4649740422521273
5	1	0.5401605864035881
5	0	0.5562664532581317
5	50	0.13693563992525537
5	20	0.2507318134051696
5	2000	0.005113226919459728
2	5	0.4667276355234092
4	5	0.46624754296929494
4	100	0.08030962719352712
4	1	0.5420006672542662
4	0	0.5582393777942342
4	50	0.13701287074209514
4	20	0.25078480575272927
4	2000	0.005113528366168412
1	5	0.46363021191582837
3	10	0.3625434120575444
2	100	0.08037480647752837
2	1	0.5421808821877339
2	0	0.5576191467253088
2	50	0.13705929670095324
2	20	0.2511428318345557
2	10	0.3632327168543293
2	2000	0.005113744394219808
5	10	0.36287511044597026
1	100	0.08026343954372415
3	2	0.5244087220436503
1	1	0.5397317910213045
1	0	0.5556521804441947
1	20	0.25034499206374855
1	50	0.13677684960806305
1	10	0.36189522510068967
4	200	0.04470100342344277
5	200	0.044692722112756295
1	2000	0.005112696338316418
3	3671	0.0028384148991756272
3	1000	0.010042181438350707
2	3671	0.0028384215615886994
5	3671	0.0028382627667724704
1	3671	0.0028381165244450433
5	2	0.5231666378811052
2	2	0.5255931909531809
1	2	0.5227153982544326
4	2	0.5248410010715476
4	10	0.3625549897029978
5	1000	0.010040483171050597
4	3671	0.002838224172113487
3	500	0.019427065823315944
4	1000	0.01004094749721934
2	500	0.019433631151650445
1	500	0.019417569793954564
1	1000	0.010038880044626379
2	1000	0.01004383362348622
4	500	0.01942270938027405
5	500	0.01942469619916909
