fold	target size	expected intersection ratio in top n
1	0	0.5556521804441947
2	0	0.5576191467253088
3	0	0.5582228402193052
4	0	0.5582393777942342
5	0	0.5562664532581317
1	1	0.5398347706989233
2	1	0.5421322829417476
3	1	0.5418295504399754
4	1	0.5420576345740626
5	1	0.5401639218323268
1	2	0.5227305787951634
2	2	0.5255353609592222
3	2	0.5245554137504496
4	2	0.5248044988910261
5	2	0.5233581287496665
1	5	0.46369653495546304
2	5	0.4670174662874903
3	5	0.46583120127858363
4	5	0.46642997010553455
5	5	0.46497962298873474
1	10	0.36201286600854937
2	10	0.36338075843209794
3	10	0.3626693022807582
4	10	0.36276232780395906
5	10	0.3629547970895422
1	20	0.25015335027660895
2	20	0.2510587832275917
3	20	0.25090505645038336
4	20	0.25067369568008907
5	20	0.25072685671834394
1	50	0.13677734980824677
2	50	0.137059668195638
3	50	0.13706177008956874
4	50	0.13701765836682397
5	50	0.13689703320668614
1	100	0.0802682317045778
2	100	0.08036239030318276
3	100	0.08036467982886936
4	100	0.08033171146269473
5	100	0.08030582818653013
1	200	0.04468149460102271
2	200	0.04471005800375919
3	200	0.04473334333226801
4	200	0.044696244048599
5	200	0.04469459635129414
1	500	0.01942121785964485
2	500	0.019431855717964252
3	500	0.019429774508533157
4	500	0.019425949680574324
5	500	0.01942326506741127
1	1000	0.01003971627221545
2	1000	0.010042650467648429
3	1000	0.010043275471696794
4	1000	0.010040375458866255
5	1000	0.010040253548182106
1	2000	0.005112357479063596
2	2000	0.005114436369536408
3	2000	0.005114131463631066
4	2000	0.005112544814612347
5	2000	0.005112607236583023
1	3671	0.0028381165244450433
2	3671	0.0028384215615886994
3	3671	0.0028384148991756272
4	3671	0.002838224172113487
5	3671	0.0028382627667724704
