target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	3.6752767177326166E-22	2.8180843898098467E-46	3.247083880184072E-148	6.69480474210918E-135
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	9.53149855317916E-258	1.7977088069199726E-237	0.0	0.0
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	5.904822374909413E-15	5.025051347762478E-75	8.091838904476016E-19	1.1339082789112786E-33
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Average Rating	NaN	0.0	5.317063930931559E-280	0.0	0.0
20	Popularity	Normalized kNN (full)	NaN	2.9675068944729844E-27	2.094513911580604E-35	0.0	2.4174383853779574E-270
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	3.663714316358772E-9	0.013432857314587111	2.893949941279365E-174	5.782068919177196E-59
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (test)	NaN	4.576815769739049E-205	1.1237617605563538E-87	1.4439999267812906E-106	1.941508931407793E-134
50	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	6.387410619175494E-16	0.6903810395370225	0.002405173891188163	0.1119838572685401
5	iMF (full)	Average Rating	NaN	7.9E-323	3.0916354705252054E-171	4.810394320732496E-129	1.4272640130476831E-170
5	iMF (full)	Popularity	NaN	0.0	0.0	9.81171334537707E-225	0.0
5	iMF (full)	kNN (full)	NaN	0.07322844111127394	0.14440382161893806	0.09922039279713057	0.06440869454186687
5	iMF (full)	kNN (test)	NaN	5.34109847429354E-6	4.649631513778696E-4	5.222045239169275E-15	1.3111458468531767E-9
5	iMF (full)	iMF (test)	NaN	1.6124388900157802E-171	2.6659002706427513E-226	4.942752891297147E-183	1.2286052397351959E-221
2000	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Average Rating	NaN	0.0	0.0	7.492501777247827E-276	0.0
