fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	kNN (full)	0.8944816439621335	0.8395221696528261	0.6691987993534981	0.6030167622235671	0.5248366102488687
1	0	Random	0.8944816439621335	0.6846778025599192	0.549549757561764	0.5446574317265284	0.4551401553036068
1	0	iMF (full)	0.8944816439621335	0.8394973878517287	0.6688755483722004	0.6029122253108224	0.5248354572451033
1	0	Popularity	0.8944816439621335	0.7944597073207977	0.633271761717848	0.5869373698691457	0.5045588549518844
1	0	kNN (test)	0.8944816439621335	0.841639019506534	0.6703763564996537	0.6044808033330541	0.5262980374135504
1	0	Normalized kNN (test)	0.8944816439621335	0.8603085806653075	0.6847379358115908	0.6150431552081861	0.537594211580368
1	0	Average Rating	0.8944816439621335	0.8508438655356161	0.6762641422304317	0.6111991924237642	0.5326329488100154
1	0	Normalized kNN (full)	0.8944816439621335	0.8158518439824006	0.6518817824982683	0.5886781420968539	0.5104867380340752
1	0	iMF (test)	0.8944816439621335	0.8712341901139788	0.6948510736550451	0.6195021088882068	0.5431941971078059
2	0	kNN (full)	0.892265065804664	0.8415241113304038	0.6667744169937659	0.6045194950142748	0.5229936621968162
2	0	Random	0.892265065804664	0.6861170546970531	0.5500808127453244	0.548641433195703	0.4553435764450362
2	0	iMF (full)	0.892265065804664	0.8401632866344612	0.6656661279150312	0.6038065971384661	0.5221499787609687
2	0	Popularity	0.892265065804664	0.7979339850229297	0.6309166474255369	0.587780040038851	0.5023251823160648
2	0	kNN (test)	0.892265065804664	0.8428545175081903	0.6670514892634496	0.6048545663724533	0.5233608219511572
2	0	Normalized kNN (test)	0.892265065804664	0.8612408090884404	0.6822673747402448	0.6162410289019172	0.5353639490784271
2	0	Average Rating	0.892265065804664	0.8522517973337405	0.6760101593165551	0.6131569318858331	0.5316459995995569
2	0	Normalized kNN (full)	0.892265065804664	0.8196074067809681	0.6520434079889171	0.5909052398792507	0.5098385439531465
2	0	iMF (test)	0.892265065804664	0.870351946245437	0.6908104363888248	0.6196262454166135	0.539926010264598
3	0	kNN (full)	0.8954744862618333	0.8386515133413558	0.6673054721773263	0.6058689865569667	0.5271338936810195
3	0	Random	0.8954744862618333	0.6908267860261521	0.5534056799815286	0.5516240584445662	0.46072117486864067
3	0	iMF (full)	0.8954744862618333	0.8380372583958049	0.6673747402447472	0.6060250572464795	0.5270922457044147
3	0	Popularity	0.8954744862618333	0.7977666298465161	0.6343107827291619	0.5928529199293714	0.5094953115871723
3	0	kNN (test)	0.8954744862618333	0.8420791935546142	0.6704687139228815	0.609950812213847	0.5304610529240135
3	0	Normalized kNN (test)	0.8954744862618333	0.8613237877576143	0.684691757099977	0.620374163448938	0.5418127074914386
3	0	Average Rating	0.8954744862618333	0.8512578462129755	0.677857307781113	0.6169198611594352	0.537779914660835
3	0	Normalized kNN (full)	0.8954744862618333	0.8177040244131866	0.6531978757792658	0.5939587821617252	0.5153184167208281
3	0	iMF (test)	0.8954744862618333	0.8731578337064781	0.6975756176402678	0.6255054138965369	0.5486965934219774
4	0	kNN (full)	0.8947818055876241	0.8395051331834683	0.6681828676979913	0.6061364547846435	0.525538561850694
4	0	Random	0.8947818055876241	0.6877683881447672	0.5532902332024937	0.5509574251654868	0.4584687760754742
4	0	iMF (full)	0.8947818055876241	0.8411066671613413	0.6692680674209189	0.6069148444451926	0.5262470372466997
4	0	Popularity	0.8947818055876241	0.8006174568451038	0.6358115908566151	0.5927404346289948	0.5078388432423081
4	0	kNN (test)	0.8947818055876241	0.8439858528720926	0.670884322327407	0.6091888367441791	0.5282959637948482
4	0	Normalized kNN (test)	0.8947818055876241	0.8631950815996988	0.685499884553221	0.6190644357447666	0.5393528498435296
4	0	Average Rating	0.8947818055876241	0.8546808862563186	0.6799122604479335	0.6174075774978338	0.5363772989936646
4	0	Normalized kNN (full)	0.8947818055876241	0.8188185595760181	0.6540290925883168	0.5936455748706394	0.5133444192312274
4	0	iMF (test)	0.8947818055876241	0.8717641973696469	0.6936735165088894	0.6218872410747888	0.5433193353704616
5	0	kNN (full)	0.8935118910182406	0.8387557302376146	0.6680443315631495	0.6037572128769114	0.5237421632142678
5	0	Random	0.8935118910182406	0.6813273299651494	0.5484414684830293	0.546543178706859	0.45392556569725495
5	0	iMF (full)	0.8935118910182406	0.8387191072620045	0.6662664511660125	0.602771722446066	0.5226226193087071
5	0	Popularity	0.8935118910182406	0.7949565170214702	0.6322096513507273	0.5877722630359381	0.5034652476064609
5	0	kNN (test)	0.8935118910182406	0.8434350283770264	0.670122373585777	0.6062767464343206	0.5258158335328534
5	0	Normalized kNN (test)	0.8935118910182406	0.8599039022278248	0.6833525744631724	0.6159646953688205	0.5360603024435499
5	0	Average Rating	0.8935118910182406	0.8495901418367968	0.6752943892865388	0.6118619236317973	0.5311724950158679
5	0	Normalized kNN (full)	0.8935118910182406	0.8153525965839735	0.6488108981759408	0.5885453098701798	0.5082523991731228
5	0	iMF (test)	0.8935118910182406	0.8688181122327895	0.6925883167859617	0.6189706347054904	0.5405712567971533
1	1	kNN (full)	0.9200415608404525	0.8360955188505697	0.6668205957053798	0.6000411295157949	0.5223128239681936
1	1	Random	0.9200415608404525	0.6546322305769167	0.5353036250288618	0.5305963179961535	0.44144947338619994
1	1	iMF (full)	0.9200415608404525	0.836316497156296	0.6667744169937659	0.6001570253407156	0.5224934976151683
1	1	Popularity	0.9200415608404525	0.7888953287395702	0.6295543754329254	0.5831702692816982	0.5010588744336941
1	1	kNN (test)	0.9200415608404525	0.8390268900237745	0.6684830293234818	0.6023103298825165	0.52438742299477
1	1	Normalized kNN (test)	0.9200415608404525	0.8514778680726731	0.6791734010621103	0.6100206997636868	0.5327353388880094
1	1	Average Rating	0.9200415608404525	0.8364719279347045	0.6675825444470099	0.6035906496250901	0.5251550225069117
1	1	Normalized kNN (full)	0.9200415608404525	0.8045504669515318	0.6451396906026322	0.5805598036956587	0.5035551376116431
1	1	iMF (test)	0.9200415608404525	0.865975540795519	0.6923805125836989	0.6170881248362478	0.5408991816102422
2	1	kNN (full)	0.9186100207804202	0.8382116185850971	0.664950357885015	0.6025730576216866	0.521212553214083
2	1	Random	0.9186100207804202	0.6543167739162616	0.5328792426691296	0.5337668108832934	0.44067434234577296
2	1	iMF (full)	0.9186100207804202	0.8373836134951911	0.6639113368737013	0.6014394207890339	0.5202632659060469
2	1	Popularity	0.9186100207804202	0.7924375463452075	0.6274994227661048	0.584091186261207	0.4990251744262299
2	1	kNN (test)	0.9186100207804202	0.840016988865613	0.6653659662895405	0.6029746873502468	0.5216657584558363
2	1	Normalized kNN (test)	0.9186100207804202	0.8516506894238862	0.6770491803278689	0.6118424041763347	0.5309788469518137
2	1	Average Rating	0.9186100207804202	0.8357721564804038	0.6673978296005542	0.606116629356922	0.5244851555355224
2	1	Normalized kNN (full)	0.9186100207804202	0.8073803816833278	0.6450704225352113	0.5826467818938286	0.5027866387546794
2	1	iMF (test)	0.9186100207804202	0.8655629129491769	0.6879242669129532	0.6174036296120252	0.5375744306340792
3	1	kNN (full)	0.9206880628030478	0.8353502002206922	0.6648118217501732	0.6029278839872886	0.5245653586873702
3	1	Random	0.9206880628030478	0.6510274273265358	0.5325790810436388	0.5325662402279739	0.4423831391914754
3	1	iMF (full)	0.9206880628030478	0.8356827412966372	0.6661279150311706	0.6041430941185797	0.5256611691811675
3	1	Popularity	0.9206880628030478	0.7922335843622444	0.6308704687139229	0.5890105476543334	0.5060589721571207
3	1	kNN (test)	0.9206880628030478	0.8394889258495379	0.668436850611868	0.6076660462141309	0.528431747914571
3	1	Normalized kNN (test)	0.9206880628030478	0.8529021449586645	0.6798429923805126	0.6160773909447721	0.5375699672118313
3	1	Average Rating	0.9206880628030478	0.8361635262217252	0.6693373354883398	0.6093869324280683	0.5303439594181556
3	1	Normalized kNN (full)	0.9206880628030478	0.8055244469818398	0.6458092819210344	0.5850718452072636	0.5076468149400243
3	1	iMF (test)	0.9206880628030478	0.8683454588243618	0.6939044100669591	0.6218510588870789	0.5453673471124034
