target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	1.0	0.06109443546525052	0.26372662202724545	0.26372662202724545	0.26372662202724545
500	Popularity	iMF (test)	1.0	0.06483491110598014	0.277764950357885	0.277764950357885	0.277764950357885
500	Popularity	Random	1.0	0.11235280535673055	0.13244054490879703	0.13244054490879703	0.13244054490879703
500	Popularity	Normalized kNN (full)	1.0	0.05952435927037636	0.2584622489032556	0.2584622489032556	0.2584622489032556
500	Popularity	Normalized kNN (test)	1.0	0.10353267143846687	0.2519048718540753	0.2519048718540753	0.2519048718540753
500	Popularity	Average Rating	1.0	0.10464096051720156	0.20304779496652042	0.20304779496652042	0.20304779496652042
500	Popularity	iMF (full)	1.0	0.0377741861002078	0.1830062341260679	0.1830062341260679	0.1830062341260679
20	Popularity	Random	1.0	0.01306857538674671	0.09143384899561302	0.09143384899561302	0.09143384899561302
20	Popularity	Normalized kNN (test)	1.0	0.048210574924959594	0.33313322558300623	0.33313322558300623	0.33313322558300623
20	Popularity	iMF (full)	1.0	0.06779034864927269	0.3529438928653891	0.3529438928653891	0.3529438928653891
20	Popularity	iMF (test)	1.0	0.06899099515123527	0.371784807203879	0.371784807203879	0.371784807203879
20	Popularity	kNN (full/test)	1.0	0.09295774647887324	0.4228584622489033	0.4228584622489033	0.4228584622489033
20	Popularity	Average Rating	1.0	0.037543292542138076	0.285476795197414	0.285476795197414	0.285476795197414
20	Popularity	Normalized kNN (full)	1.0	0.05398291387670284	0.2885707688755484	0.2885707688755484	0.2885707688755484
20	Random	Normalized kNN (test)	1.0	0.015100438697760333	0.10006926806742092	0.10006926806742092	0.10006926806742092
20	Random	iMF (full)	1.0	0.012052643731239899	0.06012468252135766	0.06012468252135766	0.06012468252135766
20	Random	iMF (test)	1.0	0.012191179866081736	0.05458323712768414	0.05458323712768414	0.05458323712768414
20	Random	kNN (full/test)	1.0	0.01237589471253752	0.05947818055876241	0.05947818055876241	0.05947818055876241
20	Random	Average Rating	1.0	0.017686446548141308	0.1192334333872085	0.1192334333872085	0.1192334333872085
20	Random	Normalized kNN (full)	1.0	0.021703994458554605	0.12417455552990071	0.12417455552990071	0.12417455552990071
50	Popularity	Normalized kNN (full)	1.0	0.04945740013853613	0.2757330870468714	0.2757330870468714	0.2757330870468714
50	Popularity	iMF (full)	1.0	0.05158162087277765	0.2826598937889633	0.2826598937889633	0.2826598937889633
50	Popularity	iMF (test)	1.0	0.05088894019856846	0.32320480258600787	0.32320480258600787	0.32320480258600787
50	Popularity	kNN (full/test)	1.0	0.07037635649965365	0.34781805587624104	0.34781805587624104	0.34781805587624104
50	Popularity	Normalized kNN (test)	1.0	0.03786654352343569	0.2641884091433849	0.2641884091433849	0.2641884091433849
50	Popularity	Random	1.0	0.021057492495959364	0.06866774416993766	0.06866774416993766	0.06866774416993766
50	Popularity	Average Rating	1.0	0.03084737935811591	0.21773262525975526	0.21773262525975526	0.21773262525975526
5	iMF (full)	Normalized kNN (full)	1.0	0.10076194874163011	0.42493650427153085	0.42493650427153085	0.42493650427153085
5	iMF (full)	Random	1.0	0.017547910413299467	0.23357192334333873	0.23357192334333873	0.23357192334333873
