fold	target size	expected intersection ratio in top n
3	100	0.08098360320849045
3	200	0.04489003667785758
3	50	0.13876078401594202
3	2000	0.005105168863340788
3	3706	0.00280427991504091
3	1000	0.01003212602604742
3	500	0.019437446282444308
3	5	0.4809565627501801
3	20	0.2562023533019811
2	100	0.08105086501993854
5	100	0.08105005535273856
3	10	0.3729881852376521
2	200	0.0449083441137652
5	200	0.044916882987681116
3	1	0.557533045407787
2	50	0.1388767454285885
5	50	0.1389316258488628
3	0	0.5735480625803838
2	2000	0.0051056150853897265
5	2000	0.005105387245379334
3	2	0.5403740916278106
2	3706	0.0028044388235634035
5	3706	0.002804370302171929
2	1000	0.01003644721104221
5	1000	0.010035655258601782
2	500	0.019446161687032316
5	500	0.01944264515932695
2	5	0.48045090872902857
5	5	0.4799034472721964
2	20	0.25620534854510224
5	20	0.25611616810210674
1	100	0.08106241076858704
2	10	0.3723672316555422
5	10	0.372817807735768
1	200	0.04491967811645602
2	1	0.5584091593217834
5	1	0.5588758128967192
1	50	0.1389259818575572
2	2	0.5412198854214489
5	2	0.5410881238718399
1	5	0.48077292163890717
1	2000	0.0051059563708199885
2	0	0.5745289867164669
5	0	0.5749936327056513
1	20	0.25643909208421467
1	3706	0.002804512266441185
4	100	0.08105840888636184
1	10	0.3730972300219127
1	1000	0.010037818529921855
4	200	0.04491721086100992
1	1	0.5581434428554647
1	500	0.019450151542466123
4	50	0.1389561774777056
1	2	0.5406042428544006
1	0	0.5746580457490925
4	2000	0.005105267947615342
4	3706	0.002804339765194753
4	1000	0.010034389889871471
4	500	0.019445976381590842
4	5	0.4813204098709283
4	20	0.25650995035086155
4	10	0.37337349652244867
4	1	0.5584802077306518
4	2	0.5414316223548665
4	0	0.5746066957475039
