target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	4.285799970525471E-55	2.905619252609779E-58	1.0059207702838172E-97	1.5641645109735224E-113
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	0.0	1.9771464373437697E-146	2.3079791682397813E-131	2.7161245684134042E-146	2.67320178252355E-199
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	2.5525059949777924E-273	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	3.074950406001858E-10	4.284874113738092E-35	1.703804706400379E-87	6.300229805797275E-98	1.7646573763515386E-117
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	1.6493787022200134E-26	0.0	0.0	1.622132908143273E-238	0.0
20	Popularity	kNN (full)	1.5410580419250428E-61	0.0	0.0	5.670628500119542E-225	0.0
20	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (full)	0.0	3.317422561133711E-5	4.201311531116639E-12	8.44259997945785E-189	6.414807603278274E-93
20	Random	Normalized kNN (test)	3.074950406001858E-10	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	1.6493787022200134E-26	0.0	0.0	0.0	0.0
20	Random	kNN (full)	1.5410580419250428E-61	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	6.933852910500951E-177	8.019040483779819E-236	2.7842482949018583E-78	2.5013404593151763E-159
