fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	100	Average Rating	1.0	0.36727096383797125	0.2834271523178808	0.208533847884092	0.19472700788616043
2	100	iMF (test)	1.0	0.6242106550885372	0.511407284768212	0.4495829482070402	0.3918810445319547
3	100	Average Rating	1.0	0.36680988311253104	0.27531456953642386	0.19350877266258856	0.184512964970297
3	100	iMF (test)	1.0	0.6291945108484183	0.5124503311258278	0.44604726661892347	0.38855647510993074
5	100	Average Rating	1.0	0.3859405376210451	0.29317880794701984	0.2101051519445156	0.1986610618675632
2	100	Normalized kNN (full)	0.7331788079470198	0.5721664466739492	0.4574006622516556	0.34350812249365054	0.32744913926409336
2	100	Random	1.0	0.1373824748092041	0.1275	0.08241994990873781	0.08086600357175248
5	100	iMF (test)	1.0	0.6348407324459826	0.518228476821192	0.45026064607069294	0.3953092396457885
3	100	Normalized kNN (full)	0.7313245033112582	0.570622908298486	0.4552814569536424	0.34265453543327584	0.32524920546562913
3	100	Random	1.0	0.13236929670878833	0.12372516556291392	0.0772038750232251	0.07729511458767127
5	100	Normalized kNN (full)	0.7336092715231788	0.5738256605956197	0.4588245033112583	0.3461312990732751	0.32894405640731755
5	100	Random	1.0	0.1429060982456518	0.13056291390728478	0.08121320685979794	0.08185024819311268
4	100	Average Rating	1.0	0.3924004212185026	0.3063907284768212	0.21757628461400932	0.2081750696771531
4	100	iMF (test)	1.0	0.625523536032784	0.5113079470198676	0.44385185569644076	0.38956292005653903
4	100	Normalized kNN (full)	0.7354801324503312	0.5699856592939517	0.45533112582781454	0.34391189214040674	0.3265474845265222
4	100	Random	1.0	0.13506553132907118	0.12725165562913907	0.07907878288313684	0.07992444843359976
2	100	iMF (full)	1.0	0.7251902959358941	0.579569536423841	0.5097307929119093	0.44687318406694043
2	100	Popularity	1.0	0.5119202629307477	0.42387417218543044	0.3488064640124821	0.3116778157378224
3	5	Average Rating	0.9834105960264901	0.724191604223236	0.5991721854304636	0.5694613057431225	0.47732578652958385
2	100	kNN (test)	1.0	0.6899068453058061	0.5460430463576159	0.48321204094710557	0.4202556220473499
3	100	iMF (full)	1.0	0.7289891123350418	0.5795364238410596	0.5114205404133839	0.4456659724652132
3	100	Popularity	1.0	0.5118269159289891	0.4283112582781457	0.35145528612781446	0.31417418782069406
3	5	iMF (test)	0.9834437086092715	0.8085714080554623	0.6536258278145696	0.6053969649686255	0.5161694518426768
3	100	kNN (test)	1.0	0.6881802293735404	0.5449834437086093	0.4816010077342851	0.4179266518332553
5	100	iMF (full)	1.0	0.7285023333408083	0.5815397350993378	0.5113837744661908	0.44893462112691096
5	100	Popularity	1.0	0.5137212917942443	0.4277814569536424	0.3494575856873946	0.3140380619086418
5	100	kNN (test)	1.0	0.6904894326318373	0.5491059602649007	0.48557608613436937	0.4231270744663864
3	5	Normalized kNN (full)	0.6886754966887417	0.6279740453599937	0.5024006622516556	0.36380161160112756	0.3525592403644331
3	5	Random	0.9834437086092715	0.5598154488510922	0.46672185430463575	0.4748053178428234	0.3829234559510939
2	100	Normalized kNN (test)	1.0	0.4135997586440089	0.3484271523178808	0.2658900926636315	0.24512856321924237
3	100	Normalized kNN (test)	1.0	0.41684330149886123	0.34754966887417216	0.25955607595844654	0.24128152875484468
2	100	kNN (full)	0.9999668874172186	0.6948730401209304	0.5500827814569537	0.4851383660130727	0.423135261597777
3	100	kNN (full)	0.9998841059602649	0.692939831506918	0.5477152317880795	0.48440555854796213	0.4203370437830947
4	100	iMF (full)	1.0	0.728997658251215	0.5814072847682119	0.5088015484511333	0.44758728310262363
4	100	Popularity	1.0	0.5143277199648908	0.4300827814569536	0.3537632637610976	0.3166947899050063
5	100	Normalized kNN (test)	1.0	0.43031057605292283	0.36185430463576157	0.2718124609672101	0.2527250994167855
4	100	kNN (test)	1.0	0.6874081215264702	0.545546357615894	0.48252635941594935	0.4202333883298359
5	100	kNN (full)	0.9999337748344371	0.6941388355111553	0.5525331125827815	0.4882761895463049	0.4255797690101299
4	100	Normalized kNN (test)	1.0	0.4149582906309417	0.34779801324503307	0.26283830016406956	0.2434223255498207
4	100	kNN (full)	0.9999006622516555	0.6907787251983738	0.5479635761589403	0.4835161964257678	0.42191387132113023
3	5	iMF (full)	0.9834437086092715	0.809321735890455	0.6401655629139072	0.5974020331062745	0.5078494997076579
3	5	Popularity	0.9834105960264901	0.6836938021301775	0.5764238410596026	0.557534532762903	0.4635260785961975
3	5	kNN (test)	0.9405629139072847	0.7798061317004097	0.6223344370860927	0.5812477608590333	0.49357168837876
3	5	Normalized kNN (test)	0.950976821192053	0.7431681411211373	0.6104966887417219	0.5753057338688142	0.4849343304063696
3	5	kNN (full)	0.9281953642384106	0.7805207666504266	0.6214403973509933	0.5761243853358756	0.491366151313554
2	200	Average Rating	1.0	0.25216569377344433	0.2083774834437086	0.15200500607693757	0.1426193693255077
2	200	iMF (test)	1.0	0.54362887540486	0.4477980132450331	0.375864718149063	0.33451845319710183
3	2000	Average Rating	1.0	0.05861023302796052	0.06230132450331126	0.03836300594020847	0.03863117235693185
3	2000	iMF (test)	1.0	0.22148502113335516	0.18892384105960264	0.13773436364526886	0.12879396775730936
3	200	Average Rating	1.0	0.2738723317242137	0.22475165562913907	0.15846846696419778	0.15049006014432523
2	200	Normalized kNN (full)	0.7714238410596026	0.5285619533607693	0.4232284768211921	0.3250621608349194	0.3053519963773604
5	200	Average Rating	1.0	0.18504750921569613	0.1721026490066225	0.12439192448783572	0.11708157728494184
2	200	Random	1.0	0.08200714608966549	0.07662251655629139	0.04400977947105748	0.04514027167334163
3	200	iMF (test)	1.0	0.5439421896667236	0.4480794701986755	0.36724428788403235	0.32975817224801207
5	200	iMF (test)	1.0	0.5527928549652064	0.4535264900662252	0.37628055055550963	0.3371868589008269
3	2000	Normalized kNN (full)	0.968841059602649	0.26240813846570804	0.2159437086092715	0.18941148116228174	0.1629696695099156
3	2000	Random	1.0	0.010838837158862032	0.010612582781456955	0.005052759172516046	0.005463933114336167
3	200	Normalized kNN (full)	0.7695860927152318	0.5275831023010091	0.4208940397350993	0.32372575016371413	0.3027121583531801
3	200	Random	1.0	0.08503301301688117	0.07920529801324504	0.046537555204768884	0.04708182832067018
5	200	Normalized kNN (full)	0.7711092715231788	0.5313361633902659	0.42543046357615893	0.32772730826726415	0.3069868799079676
5	200	Random	1.0	0.08473320043470968	0.0802980132450331	0.04672962377200728	0.048096929897952376
4	200	Average Rating	1.0	0.25928382165939234	0.22124172185430463	0.1581221394397435	0.1505470689003722
4	200	iMF (test)	1.0	0.5450409655215759	0.446887417218543	0.374471020461195	0.33327518748755414
4	200	Normalized kNN (full)	0.7755298013245033	0.5248101356136927	0.4202814569536424	0.3244674776866744	0.30373628146295656
4	200	Random	1.0	0.08494138669464066	0.07973509933774835	0.045822578602080145	0.047101942759223386
3	50	Average Rating	1.0	0.5127975085602369	0.40211920529801326	0.29907229183943035	0.2792294018463709
2	200	iMF (full)	1.0	0.6819763425452857	0.5445033112582782	0.46880717014320916	0.41426710906512243
2	200	Popularity	1.0	0.4424708743186477	0.3544867549668874	0.267851629956004	0.24844124366532316
3	50	iMF (test)	1.0	0.6898889368975807	0.5625165562913907	0.49788751911751183	0.431929999509919
2	200	kNN (test)	1.0	0.6369875194395459	0.4995860927152318	0.42921831328611215	0.3776195505671738
3	20	Average Rating	1.0	0.5540043964635678	0.44566225165562917	0.36536933108617714	0.3243328515302243
3	2000	iMF (full)	1.0	0.44814772145027676	0.3593211920529802	0.2769309335333957	0.25414748559539985
3	2000	Popularity	1.0	0.23298520218138077	0.19947019867549667	0.123039791316341	0.12342716748428177
3	50	Normalized kNN (full)	0.7101324503311258	0.5928606260630965	0.47253311258278147	0.3504980022757306	0.3351860551258752
3	50	Random	1.0	0.21386147856523796	0.19617549668874174	0.14073830811048518	0.13185561546204924
3	20	iMF (test)	1.0	0.739661037545371	0.602433774834437	0.5484166239184308	0.4695348948296024
3	2000	kNN (test)	1.0	0.4081326256402258	0.3217218543046358	0.24755457764918928	0.2261324462360495
3	200	iMF (full)	1.0	0.6864299732055322	0.5450165562913908	0.4706414886329899	0.41317133038876197
3	200	Popularity	1.0	0.44118747921628665	0.35771523178807946	0.26957547137275883	0.2500722762348493
5	200	iMF (full)	1.0	0.6867788845866366	0.546158940397351	0.4708162887887291	0.4160993477671472
5	200	Popularity	1.0	0.440983312690569	0.35397350993377485	0.2628331155660236	0.24677079210435815
3	200	kNN (test)	1.0	0.63368365541491	0.4970695364238411	0.42911837834628236	0.37516054694448514
5	200	kNN (test)	1.0	0.6363887995797585	0.5004635761589404	0.43083984369682804	0.3789166854246247
3	20	Normalized kNN (full)	0.7027152317880794	0.6056713512946796	0.4854470198675497	0.35631272035602624	0.3427327569663755
3	20	Random	1.0	0.3570291397085622	0.3156291390728477	0.2606723385263306	0.23188738557479063
2	200	Normalized kNN (test)	1.0	0.32563153885479285	0.28480132450331125	0.2085456799513054	0.19562510211982348
2	200	kNN (full)	1.0	0.6414478235999289	0.5033278145695365	0.43098717003014075	0.38036471221945795
3	2000	Normalized kNN (test)	1.0	0.07884795333936503	0.08332781456953643	0.04713325619769213	0.05026577440434911
4	200	iMF (full)	1.0	0.6850841961908218	0.5464735099337749	0.46854360498229114	0.4149859945483143
4	200	Popularity	1.0	0.44118840900708917	0.35693708609271524	0.2708027353526119	0.25091426977520065
