target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.039139072847682116	0.039139072847682116	0.039139072847682116	0.039139072847682116
500	Popularity	iMF (test)	0.0	0.053509933774834435	0.053509933774834435	0.053509933774834435	0.053509933774834435
500	Popularity	Random	0.0	0.12112582781456954	0.12112582781456954	0.12112582781456954	0.12112582781456954
500	Popularity	Normalized kNN (full)	0.0	0.05096026490066225	0.05096026490066225	0.05096026490066225	0.05096026490066225
500	Popularity	Normalized kNN (test)	0.0	0.10294701986754967	0.10294701986754967	0.10294701986754967	0.10294701986754967
500	Popularity	kNN (full)	0.0	0.03586092715231788	0.03586092715231788	0.03586092715231788	0.03586092715231788
500	Popularity	Average Rating	0.0	0.10993377483443709	0.10993377483443709	0.10993377483443709	0.10993377483443709
500	Popularity	iMF (full)	0.0	0.027781456953642383	0.027781456953642383	0.027781456953642383	0.027781456953642383
20	Popularity	Random	0.0	0.010993377483443709	0.010993377483443709	0.010993377483443709	0.010993377483443709
20	Popularity	Normalized kNN (test)	0.0	0.010496688741721855	0.010496688741721855	0.010496688741721855	0.010496688741721855
20	Popularity	iMF (full)	0.0	0.00956953642384106	0.00956953642384106	0.00956953642384106	0.00956953642384106
20	Popularity	iMF (test)	0.0	0.009867549668874173	0.009867549668874173	0.009867549668874173	0.009867549668874173
20	Popularity	kNN (test)	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
20	Popularity	kNN (full)	0.0	0.010364238410596027	0.010364238410596027	0.010364238410596027	0.010364238410596027
20	Popularity	Average Rating	0.0	0.010993377483443709	0.010993377483443709	0.010993377483443709	0.010993377483443709
20	Popularity	Normalized kNN (full)	0.0	0.012450331125827815	0.012450331125827815	0.012450331125827815	0.012450331125827815
20	Random	Normalized kNN (test)	0.0	0.010629139072847682	0.010629139072847682	0.010629139072847682	0.010629139072847682
20	Random	iMF (full)	0.0	0.010629139072847682	0.010629139072847682	0.010629139072847682	0.010629139072847682
20	Random	iMF (test)	0.0	0.009470198675496689	0.009470198675496689	0.009470198675496689	0.009470198675496689
20	Random	kNN (test)	0.0	0.009966887417218543	0.009966887417218543	0.009966887417218543	0.009966887417218543
20	Random	kNN (full)	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Random	Average Rating	0.0	0.014801324503311258	0.014801324503311258	0.014801324503311258	0.014801324503311258
20	Random	Normalized kNN (full)	0.0	0.029072847682119204	0.029072847682119204	0.029072847682119204	0.029072847682119204
50	Popularity	Normalized kNN (full)	0.0	0.020264900662251655	0.020264900662251655	0.020264900662251655	0.020264900662251655
50	Popularity	iMF (full)	0.0	0.01109271523178808	0.01109271523178808	0.01109271523178808	0.01109271523178808
50	Popularity	iMF (test)	0.0	0.012980132450331127	0.012980132450331127	0.012980132450331127	0.012980132450331127
50	Popularity	kNN (test)	0.0	0.012880794701986754	0.012880794701986754	0.012880794701986754	0.012880794701986754
50	Popularity	Normalized kNN (test)	0.0	0.017119205298013244	0.017119205298013244	0.017119205298013244	0.017119205298013244
50	Popularity	kNN (full)	0.0	0.012947019867549668	0.012947019867549668	0.012947019867549668	0.012947019867549668
50	Popularity	Random	0.0	0.02052980132450331	0.02052980132450331	0.02052980132450331	0.02052980132450331
50	Popularity	Average Rating	0.0	0.01903973509933775	0.01903973509933775	0.01903973509933775	0.01903973509933775
5	iMF (full)	Normalized kNN (full)	0.0	0.009536423841059603	0.009536423841059603	0.009536423841059603	0.009536423841059603
