fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	kNN (k=1000)	0.8331578947368422	0.8651081817701202	0.6210526315789474	0.7474888478546692	0.5799329013089208
1	0	iMF (k=50, lambda=10.0, alpha=1.0)	0.8331578947368422	0.8373522368377562	0.6021052631578948	0.7331423589154973	0.565757131258647
1	0	kNN (k=500)	0.8331578947368422	0.8651081817701202	0.6210526315789474	0.7474888478546692	0.5799329013089208
1	0	kNN (k=100)	0.8331578947368422	0.8661095020428377	0.6228947368421053	0.7486552938641411	0.5811959849098963
1	0	iMF (k=50, lambda=10.0, alpha=10.0)	0.8331578947368422	0.8282775681156959	0.5997368421052631	0.729891218068534	0.5624344787054415
1	0	Normalized kNN (k=5000, min=3)	0.8331578947368422	0.8740634064905823	0.6271052631578947	0.7489480398478822	0.5830662797387072
1	0	iMF (k=50, lambda=0.1, alpha=10.0)	0.8331578947368422	0.8340876677127106	0.603421052631579	0.7321735684672117	0.5652156898329421
1	0	kNN (k=900)	0.8331578947368422	0.8651081817701202	0.6210526315789474	0.7474888478546692	0.5799329013089208
1	0	Normalized kNN (k=60, min=3)	0.8331578947368422	0.8648860414424859	0.62	0.7457096149431737	0.5786118596462422
1	0	kNN (k=2000)	0.8331578947368422	0.8651081817701202	0.6210526315789474	0.7474888478546692	0.5799329013089208
1	0	Normalized kNN (k=30, min=3)	0.8331578947368422	0.8549442899419865	0.6160526315789474	0.7396953438616678	0.5738518892317147
1	0	Normalized kNN (k=400, min=3)	0.8331578947368422	0.8739991292127796	0.6271052631578947	0.7489480398478822	0.5830662797387072
1	0	iMF (k=5, lambda=10.0, alpha=100.0)	0.8331578947368422	0.8640383334054255	0.6155263157894737	0.7448344737230871	0.5771069152506583
1	0	Random	0.8331578947368422	0.7675572323893505	0.5605263157894737	0.7040928366762124	0.5345018729915464
1	0	kNN (k=10)	0.8331578947368422	0.8503497830097629	0.6086842105263158	0.7348995061421467	0.5683617557257808
1	0	iMF (k=50, lambda=1.0, alpha=100.0)	0.8331578947368422	0.8226062718037931	0.5952631578947368	0.7275271442734335	0.5599369967809326
1	0	kNN (k=30)	0.8331578947368422	0.8629231769223665	0.6197368421052631	0.7438806638550092	0.5773260380155328
1	0	kNN (k=50)	0.8331578947368422	0.8667451211066132	0.6210526315789474	0.7456959884245045	0.5787962079286548
1	0	Normalized kNN (k=2000, min=3)	0.8331578947368422	0.8740752744561943	0.6273684210526316	0.7493866363391103	0.5833952271071282
1	0	iMF (k=5, lambda=1.0, alpha=1.0)	0.8331578947368422	0.8544195158490899	0.6131578947368421	0.7402963129764794	0.5731587341525815
1	0	iMF (k=10, lambda=10.0, alpha=100.0)	0.8331578947368422	0.85225680526316	0.6142105263157895	0.741318686724736	0.5740761848113312
1	0	kNN (k=70)	0.8331578947368422	0.8640640504481832	0.6221052631578947	0.747338574820452	0.5801439437293113
1	0	iMF (k=5, lambda=1.0, alpha=100.0)	0.8331578947368422	0.8625978050144336	0.6189473684210526	0.7497456756814351	0.5814564758977164
1	0	iMF (k=5, lambda=10.0, alpha=10.0)	0.8331578947368422	0.8584016104856684	0.6157894736842106	0.7443958974858713	0.5765906662083747
1	0	kNN (k=90)	0.8331578947368422	0.8658165831849374	0.621842105263158	0.74812011993015	0.5806128011464653
1	0	Normalized kNN (k=700, min=3)	0.8331578947368422	0.8740235560923229	0.6271052631578947	0.7489480398478822	0.5830662797387072
1	0	Normalized kNN (k=90, min=3)	0.8331578947368422	0.8718592425879438	0.625	0.7492024451795836	0.5824203522101495
1	0	Normalized kNN (k=800, min=3)	0.8331578947368422	0.8742312635982296	0.6273684210526316	0.7493866363391103	0.5833952271071282
1	0	iMF (k=5, lambda=0.1, alpha=1.0)	0.8331578947368422	0.8536593375436804	0.6126315789473684	0.7398618935946916	0.5727534428494573
