fold	target size	expected intersection ratio in top n
3	5	0.5908010125764388
5	5	0.5862259075939538
4	5	0.5851637243655883
3	2000	0.0050962655860815765
2	5	0.5870862114423933
1	5	0.592573706862991
5	2000	0.005096884951345851
3	20	0.2980876800791357
4	2000	0.005096075207268804
5	20	0.29714644981803023
2	2000	0.0050970718969646
4	20	0.2974151434821599
1	2000	0.0050982389753238145
2	20	0.2988332239317357
3	2913	0.003536724164801262
1	20	0.30101605862726755
5	2913	0.0035367374111262046
3	10	0.4475372802598573
4	2913	0.003536943193107107
5	10	0.44769405548602464
2	2913	0.0035372721720317107
4	10	0.44691183761851827
2	10	0.45080668942348556
1	2913	0.0035373740692725484
1	10	0.45364467210299436
3	1000	0.010080112312446368
3	1	0.681053560235358
5	1000	0.010079480530351511
5	1	0.6748482664085037
4	1000	0.01008176459021876
4	1	0.6750037549837178
2	1000	0.010082566424220325
2	1	0.6825234394278329
1	1000	0.010086992670610395
1	1	0.6890191147291788
3	500	0.019764274006338744
5	500	0.01974529237791378
3	2	0.6613946626860607
5	2	0.6558564245096505
4	500	0.019756529698997487
4	2	0.6548080370839665
2	500	0.019774681792272982
2	2	0.6602355249792737
1	500	0.019774617933351772
1	2	0.6666177773530676
3	50	0.1541584704407837
3	0	0.6991080447523418
5	50	0.153717598719724
5	0	0.6926099740340297
4	50	0.1539048349964939
4	0	0.6944575415196476
2	50	0.15436951370862922
2	0	0.7010493461764091
1	50	0.1548380390102963
1	0	0.7085698318832059
3	200	0.046801760447820855
2	100	0.08697625532434801
5	200	0.04676258859865708
4	200	0.046758665450871435
1	100	0.0871945328240743
2	200	0.046792934089567265
5	100	0.08672266788650383
1	200	0.04689575812808099
4	100	0.08684229312429083
3	100	0.08680495421160617
