target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	2.4074527960500522E-32	9.402192859318865E-23	2.3752223380237095E-13	4.202001249353289E-21
500	Popularity	iMF (test)	NaN	1.0920348633071215E-25	1.6256682684109887E-22	3.968786534975503E-14	2.0300946057985496E-21
500	Popularity	Random	NaN	2.3350207617400604E-70	4.7065264475305374E-64	2.0006724350037962E-53	1.580899059167001E-76
500	Popularity	Normalized kNN (full)	6.545309356696389E-24	2.1591734880984764E-4	5.671588468489519E-4	2.2323468524152959E-4	1.398575212390744E-5
500	Popularity	Normalized kNN (test)	NaN	1.187240243617017E-48	4.264017419215632E-44	4.136401780858322E-28	7.460345541875512E-48
500	Popularity	kNN (full)	NaN	5.645545704432359E-33	2.3473125479146384E-30	3.6897718414066053E-16	2.4934311714028476E-28
500	Popularity	Average Rating	NaN	1.3324172810915242E-57	1.919162415575579E-54	2.8626231936669868E-39	6.18761276052706E-61
500	Popularity	iMF (full)	NaN	3.0422024610005375E-37	2.572140531052998E-35	4.977617221061292E-22	1.8459104762049877E-35
20	Popularity	Random	NaN	6.254675949683219E-97	2.3085639917156283E-86	2.9332898164115253E-64	7.223818566694173E-87
20	Popularity	Normalized kNN (test)	NaN	5.687181606342285E-10	7.041407122986648E-4	0.005163932600295275	4.541220032489162E-4
20	Popularity	iMF (full)	NaN	5.072976871996299E-19	1.922060891809617E-18	1.540294431577824E-13	4.3045871157785337E-19
20	Popularity	iMF (test)	NaN	0.9617926545054979	0.13389030331118867	0.1795344214157658	0.017133942612049532
20	Popularity	kNN (test)	NaN	5.982474055057183E-24	5.536729111556821E-17	1.4694278846168186E-10	3.3073008403966576E-15
20	Popularity	kNN (full)	1.348259628670125E-6	4.3838052520029955E-18	1.1521573497815808E-15	3.297605701939609E-9	6.338358043509018E-14
20	Popularity	Average Rating	NaN	1.0169545475645225E-36	4.520845326788844E-31	7.878930195197116E-23	2.041556331248768E-30
20	Popularity	Normalized kNN (full)	1.2398318340059033E-77	2.0306510494765158E-19	3.852290900240054E-29	1.4180719310075321E-36	1.1159058078305638E-36
2913	kNN (test)	iMF (full)	NaN	5.792720596091162E-8	1.197426414984145E-8	3.5286005682988048E-6	5.417149133011683E-9
2913	kNN (test)	Popularity	NaN	9.573822777978831E-22	5.711569597848971E-19	3.154144279312748E-14	1.4926990137032248E-19
2913	kNN (test)	kNN (full)	NaN	1.661368839180249E-8	1.6957062529256777E-7	2.1053085757552954E-7	2.2278898142974094E-8
2913	kNN (test)	Average Rating	NaN	2.572782030448916E-47	6.348382992354412E-50	4.063970000570467E-40	2.6913540363476185E-59
2913	kNN (test)	Random	NaN	3.076700723868774E-52	1.0655049734317472E-51	1.7465160096733608E-42	6.211547376378297E-63
2913	kNN (test)	iMF (test)	NaN	1.2769177070973234E-38	1.9930159293355752E-38	1.9487787285351527E-29	5.8698584029137085E-43
2913	kNN (test)	Normalized kNN (full)	0.07537134336061652	8.07683166137185E-11	1.5666023034797576E-9	0.05496569194534231	1.4237067904439388E-5
2913	kNN (test)	Normalized kNN (test)	NaN	4.849728353707383E-50	3.187342139100063E-50	1.8328819737651802E-36	1.258589828719427E-60
20	Random	Normalized kNN (test)	NaN	2.7279990691652966E-79	8.1976668341472055E-84	4.077658239750143E-60	3.191723070752809E-84
20	Random	iMF (full)	NaN	4.54423903918055E-128	3.3612115550977454E-111	4.431933302022607E-80	2.4110832250184857E-108
