target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.18842105263157893	0.4968421052631579	0.4968421052631579	0.4968421052631579
500	Popularity	iMF (test)	1.0	0.1636842105263158	0.32842105263157895	0.32842105263157895	0.32842105263157895
500	Popularity	Random	1.0	0.2031578947368421	0.23105263157894737	0.23105263157894737	0.23105263157894737
500	Popularity	Normalized kNN (full)	0.7057894736842105	0.10894736842105263	0.30526315789473685	0.30526315789473685	0.30526315789473685
500	Popularity	Normalized kNN (test)	1.0	0.19263157894736843	0.2847368421052632	0.2847368421052632	0.2847368421052632
500	Popularity	kNN (full)	1.0	0.10157894736842105	0.3231578947368421	0.3231578947368421	0.3231578947368421
500	Popularity	Average Rating	1.0	0.19736842105263158	0.25157894736842107	0.25157894736842107	0.25157894736842107
500	Popularity	iMF (full)	1.0	0.09736842105263158	0.29210526315789476	0.29210526315789476	0.29210526315789476
20	Popularity	Random	1.0	0.018947368421052633	0.10421052631578948	0.10421052631578948	0.10421052631578948
20	Popularity	Normalized kNN (test)	0.9963157894736843	0.04368421052631579	0.39631578947368423	0.39631578947368423	0.39631578947368423
20	Popularity	iMF (full)	1.0	0.08263157894736842	0.44157894736842107	0.44157894736842107	0.44157894736842107
20	Popularity	iMF (test)	1.0	0.060526315789473685	0.4536842105263158	0.4536842105263158	0.4536842105263158
20	Popularity	kNN (test)	1.0	0.13	0.5615789473684211	0.5615789473684211	0.5615789473684211
20	Popularity	kNN (full)	0.9110526315789473	0.09105263157894737	0.4763157894736842	0.4763157894736842	0.4763157894736842
20	Popularity	Average Rating	1.0	0.03368421052631579	0.2731578947368421	0.2731578947368421	0.2731578947368421
20	Popularity	Normalized kNN (full)	0.3236842105263158	0.05578947368421053	0.2268421052631579	0.2268421052631579	0.2268421052631579
2913	kNN (test)	iMF (full)	1.0	0.2521052631578947	0.4631578947368421	0.4631578947368421	0.4631578947368421
2913	kNN (test)	Popularity	1.0	0.38894736842105265	0.5905263157894737	0.5905263157894737	0.5905263157894737
2913	kNN (test)	kNN (full)	1.0	0.2963157894736842	0.5373684210526316	0.5373684210526316	0.5373684210526316
2913	kNN (test)	Average Rating	1.0	0.37842105263157894	0.39	0.39	0.39
2913	kNN (test)	Random	1.0	0.3821052631578947	0.3910526315789474	0.3910526315789474	0.3910526315789474
2913	kNN (test)	iMF (test)	1.0	0.36526315789473685	0.43842105263157893	0.43842105263157893	0.43842105263157893
2913	kNN (test)	Normalized kNN (full)	0.9863157894736843	0.28526315789473683	0.43105263157894735	0.43105263157894735	0.43105263157894735
2913	kNN (test)	Normalized kNN (test)	1.0	0.38263157894736843	0.3957894736842105	0.3957894736842105	0.3957894736842105
20	Random	Normalized kNN (test)	0.9963157894736843	0.019473684210526317	0.13	0.13	0.13
20	Random	iMF (full)	1.0	0.016842105263157894	0.08526315789473685	0.08526315789473685	0.08526315789473685
20	Random	iMF (test)	1.0	0.01368421052631579	0.10947368421052632	0.10947368421052632	0.10947368421052632
20	Random	kNN (test)	1.0	0.016842105263157894	0.09	0.09	0.09
20	Random	kNN (full)	0.9110526315789473	0.015789473684210527	0.09105263157894737	0.09105263157894737	0.09105263157894737
20	Random	Average Rating	1.0	0.02631578947368421	0.18105263157894738	0.18105263157894738	0.18105263157894738
20	Random	Normalized kNN (full)	0.3236842105263158	0.04736842105263158	0.18210526315789474	0.18210526315789474	0.18210526315789474
50	Popularity	Normalized kNN (full)	0.3668421052631579	0.061052631578947365	0.27210526315789474	0.27210526315789474	0.27210526315789474
50	Popularity	iMF (full)	1.0	0.057368421052631575	0.33263157894736844	0.33263157894736844	0.33263157894736844
50	Popularity	iMF (test)	1.0	0.049473684210526316	0.39842105263157895	0.39842105263157895	0.39842105263157895
50	Popularity	kNN (test)	1.0	0.10263157894736842	0.4957894736842105	0.4957894736842105	0.4957894736842105
50	Popularity	Normalized kNN (test)	1.0	0.035789473684210524	0.29368421052631577	0.29368421052631577	0.29368421052631577
50	Popularity	kNN (full)	0.9973684210526316	0.06473684210526316	0.37315789473684213	0.37315789473684213	0.37315789473684213
50	Popularity	Random	1.0	0.030526315789473683	0.08421052631578947	0.08421052631578947	0.08421052631578947
50	Popularity	Average Rating	1.0	0.035789473684210524	0.18526315789473685	0.18526315789473685	0.18526315789473685
5	iMF (full)	Normalized kNN (full)	0.3026315789473684	0.0868421052631579	0.1831578947368421	0.1831578947368421	0.1831578947368421
5	iMF (full)	Random	1.0	0.02526315789473684	0.34210526315789475	0.34210526315789475	0.34210526315789475
5	iMF (full)	Normalized kNN (test)	0.7294736842105263	0.1168421052631579	0.5405263157894736	0.5405263157894736	0.5405263157894736
5	iMF (full)	Average Rating	0.9578947368421052	0.07578947368421053	0.5063157894736842	0.5063157894736842	0.5063157894736842
5	iMF (full)	Popularity	0.9578947368421052	0.14947368421052631	0.5915789473684211	0.5915789473684211	0.5915789473684211
5	iMF (full)	kNN (full)	0.6668421052631579	0.20578947368421052	0.6110526315789474	0.6110526315789474	0.6110526315789474
5	iMF (full)	kNN (test)	0.8968421052631579	0.1968421052631579	0.6489473684210526	0.6489473684210526	0.6489473684210526
5	iMF (full)	iMF (test)	1.0	0.13631578947368422	0.5747368421052632	0.5747368421052632	0.5747368421052632
2913	iMF (full)	Popularity	1.0	0.2557894736842105	0.391578947368421	0.391578947368421	0.391578947368421
2913	iMF (full)	kNN (full)	1.0	0.2463157894736842	0.5021052631578947	0.5021052631578947	0.5021052631578947
2913	iMF (full)	Average Rating	1.0	0.27473684210526317	0.2831578947368421	0.2831578947368421	0.2831578947368421
2913	iMF (full)	Random	1.0	0.27421052631578946	0.2826315789473684	0.2826315789473684	0.2826315789473684
2913	iMF (full)	iMF (test)	1.0	0.25842105263157894	0.3142105263157895	0.3142105263157895	0.3142105263157895
2913	iMF (full)	Normalized kNN (full)	0.9863157894736843	0.22473684210526315	0.3857894736842105	0.3857894736842105	0.3857894736842105
2913	iMF (full)	Normalized kNN (test)	1.0	0.2736842105263158	0.2836842105263158	0.2836842105263158	0.2836842105263158
2000	Normalized kNN (test)	iMF (test)	1.0	0.651578947368421	0.6847368421052632	0.6847368421052632	0.6847368421052632
2000	Normalized kNN (test)	Popularity	1.0	0.43105263157894735	0.4557894736842105	0.4557894736842105	0.4557894736842105
2000	Normalized kNN (test)	kNN (test)	1.0	0.3257894736842105	0.3447368421052632	0.3447368421052632	0.3447368421052632
2000	Normalized kNN (test)	kNN (full)	1.0	0.23210526315789473	0.24578947368421053	0.24578947368421053	0.24578947368421053
2000	Normalized kNN (test)	Random	1.0	0.8363157894736842	0.8473684210526315	0.8473684210526315	0.8473684210526315
2000	Normalized kNN (test)	Average Rating	1.0	0.8342105263157895	0.8478947368421053	0.8478947368421053	0.8478947368421053
2000	Normalized kNN (test)	iMF (full)	1.0	0.2131578947368421	0.22631578947368422	0.22631578947368422	0.22631578947368422
2000	Normalized kNN (test)	Normalized kNN (full)	0.958421052631579	0.3426315789473684	0.37157894736842106	0.37157894736842106	0.37157894736842106
200	Average Rating	kNN (test)	1.0	0.06947368421052631	0.13157894736842105	0.13157894736842105	0.13157894736842105
200	Average Rating	iMF (full)	1.0	0.05210526315789474	0.09263157894736843	0.09263157894736843	0.09263157894736843
200	Average Rating	kNN (full)	1.0	0.05210526315789474	0.09736842105263158	0.09736842105263158	0.09736842105263158
200	Average Rating	Popularity	1.0	0.10157894736842105	0.19157894736842104	0.19157894736842104	0.19157894736842104
200	Average Rating	iMF (test)	1.0	0.11789473684210526	0.22578947368421054	0.22578947368421054	0.22578947368421054
200	Average Rating	Random	1.0	0.3126315789473684	0.4010526315789474	0.4010526315789474	0.4010526315789474
200	Average Rating	Normalized kNN (full)	0.5147368421052632	0.09473684210526316	0.1726315789473684	0.1726315789473684	0.1726315789473684
200	Average Rating	Normalized kNN (test)	1.0	0.25157894736842107	0.4468421052631579	0.4468421052631579	0.4468421052631579
20	Normalized kNN (test)	iMF (full)	0.9963157894736843	0.049473684210526316	0.3705263157894737	0.3705263157894737	0.3705263157894737
20	Normalized kNN (test)	iMF (test)	0.9963157894736843	0.0431578947368421	0.41	0.41	0.41
20	Normalized kNN (test)	kNN (test)	0.9963157894736843	0.05789473684210526	0.43894736842105264	0.43894736842105264	0.43894736842105264
20	Normalized kNN (test)	kNN (full)	0.9105263157894737	0.05842105263157895	0.391578947368421	0.391578947368421	0.391578947368421
20	Normalized kNN (test)	Average Rating	0.9963157894736843	0.0431578947368421	0.36736842105263157	0.36736842105263157	0.36736842105263157
20	Normalized kNN (test)	Normalized kNN (full)	0.3236842105263158	0.04368421052631579	0.2168421052631579	0.2168421052631579	0.2168421052631579
0	Normalized kNN (full)	kNN (full)	0.31684210526315787	0.11947368421052632	0.23157894736842105	0.23157894736842105	0.23157894736842105
0	Normalized kNN (full)	Random	0.30842105263157893	0.045789473684210526	0.13789473684210526	0.13789473684210526	0.13789473684210526
0	Normalized kNN (full)	iMF (test)	0.30842105263157893	0.08947368421052632	0.18263157894736842	0.18263157894736842	0.18263157894736842
0	Normalized kNN (full)	Popularity	0.30842105263157893	0.08421052631578947	0.19105263157894736	0.19105263157894736	0.19105263157894736
0	Normalized kNN (full)	Average Rating	0.30842105263157893	0.08894736842105264	0.17842105263157895	0.17842105263157895	0.17842105263157895
0	Normalized kNN (full)	iMF (full)	0.30842105263157893	0.09947368421052631	0.19	0.19	0.19
0	Normalized kNN (full)	kNN (test)	0.30894736842105264	0.10578947368421053	0.19789473684210526	0.19789473684210526	0.19789473684210526
0	Normalized kNN (full)	Normalized kNN (test)	0.31526315789473686	0.09842105263157895	0.1957894736842105	0.1957894736842105	0.1957894736842105
50	Normalized kNN (full)	iMF (full)	0.3668421052631579	0.07473684210526316	0.24473684210526317	0.24473684210526317	0.24473684210526317
50	Normalized kNN (full)	iMF (test)	0.3668421052631579	0.049473684210526316	0.23894736842105263	0.23894736842105263	0.23894736842105263
50	Normalized kNN (full)	kNN (test)	0.3668421052631579	0.07105263157894737	0.2668421052631579	0.2668421052631579	0.2668421052631579
50	Normalized kNN (full)	Normalized kNN (test)	0.3668421052631579	0.05157894736842105	0.25842105263157894	0.25842105263157894	0.25842105263157894
50	Normalized kNN (full)	kNN (full)	0.3668421052631579	0.08315789473684211	0.28157894736842104	0.28157894736842104	0.28157894736842104
50	Normalized kNN (full)	Random	0.3668421052631579	0.08	0.15947368421052632	0.15947368421052632	0.15947368421052632
50	Normalized kNN (full)	Average Rating	0.3668421052631579	0.060526315789473685	0.21842105263157896	0.21842105263157896	0.21842105263157896
100	kNN (test)	Popularity	1.0	0.10263157894736842	0.4631578947368421	0.4631578947368421	0.4631578947368421
100	kNN (test)	Normalized kNN (test)	1.0	0.04631578947368421	0.20105263157894737	0.20105263157894737	0.20105263157894737
100	kNN (test)	iMF (full)	1.0	0.08210526315789474	0.391578947368421	0.391578947368421	0.391578947368421
100	kNN (test)	iMF (test)	1.0	0.05105263157894737	0.31	0.31	0.31
100	kNN (test)	Normalized kNN (full)	0.42157894736842105	0.0731578947368421	0.2942105263157895	0.2942105263157895	0.2942105263157895
100	kNN (test)	Average Rating	1.0	0.0431578947368421	0.11894736842105263	0.11894736842105263	0.11894736842105263
100	kNN (test)	Random	1.0	0.04105263157894737	0.08315789473684211	0.08315789473684211	0.08315789473684211
100	kNN (test)	kNN (full)	1.0	0.1	0.4726315789473684	0.4726315789473684	0.4726315789473684
0	kNN (full)	Random	0.781578947368421	0.14684210526315788	0.4605263157894737	0.4605263157894737	0.4605263157894737
0	kNN (full)	iMF (test)	0.781578947368421	0.24210526315789474	0.5752631578947368	0.5752631578947368	0.5752631578947368
0	kNN (full)	Popularity	0.7973684210526316	0.2542105263157895	0.6152631578947368	0.6152631578947368	0.6152631578947368
0	kNN (full)	Average Rating	0.7973684210526316	0.2331578947368421	0.5778947368421052	0.5778947368421052	0.5778947368421052
0	kNN (full)	iMF (full)	0.781578947368421	0.2863157894736842	0.6163157894736843	0.6163157894736843	0.6163157894736843
0	kNN (full)	kNN (test)	0.8010526315789473	0.3389473684210526	0.6810526315789474	0.6810526315789474	0.6810526315789474
0	kNN (full)	Normalized kNN (test)	0.8326315789473684	0.28578947368421054	0.6336842105263157	0.6336842105263157	0.6336842105263157
100	Popularity	Normalized kNN (test)	1.0	0.056842105263157895	0.2563157894736842	0.2563157894736842	0.2563157894736842
100	Popularity	iMF (full)	1.0	0.06263157894736843	0.3031578947368421	0.3031578947368421	0.3031578947368421
100	Popularity	iMF (test)	1.0	0.057368421052631575	0.31684210526315787	0.31684210526315787	0.31684210526315787
100	Popularity	Normalized kNN (full)	0.42157894736842105	0.06736842105263158	0.29368421052631577	0.29368421052631577	0.29368421052631577
100	Popularity	Average Rating	1.0	0.06157894736842105	0.18	0.18	0.18
100	Popularity	Random	1.0	0.060526315789473685	0.1231578947368421	0.1231578947368421	0.1231578947368421
100	Popularity	kNN (full)	1.0	0.06210526315789474	0.33421052631578946	0.33421052631578946	0.33421052631578946
50	iMF (full)	iMF (test)	1.0	0.04473684210526316	0.32473684210526316	0.32473684210526316	0.32473684210526316
50	iMF (full)	kNN (test)	1.0	0.08578947368421053	0.4373684210526316	0.4373684210526316	0.4373684210526316
50	iMF (full)	Normalized kNN (test)	1.0	0.03368421052631579	0.23	0.23	0.23
50	iMF (full)	kNN (full)	0.9973684210526316	0.09736842105263158	0.48578947368421055	0.48578947368421055	0.48578947368421055
50	iMF (full)	Random	1.0	0.022631578947368423	0.04894736842105263	0.04894736842105263	0.04894736842105263
50	iMF (full)	Average Rating	1.0	0.024736842105263158	0.12631578947368421	0.12631578947368421	0.12631578947368421
500	kNN (test)	iMF (test)	1.0	0.1168421052631579	0.2694736842105263	0.2694736842105263	0.2694736842105263
500	kNN (test)	Random	1.0	0.13526315789473684	0.1563157894736842	0.1563157894736842	0.1563157894736842
500	kNN (test)	Normalized kNN (full)	0.7057894736842105	0.11157894736842106	0.35157894736842105	0.35157894736842105	0.35157894736842105
500	kNN (test)	Normalized kNN (test)	1.0	0.13421052631578947	0.19789473684210526	0.19789473684210526	0.19789473684210526
500	kNN (test)	kNN (full)	1.0	0.13473684210526315	0.47947368421052633	0.47947368421052633	0.47947368421052633
500	kNN (test)	Average Rating	1.0	0.13421052631578947	0.17157894736842105	0.17157894736842105	0.17157894736842105
500	kNN (test)	iMF (full)	1.0	0.11315789473684211	0.3626315789473684	0.3626315789473684	0.3626315789473684
100	Normalized kNN (test)	iMF (full)	1.0	0.03631578947368421	0.16789473684210526	0.16789473684210526	0.16789473684210526
100	Normalized kNN (test)	iMF (test)	1.0	0.05789473684210526	0.2847368421052632	0.2847368421052632	0.2847368421052632
100	Normalized kNN (test)	Normalized kNN (full)	0.42157894736842105	0.06421052631578947	0.24894736842105264	0.24894736842105264	0.24894736842105264
100	Normalized kNN (test)	Average Rating	1.0	0.1463157894736842	0.4047368421052632	0.4047368421052632	0.4047368421052632
100	Normalized kNN (test)	Random	1.0	0.11052631578947368	0.20157894736842105	0.20157894736842105	0.20157894736842105
100	Normalized kNN (test)	kNN (full)	1.0	0.039473684210526314	0.17842105263157895	0.17842105263157895	0.17842105263157895
2	kNN (test)	iMF (full)	0.8957894736842106	0.2463157894736842	0.6805263157894736	0.6805263157894736	0.6805263157894736
