target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.1336842105263158	0.1336842105263158	0.1336842105263158	0.1336842105263158
500	Popularity	iMF (test)	0.0	0.14526315789473684	0.14526315789473684	0.14526315789473684	0.14526315789473684
500	Popularity	Random	0.0	0.20105263157894737	0.20105263157894737	0.20105263157894737	0.20105263157894737
500	Popularity	Normalized kNN (full)	0.0	0.0931578947368421	0.0931578947368421	0.0931578947368421	0.0931578947368421
500	Popularity	Normalized kNN (test)	0.0	0.1863157894736842	0.1863157894736842	0.1863157894736842	0.1863157894736842
500	Popularity	kNN (full)	0.0	0.08421052631578947	0.08421052631578947	0.08421052631578947	0.08421052631578947
500	Popularity	Average Rating	0.0	0.19421052631578947	0.19421052631578947	0.19421052631578947	0.19421052631578947
500	Popularity	iMF (full)	0.0	0.07736842105263157	0.07736842105263157	0.07736842105263157	0.07736842105263157
20	Popularity	Random	0.0	0.014210526315789474	0.014210526315789474	0.014210526315789474	0.014210526315789474
20	Popularity	Normalized kNN (test)	0.0	0.015263157894736841	0.015263157894736841	0.015263157894736841	0.015263157894736841
20	Popularity	iMF (full)	0.0	0.01263157894736842	0.01263157894736842	0.01263157894736842	0.01263157894736842
20	Popularity	iMF (test)	0.0	0.015263157894736841	0.015263157894736841	0.015263157894736841	0.015263157894736841
20	Popularity	kNN (test)	0.0	0.01631578947368421	0.01631578947368421	0.01631578947368421	0.01631578947368421
20	Popularity	kNN (full)	0.0	0.014736842105263158	0.014736842105263158	0.014736842105263158	0.014736842105263158
20	Popularity	Average Rating	0.0	0.014736842105263158	0.014736842105263158	0.014736842105263158	0.014736842105263158
20	Popularity	Normalized kNN (full)	0.0	0.018421052631578946	0.018421052631578946	0.018421052631578946	0.018421052631578946
2913	kNN (test)	iMF (full)	0.0	0.23157894736842105	0.23157894736842105	0.23157894736842105	0.23157894736842105
2913	kNN (test)	Popularity	0.0	0.358421052631579	0.358421052631579	0.358421052631579	0.358421052631579
2913	kNN (test)	kNN (full)	0.0	0.2505263157894737	0.2505263157894737	0.2505263157894737	0.2505263157894737
2913	kNN (test)	Average Rating	0.0	0.37684210526315787	0.37684210526315787	0.37684210526315787	0.37684210526315787
2913	kNN (test)	Random	0.0	0.38	0.38	0.38	0.38
2913	kNN (test)	iMF (test)	0.0	0.36	0.36	0.36	0.36
2913	kNN (test)	Normalized kNN (full)	0.0	0.2694736842105263	0.2694736842105263	0.2694736842105263	0.2694736842105263
2913	kNN (test)	Normalized kNN (test)	0.0	0.3821052631578947	0.3821052631578947	0.3821052631578947	0.3821052631578947
20	Random	Normalized kNN (test)	0.0	0.014736842105263158	0.014736842105263158	0.014736842105263158	0.014736842105263158
20	Random	iMF (full)	0.0	0.01263157894736842	0.01263157894736842	0.01263157894736842	0.01263157894736842
20	Random	iMF (test)	0.0	0.012105263157894737	0.012105263157894737	0.012105263157894737	0.012105263157894737
20	Random	kNN (test)	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105
20	Random	kNN (full)	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105
20	Random	Average Rating	0.0	0.02	0.02	0.02	0.02
20	Random	Normalized kNN (full)	0.0	0.03736842105263158	0.03736842105263158	0.03736842105263158	0.03736842105263158
50	Popularity	Normalized kNN (full)	0.0	0.03315789473684211	0.03315789473684211	0.03315789473684211	0.03315789473684211
50	Popularity	iMF (full)	0.0	0.019473684210526317	0.019473684210526317	0.019473684210526317	0.019473684210526317
50	Popularity	iMF (test)	0.0	0.024736842105263158	0.024736842105263158	0.024736842105263158	0.024736842105263158
50	Popularity	kNN (test)	0.0	0.02736842105263158	0.02736842105263158	0.02736842105263158	0.02736842105263158
50	Popularity	Normalized kNN (test)	0.0	0.027894736842105264	0.027894736842105264	0.027894736842105264	0.027894736842105264
50	Popularity	kNN (full)	0.0	0.02	0.02	0.02	0.02
50	Popularity	Random	0.0	0.029473684210526315	0.029473684210526315	0.029473684210526315	0.029473684210526315
50	Popularity	Average Rating	0.0	0.030526315789473683	0.030526315789473683	0.030526315789473683	0.030526315789473683
5	iMF (full)	Normalized kNN (full)	0.0	0.011052631578947368	0.011052631578947368	0.011052631578947368	0.011052631578947368
