fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Normalized kNN (k=1000, min=3)	1.0	0.4264396419080897	0.3359105960264901	0.2398524173615102	0.22791736825669343
3	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.6412301567107034	0.5209768211920529	0.4474362750177858	0.39281336218787893
3	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.6267585246585642	0.5129139072847683	0.44756435713314413	0.38952535295632384
3	100	kNN (k=20)	1.0	0.6863902387618401	0.5426324503311258	0.4758462057256558	0.414657130492148
3	100	Normalized kNN (k=6000, min=3)	1.0	0.4107695412968729	0.30612582781456954	0.22258564711523282	0.20849812708890733
3	100	kNN (k=80)	1.0	0.6902499009314483	0.5468046357615893	0.48363809392688806	0.41953881627111045
2	100	Normalized kNN (k=1000, min=3)	1.0	0.4105594211333821	0.3275993377483444	0.24067014452328925	0.22621030019630003
3	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.6004583050113892	0.48923841059602646	0.42907650042725587	0.3725841391043934
2	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.6390548983728243	0.5200827814569536	0.4496736621391077	0.39501613218132403
2	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.6245641138851957	0.5114569536423841	0.44962095654978884	0.3920873825873583
2	100	kNN (k=20)	1.0	0.6864784223285231	0.5432615894039735	0.475559375412973	0.4158754108258225
3	100	Normalized kNN (k=200, min=3)	1.0	0.42803661280316413	0.3603973509933775	0.28560008646137913	0.25673729888904284
3	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.6916606918433278	0.5587251655629139	0.48557835462254284	0.42517331932333274
3	100	Normalized kNN (k=10, min=3)	1.0	0.5795802183738166	0.46339403973509935	0.3570381967847126	0.3348484827306878
3	100	kNN (k=60)	1.0	0.692939831506918	0.5477152317880795	0.48440555854796213	0.4203370437830947
3	100	Average Rating	1.0	0.36680988311253104	0.27531456953642386	0.19350877266258856	0.184512964970297
3	100	kNN (k=40)	1.0	0.6941525779143882	0.5487913907284768	0.4834829489721365	0.4206374053262617
3	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.6412669118428636	0.5209768211920529	0.4476018394219974	0.3928382814316624
3	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.7287939094356722	0.5792384105960264	0.5112137765430699	0.4454569445811576
2	100	Normalized kNN (k=6000, min=3)	1.0	0.3913091313024727	0.288841059602649	0.21515987834564307	0.19955683990188117
2	100	kNN (k=80)	1.0	0.6913751744513519	0.5468377483443708	0.4827302894811802	0.4205995100522912
3	100	Normalized kNN (k=40, min=3)	1.0	0.559427088868636	0.45849337748344376	0.42260274678941173	0.3573669859465962
3	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.7014288992185557	0.5637086092715232	0.49180619491244654	0.42948982838456495
3	100	Normalized kNN (k=70, min=3)	1.0	0.5049272100786549	0.424023178807947	0.38746078048678695	0.32564224032686157
