fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Average Rating	1.0	0.36680988311253104	0.27531456953642386	0.19350877266258856	0.184512964970297
3	100	iMF (test)	1.0	0.6289169858291966	0.5127649006622517	0.4463062463555324	0.3891750342855897
2	100	Average Rating	1.0	0.36727096383797125	0.2834271523178808	0.208533847884092	0.19472700788616043
3	100	Normalized kNN (full)	0.7313245033112582	0.570622908298486	0.4552814569536424	0.34265453543327584	0.32524920546562913
3	100	Random	1.0	0.13837767064314557	0.12908940397350993	0.08007788931859991	0.08012696837682437
2	100	iMF (test)	1.0	0.6235083211898705	0.5102152317880795	0.44721307135967275	0.3902462249523363
2	100	Normalized kNN (full)	0.7331788079470198	0.5721664466739492	0.4574006622516556	0.34350812249365054	0.32744913926409336
2	100	Random	1.0	0.1351962229340163	0.12655629139072846	0.0787907558240824	0.07953427027634728
3	100	iMF (full)	1.0	0.7287524407203146	0.5788741721854305	0.5116655181429993	0.44540328530699413
3	100	Popularity	1.0	0.5118269159289891	0.4283112582781457	0.35145528612781446	0.31417418782069406
3	100	kNN (test)	1.0	0.6881802293735404	0.5449834437086093	0.4816010077342851	0.4179266518332553
2	100	iMF (full)	1.0	0.7244168048976883	0.5778973509933775	0.5081531169017087	0.44537825941038933
2	100	Popularity	1.0	0.5119202629307477	0.42387417218543044	0.3488064640124821	0.3116778157378224
2	5	Average Rating	0.9846688741721854	0.7200983010654737	0.5982119205298013	0.5707475705861211	0.47948941374429394
2	100	kNN (test)	1.0	0.6899068453058061	0.5460430463576159	0.48321204094710557	0.4202556220473499
1	100	Average Rating	1.0	0.31206506950130486	0.2735430463576159	0.19626775700038335	0.1868077626003926
2	5	iMF (test)	0.9846854304635762	0.8143633599108869	0.6586920529801324	0.6125179172040824	0.5239111966858708
1	100	iMF (test)	1.0	0.621760877546924	0.5092218543046357	0.44834685489318254	0.38966441244945577
5	100	Average Rating	1.0	0.3859405376210451	0.29317880794701984	0.2101051519445156	0.1986610618675632
2	5	Normalized kNN (full)	0.6899006622516556	0.6283941785040387	0.5026490066225165	0.36466005607268537	0.35439119513620476
2	5	Random	0.9846854304635762	0.5574132185670183	0.46950331125827816	0.4809031404037898	0.38871760759980245
1	100	Normalized kNN (full)	0.7298675496688741	0.569879967558101	0.45536423841059603	0.3446052734457358	0.3276164980299498
1	100	Random	1.0	0.14238179087341019	0.1297185430463576	0.08498726321529797	0.08317750389247634
5	100	iMF (test)	1.0	0.6347798690028995	0.5172847682119206	0.45029045931100986	0.39462652225936923
3	100	Normalized kNN (test)	1.0	0.4156041918826738	0.34299668874172184	0.2512746324772023	0.23587659985141146
3	100	kNN (full)	0.99908940397351	0.6941301189783894	0.5487748344370861	0.48342776133416737	0.4206119341087375
5	100	Normalized kNN (full)	0.7336092715231788	0.5738256605956197	0.4588245033112583	0.3461312990732751	0.32894405640731755
5	100	Random	1.0	0.14043227643540793	0.13071192052980132	0.08449198999125494	0.08263005607687408
2	100	Normalized kNN (test)	1.0	0.4108539547495075	0.34246688741721854	0.2569264848360628	0.23895681329086127
2	100	kNN (full)	0.99908940397351	0.695882721366594	0.5507284768211921	0.483591415026818	0.4226653504718987
4	100	Average Rating	1.0	0.3924004212185026	0.3063907284768212	0.21757628461400932	0.2081750696771531
4	100	iMF (test)	1.0	0.6283998627695507	0.5130132450331125	0.4480764030617743	0.3920668106379528
4	100	Normalized kNN (full)	0.7354801324503312	0.5699856592939517	0.45533112582781454	0.34391189214040674	0.3265474845265222
4	100	Random	1.0	0.14036238140736892	0.13094370860927151	0.08101220478741093	0.08179603082891015
