target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.04304635761589404	0.04304635761589404	0.04304635761589404	0.04304635761589404
500	Popularity	iMF (test)	0.0	0.060430463576158944	0.060430463576158944	0.060430463576158944	0.060430463576158944
500	Popularity	Random	0.0	0.13874172185430464	0.13874172185430464	0.13874172185430464	0.13874172185430464
500	Popularity	Normalized kNN (full)	0.0	0.05513245033112583	0.05513245033112583	0.05513245033112583	0.05513245033112583
500	Popularity	Normalized kNN (test)	0.0	0.12450331125827814	0.12450331125827814	0.12450331125827814	0.12450331125827814
500	Popularity	kNN (full)	0.0	0.03890728476821192	0.03890728476821192	0.03890728476821192	0.03890728476821192
500	Popularity	Average Rating	0.0	0.13509933774834437	0.13509933774834437	0.13509933774834437	0.13509933774834437
500	Popularity	iMF (full)	0.0	0.030132450331125826	0.030132450331125826	0.030132450331125826	0.030132450331125826
20	Popularity	Random	0.0	0.012417218543046357	0.012417218543046357	0.012417218543046357	0.012417218543046357
20	Popularity	Normalized kNN (test)	0.0	0.011920529801324504	0.011920529801324504	0.011920529801324504	0.011920529801324504
20	Popularity	iMF (full)	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Popularity	iMF (test)	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Popularity	kNN (test)	0.0	0.01142384105960265	0.01142384105960265	0.01142384105960265	0.01142384105960265
20	Popularity	kNN (full)	0.0	0.011754966887417218	0.011754966887417218	0.011754966887417218	0.011754966887417218
20	Popularity	Average Rating	0.0	0.012582781456953643	0.012582781456953643	0.012582781456953643	0.012582781456953643
20	Popularity	Normalized kNN (full)	0.0	0.013245033112582781	0.013245033112582781	0.013245033112582781	0.013245033112582781
20	Random	Normalized kNN (test)	0.0	0.014735099337748345	0.014735099337748345	0.014735099337748345	0.014735099337748345
20	Random	iMF (full)	0.0	0.012086092715231788	0.012086092715231788	0.012086092715231788	0.012086092715231788
20	Random	iMF (test)	0.0	0.011258278145695364	0.011258278145695364	0.011258278145695364	0.011258278145695364
20	Random	kNN (test)	0.0	0.011754966887417218	0.011754966887417218	0.011754966887417218	0.011754966887417218
20	Random	kNN (full)	0.0	0.012251655629139073	0.012251655629139073	0.012251655629139073	0.012251655629139073
20	Random	Average Rating	0.0	0.02466887417218543	0.02466887417218543	0.02466887417218543	0.02466887417218543
20	Random	Normalized kNN (full)	0.0	0.029304635761589405	0.029304635761589405	0.029304635761589405	0.029304635761589405
50	Popularity	Normalized kNN (full)	0.0	0.019867549668874173	0.019867549668874173	0.019867549668874173	0.019867549668874173
50	Popularity	iMF (full)	0.0	0.012086092715231788	0.012086092715231788	0.012086092715231788	0.012086092715231788
50	Popularity	iMF (test)	0.0	0.013410596026490066	0.013410596026490066	0.013410596026490066	0.013410596026490066
50	Popularity	kNN (test)	0.0	0.014403973509933774	0.014403973509933774	0.014403973509933774	0.014403973509933774
50	Popularity	Normalized kNN (test)	0.0	0.021357615894039735	0.021357615894039735	0.021357615894039735	0.021357615894039735
50	Popularity	kNN (full)	0.0	0.014900662251655629	0.014900662251655629	0.014900662251655629	0.014900662251655629
50	Popularity	Random	0.0	0.02218543046357616	0.02218543046357616	0.02218543046357616	0.02218543046357616
50	Popularity	Average Rating	0.0	0.0228476821192053	0.0228476821192053	0.0228476821192053	0.0228476821192053
5	iMF (full)	Normalized kNN (full)	0.0	0.010596026490066225	0.010596026490066225	0.010596026490066225	0.010596026490066225
5	iMF (full)	Random	0.0	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
5	iMF (full)	Normalized kNN (test)	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
5	iMF (full)	Average Rating	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
5	iMF (full)	Popularity	0.0	0.010430463576158941	0.010430463576158941	0.010430463576158941	0.010430463576158941
