target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	9.339294575960419E-68	2.5773326947837804E-63	1.6774357382662004E-99	1.9201132799032643E-113
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	1.079560717818213E-180	7.988556879136473E-153	7.58847547382359E-157	2.2570656294094783E-214
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	6.043384342337031E-297	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	1.7861870246846913E-6	1.0716972173757928E-58	3.251633928405827E-120	1.0547628388678647E-117
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	1.208752306028644E-283	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	8.805610782403781E-249	0.0
20	Popularity	Average Rating	NaN	9.113462282356642E-57	2.4426741594116314E-186	9.503E-320	0.0
20	Popularity	Normalized kNN (full)	NaN	2.9708757538390197E-114	1.8420709285278433E-30	1.0402238673034879E-39	0.046757075833957634
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	1.8900569065830827E-156	6.161887776937737E-303
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	1.7948628262611795E-72	5.98823987749749E-11	1.6251595838430356E-24	0.0014181494788471337
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	4.544153345072446E-246	0.0
50	Popularity	kNN (test)	NaN	0.0	0.0	3.794E-321	0.0
50	Popularity	Normalized kNN (test)	NaN	1.2515794668316223E-88	8.42363191307477E-174	1.0371331534410972E-205	1.7565029254788315E-239
50	Popularity	kNN (full)	NaN	0.0	0.0	1.2614514944271834E-303	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	1.8035771314841207E-86	9.535442615497237E-265	0.0	0.0
5	iMF (full)	Normalized kNN (full)	NaN	1.7198997503088384E-242	1.1399960219914297E-213	2.7726688275653204E-223	4.158668767509955E-253
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	1.6591606113712997E-213	2.0673397671775967E-88	1.0727859768979373E-49	1.0959611367666552E-77
5	iMF (full)	Average Rating	NaN	0.0	2.8664469167928667E-204	8.811852628117683E-163	4.368048819374893E-208
5	iMF (full)	Popularity	NaN	0.0	3.682532355049374E-291	3.9197785112248144E-187	1.0619431693491929E-260
5	iMF (full)	kNN (full)	NaN	9.387694157659332E-59	6.070613964403575E-46	1.3089398532765473E-35	1.1451278094001128E-46
5	iMF (full)	kNN (test)	NaN	3.6097821727455216E-78	1.294692223751604E-51	8.310588848364209E-31	1.9679291707042664E-48
