fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	100	Average Rating	1.0	0.3924004212185026	0.3063907284768212	0.21757628461400932	0.2081750696771531
5	100	Average Rating	1.0	0.3859405376210451	0.29317880794701984	0.2101051519445156	0.1986610618675632
4	5	Average Rating	0.9833112582781457	0.7085348006316277	0.5921688741721854	0.558973460738283	0.47177842527351393
5	100	iMF (test)	1.0	0.6327063420950005	0.518294701986755	0.4517068931428312	0.39544285979859245
4	100	iMF (test)	1.0	0.6282725275133818	0.5132615894039735	0.4469703803547997	0.3918149225835946
3	100	Average Rating	1.0	0.36680988311253104	0.27531456953642386	0.19350877266258856	0.184512964970297
4	5	iMF (test)	0.9833112582781457	0.8136166359053953	0.6570198675496689	0.6074699466416489	0.5213745339719472
2	100	Average Rating	1.0	0.36727096383797125	0.2834271523178808	0.208533847884092	0.19472700788616043
3	100	iMF (test)	1.0	0.6294507512748115	0.5132119205298014	0.4472145724621367	0.38965475611839956
4	100	Normalized kNN (full)	1.0	0.579542449588536	0.463841059602649	0.35964248405820143	0.33668781959105715
5	100	Normalized kNN (full)	1.0	0.5844237464668566	0.4678973509933775	0.3624186129824443	0.33970634845559367
4	100	Random	1.0	0.13830886636850007	0.1291225165562914	0.0812987069909069	0.08138108569051612
5	100	Random	1.0	0.13813917517849955	0.13024834437086094	0.08170596105948924	0.08206568405683698
4	1	Average Rating	0.9127317880794701	0.8412528528577545	0.6640728476821192	0.6215054044109551	0.5326701969180678
2	100	iMF (test)	1.0	0.6230140407690227	0.5110430463576159	0.4486418232925436	0.3913197621663923
3	5	Average Rating	0.9834437086092715	0.724191604223236	0.5991721854304636	0.5694613057431225	0.47732578652958385
4	5	Normalized kNN (full)	0.9833112582781457	0.7451210883709461	0.5973509933774834	0.5501614778914956	0.4695393320866408
4	5	Random	0.9833112582781457	0.5569225243817052	0.4693708609271523	0.4805708916570327	0.38892049629074027
3	2000	Average Rating	1.0	0.05861023302796052	0.06230132450331126	0.03836300594020847	0.03863117235693185
3	100	Normalized kNN (full)	1.0	0.5800343203919198	0.4637417218543046	0.35843485940263625	0.3353364045545172
3	100	Random	1.0	0.13545742856698595	0.12647350993377482	0.07880198221178492	0.07853037554328103
4	1	iMF (test)	0.9127317880794701	0.8672166002111634	0.6838907284768212	0.6324615998563553	0.5453403165021801
3	5	iMF (test)	0.9834437086092715	0.8098754763130203	0.6527814569536424	0.6050135273634063	0.5155487530329396
3	2000	iMF (test)	1.0	0.22401457313925696	0.19054635761589406	0.1395275046858109	0.1299116029378151
2	100	Normalized kNN (full)	1.0	0.5816261903666244	0.4652980132450331	0.35913819433328237	0.3370456839618879
2	100	Random	1.0	0.14055221788954728	0.1284271523178808	0.08015944813201831	0.08045905671440054
4	1	Normalized kNN (full)	0.9127317880794701	0.8036404761453074	0.6371026490066225	0.5969389349206403	0.5083189799135917
4	1	Random	0.9127317880794701	0.6593549911117206	0.5322185430463576	0.5487074177869421	0.44868710208142115
3	1000	Average Rating	1.0	0.10167288375822059	0.08867549668874172	0.05475775674823792	0.05501220507676856
3	5	Normalized kNN (full)	0.9834437086092715	0.7391531877123598	0.5927980132450331	0.5478112193151871	0.46398125761801634
3	5	Random	0.9834437086092715	0.5603511441063069	0.4664238410596026	0.4744244480764202	0.382518426888941
