target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.05413907284768212	0.2508278145695364	0.2508278145695364	0.2508278145695364
500	Popularity	iMF (test)	1.0	0.05662251655629139	0.27980132450331124	0.27980132450331124	0.27980132450331124
500	Popularity	Random	1.0	0.10529801324503311	0.12682119205298012	0.12682119205298012	0.12682119205298012
500	Popularity	Normalized kNN (full)	1.0	0.05910596026490066	0.2582781456953642	0.2582781456953642	0.2582781456953642
500	Popularity	Normalized kNN (test)	1.0	0.09304635761589404	0.22135761589403974	0.22135761589403974	0.22135761589403974
500	Popularity	kNN (full)	1.0	0.04900662251655629	0.24817880794701988	0.24817880794701988	0.24817880794701988
500	Popularity	Average Rating	1.0	0.10182119205298014	0.14817880794701987	0.14817880794701987	0.14817880794701987
500	Popularity	iMF (full)	1.0	0.03791390728476821	0.1943708609271523	0.1943708609271523	0.1943708609271523
20	Popularity	Random	1.0	0.01423841059602649	0.10430463576158941	0.10430463576158941	0.10430463576158941
20	Popularity	Normalized kNN (test)	1.0	0.048841059602649006	0.36887417218543045	0.36887417218543045	0.36887417218543045
20	Popularity	iMF (full)	1.0	0.03940397350993378	0.33278145695364236	0.33278145695364236	0.33278145695364236
20	Popularity	iMF (test)	1.0	0.0456953642384106	0.3660596026490066	0.3660596026490066	0.3660596026490066
20	Popularity	kNN (test)	1.0	0.05513245033112583	0.4183774834437086	0.4183774834437086	0.4183774834437086
20	Popularity	kNN (full)	1.0	0.05149006622516556	0.3922185430463576	0.3922185430463576	0.3922185430463576
20	Popularity	Average Rating	1.0	0.045033112582781455	0.2947019867549669	0.2947019867549669	0.2947019867549669
20	Popularity	Normalized kNN (full)	1.0	0.0347682119205298	0.27533112582781455	0.27533112582781455	0.27533112582781455
20	Random	Normalized kNN (test)	1.0	0.013741721854304636	0.0945364238410596	0.0945364238410596	0.0945364238410596
20	Random	iMF (full)	1.0	0.012913907284768211	0.061258278145695365	0.061258278145695365	0.061258278145695365
20	Random	iMF (test)	1.0	0.011920529801324504	0.057119205298013245	0.057119205298013245	0.057119205298013245
20	Random	kNN (test)	1.0	0.013576158940397352	0.0706953642384106	0.0706953642384106	0.0706953642384106
20	Random	kNN (full)	1.0	0.013576158940397352	0.07102649006622516	0.07102649006622516	0.07102649006622516
20	Random	Average Rating	1.0	0.019867549668874173	0.11688741721854305	0.11688741721854305	0.11688741721854305
20	Random	Normalized kNN (full)	1.0	0.019867549668874173	0.1293046357615894	0.1293046357615894	0.1293046357615894
50	Popularity	Normalized kNN (full)	1.0	0.03890728476821192	0.25596026490066226	0.25596026490066226	0.25596026490066226
50	Popularity	iMF (full)	1.0	0.03956953642384106	0.31821192052980135	0.31821192052980135	0.31821192052980135
50	Popularity	iMF (test)	1.0	0.04602649006622517	0.35463576158940396	0.35463576158940396	0.35463576158940396
50	Popularity	kNN (test)	1.0	0.054635761589403975	0.4016556291390728	0.4016556291390728	0.4016556291390728
50	Popularity	Normalized kNN (test)	1.0	0.045364238410596024	0.3344370860927152	0.3344370860927152	0.3344370860927152
