target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.04	0.04	0.04	0.04
500	Popularity	iMF (test)	0.0	0.054536423841059604	0.054536423841059604	0.054536423841059604	0.054536423841059604
500	Popularity	Random	0.0	0.1240066225165563	0.1240066225165563	0.1240066225165563	0.1240066225165563
500	Popularity	Normalized kNN (full)	0.0	0.05079470198675497	0.05079470198675497	0.05079470198675497	0.05079470198675497
500	Popularity	Normalized kNN (test)	0.0	0.10447019867549669	0.10447019867549669	0.10447019867549669	0.10447019867549669
500	Popularity	kNN (full)	0.0	0.03672185430463576	0.03672185430463576	0.03672185430463576	0.03672185430463576
500	Popularity	Average Rating	0.0	0.11238410596026491	0.11238410596026491	0.11238410596026491	0.11238410596026491
500	Popularity	iMF (full)	0.0	0.027417218543046358	0.027417218543046358	0.027417218543046358	0.027417218543046358
20	Popularity	Random	0.0	0.011390728476821193	0.011390728476821193	0.011390728476821193	0.011390728476821193
20	Popularity	Normalized kNN (test)	0.0	0.010794701986754966	0.010794701986754966	0.010794701986754966	0.010794701986754966
20	Popularity	iMF (full)	0.0	0.009966887417218543	0.009966887417218543	0.009966887417218543	0.009966887417218543
20	Popularity	iMF (test)	0.0	0.00990066225165563	0.00990066225165563	0.00990066225165563	0.00990066225165563
20	Popularity	kNN (test)	0.0	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
20	Popularity	kNN (full)	0.0	0.010364238410596027	0.010364238410596027	0.010364238410596027	0.010364238410596027
20	Popularity	Average Rating	0.0	0.011357615894039734	0.011357615894039734	0.011357615894039734	0.011357615894039734
20	Popularity	Normalized kNN (full)	0.0	0.010960264900662252	0.010960264900662252	0.010960264900662252	0.010960264900662252
20	Random	Normalized kNN (test)	0.0	0.010960264900662252	0.010960264900662252	0.010960264900662252	0.010960264900662252
20	Random	iMF (full)	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Random	iMF (test)	0.0	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
