fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	3706	Normalized kNN (k=1000, min=3)	1.0	0.04050569416368825	0.04658940397350994	0.0244755373802521	0.026677886329515524
3	3706	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.21864954589397462	0.18036423841059604	0.12027812980390655	0.11720014353509185
3	3706	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.1461229030167873	0.1269205298013245	0.0894969789344964	0.08402305909919784
3	3706	kNN (k=20)	1.0	0.31258177022981365	0.2496026490066225	0.18877553236331662	0.17275491590854025
3	3706	Normalized kNN (k=6000, min=3)	1.0	0.023631757235027178	0.03163907284768212	0.018556230437327473	0.018953316681624928
3	3706	kNN (k=80)	1.0	0.3206580919175445	0.254635761589404	0.18834697321850216	0.17427567494028137
3	3706	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.11124535432530214	0.09504966887417218	0.07737071075210147	0.06757051833163677
3	3706	Normalized kNN (k=200, min=3)	1.0	0.041540179415135665	0.04456953642384106	0.020596319263054632	0.023911570758484015
3	3706	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.31501807868249926	0.25826158940397353	0.17316511222124795	0.16858374195857836
3	3706	Normalized kNN (k=10, min=3)	1.0	0.1727277858554996	0.1463245033112583	0.13185913773472022	0.11128046602303011
3	3706	kNN (k=60)	1.0	0.3226207569789894	0.25677152317880797	0.19097661082291162	0.1762510745597267
3	3706	Average Rating	1.0	0.016157669009139782	0.020413907284768214	0.010538791024920014	0.011505535385975558
3	3706	kNN (k=40)	1.0	0.32313846353978104	0.25682119205298015	0.19324072581436288	0.17720557299069697
3	3706	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.21845268778056157	0.1803476821192053	0.1201841857622702	0.1171466562420819
2	3706	Normalized kNN (k=1000, min=3)	1.0	0.03395486421932697	0.04029801324503311	0.022877232651312918	0.02424436349017539
5	3706	Normalized kNN (k=1000, min=3)	1.0	0.04816463638317102	0.05180463576158941	0.028063482555674722	0.030549825921196185
2	3706	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.21581834245603163	0.17950331125827815	0.11852070281187842	0.1169531137191919
5	3706	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.21874618320458902	0.18152317880794702	0.12137006393951501	0.1185950888084932
2	3706	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14398668761722505	0.12403973509933776	0.08868509833342933	0.08341758449537125
5	3706	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.14267134199516215	0.12372516556291392	0.08630040982052517	0.08239338484050406
2	3706	kNN (k=20)	1.0	0.30863808024079803	0.2454139072847682	0.18861590922366644	0.17183350759753865
5	3706	kNN (k=20)	1.0	0.3113464335578173	0.24943708609271523	0.1889588366778776	0.17354643403696016
5	3706	Normalized kNN (k=6000, min=3)	1.0	0.02308462930221434	0.029966887417218542	0.01883779040033536	0.019060607750600617
2	3706	Normalized kNN (k=6000, min=3)	1.0	0.016150601074099585	0.022549668874172188	0.013453973438790684	0.013403058610540454
5	3706	kNN (k=80)	1.0	0.31979832870495106	0.2542715231788079	0.18905433108304978	0.17530567444657907
2	3706	kNN (k=80)	1.0	0.31848018255628635	0.25317880794701986	0.18818869515989756	0.17475939255591413
5	3706	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.11115980797741831	0.09501655629139072	0.0776608967495908	0.06781040424509836
2	3706	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.11119968807146516	0.09438741721854305	0.07700108786843413	0.06797672372335917
5	3706	Normalized kNN (k=200, min=3)	1.0	0.04444287883232936	0.045877483443708615	0.021322135079769676	0.02485582895166356
2	3706	Normalized kNN (k=200, min=3)	1.0	0.03557056509333059	0.039105960264900666	0.019673726525314305	0.021953944074906202
5	3706	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.31546846026708075	0.25978476821192054	0.17511870687469155	0.17050955664378567
2	3706	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3107811493963517	0.25592715231788077	0.17284031535849068	0.16826672764995718
5	3706	Normalized kNN (k=10, min=3)	1.0	0.17159097733758477	0.14625827814569536	0.13228757784879333	0.11146754069498002
2	3706	Normalized kNN (k=10, min=3)	1.0	0.1680035136965895	0.14395695364238412	0.1308865989217431	0.11040561195200743
5	3706	kNN (k=60)	1.0	0.3208542306074337	0.2554139072847682	0.19124747283138183	0.1765904251055791
5	3706	Average Rating	1.0	0.011491252713346898	0.014983443708609271	0.008789737416711072	0.008962916473065909
2	3706	kNN (k=60)	1.0	0.321313199723182	0.25581125827814566	0.19237729969194003	0.17745669237601921
2	3706	Average Rating	1.0	0.015076396943542512	0.018294701986754966	0.010664276767179515	0.010997070004017987
5	3706	kNN (k=40)	1.0	0.32028346344042663	0.2551324503311258	0.19184314327060423	0.17682119986684336
2	3706	kNN (k=40)	1.0	0.32138255927247505	0.25572847682119204	0.19330024903229273	0.17796529028275238
5	3706	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.21896968734762898	0.18228476821192052	0.12119428325388326	0.1186663130679509
2	3706	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.21592041365479275	0.1795860927152318	0.11871389724160561	0.11704293454637586
5	3706	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.3600788708427741	0.2915562913907285	0.21796438970055765	0.2022441978922458
2	3706	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.35718475349301254	0.29008278145695365	0.21536905128445938	0.2009899428654365
5	3706	Normalized kNN (k=40, min=3)	1.0	0.05993503686944365	0.058195364238410596	0.0401947588127349	0.03811277684124372
2	3706	Normalized kNN (k=40, min=3)	1.0	0.059440699741945935	0.057764900662251664	0.042562403583947465	0.03862401421752321
5	3706	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.2654824547719268	0.21905629139072846	0.15542175131786787	0.14732424817009884
2	3706	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.26296449789190773	0.2173675496688742	0.15371419927704089	0.14652833040598093
5	3706	Normalized kNN (k=70, min=3)	1.0	0.04856609678755348	0.047516556291390726	0.026730271183077296	0.027885011319716515
2	3706	Normalized kNN (k=70, min=3)	1.0	0.04452931770543646	0.0448841059602649	0.026371676625084602	0.02663645398116497
5	3706	kNN (k=700)	1.0	0.27093920833146135	0.2150993377483444	0.146034849997926	0.14118760563891372
2	3706	kNN (k=700)	1.0	0.2704494339816969	0.21572847682119206	0.14790736443614397	0.1423425060705832
3	3706	Random	1.0	0.006141231430388542	0.006009933774834438	0.0027626723675380615	0.0030016617759959134
3	3706	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.13783068546875857	0.11817880794701988	0.08054364379297382	0.07700918847589616
3	3706	kNN (k=10)	1.0	0.28746626202168424	0.22980132450331126	0.17286095905496518	0.15855481746425265
2	3706	Normalized kNN (k=500, min=3)	1.0	0.0334698546932759	0.03975165562913908	0.020353843710556097	0.022889437129127013
5	3706	Normalized kNN (k=500, min=3)	1.0	0.04772654092654134	0.051374172185430465	0.025093531141164232	0.02866987871769277
4	3706	Normalized kNN (k=1000, min=3)	1.0	0.04619400792003329	0.05132450331125828	0.027485762556018478	0.029844624684480445
4	3706	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.21836750939323443	0.18114238410596026	0.12179726669378271	0.11808064455445422
4	3706	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.1453246752019346	0.12486754966887419	0.0884465440654162	0.08345138717675242
4	3706	kNN (k=20)	1.0	0.3106691834217918	0.2476655629139073	0.1874613086039764	0.17232544396282884
5	3706	Normalized kNN (k=900, min=3)	1.0	0.04927319758234094	0.052450331125827816	0.027778766438596145	0.03039337539528299
2	3706	Normalized kNN (k=900, min=3)	1.0	0.03405148881244237	0.040364238410596026	0.02260265501974498	0.024105520618494095
5	3706	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.26292700991928447	0.21769867549668875	0.15512987520870883	0.14717874237326684
2	3706	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.2582111824929751	0.2133112582781457	0.15119534986134997	0.14391967806514844
3	3706	iMF (k=50, lambda=0.1, alpha=10.0)	1.0	0.2647524316980435	0.21860927152317883	0.1723124434651737	0.15570099530110282
3	3706	iMF (k=50, lambda=1.0, alpha=100.0)	1.0	0.11044251595662119	0.09385761589403974	0.08034700350883904	0.06824706901472022
3	3706	kNN (k=30)	1.0	0.31987796450526895	0.2543543046357616	0.1908281795436905	0.17553431036430006
3	3706	kNN (k=90)	1.0	0.3197219126703091	0.2540066225165563	0.18777805956208307	0.17373833358611288
3	3706	Normalized kNN (k=3000, min=3)	1.0	0.028079313756277684	0.03658940397350993	0.021585521549148383	0.02213550835827628
3	3706	kNN (k=900)	1.0	0.2648919233913322	0.2106953642384106	0.14062229054186448	0.13647162049765915
3	3706	Normalized kNN (k=60, min=3)	1.0	0.04944524425364367	0.048990066225165566	0.02900620337474068	0.029273047661672973
3	3706	kNN (k=100)	1.0	0.31871482681859964	0.2531291390728477	0.18683585586559354	0.173055552400527
3	3706	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.1423220887223967	0.12473509933774835	0.08653675864124073	0.08247941708902334
3	3706	kNN (k=200)	1.0	0.30756080998840357	0.24367549668874172	0.17582654043944207	0.16457705111389803
5	3706	kNN (k=6000)	1.0	0.20485111683334015	0.16741721854304636	0.10416877861300451	0.10430642243780895
2	3706	kNN (k=6000)	1.0	0.2022505829900737	0.16705298013245032	0.10490801924845199	0.10458509486605272
5	3706	kNN (k=300)	1.0	0.29588548278449256	0.23420529801324502	0.1673426720969728	0.15797369493174104
5	3706	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.13617634860960337	0.11791390728476822	0.0781757913412863	0.0767421879661539
2	3706	kNN (k=300)	1.0	0.2955332870575494	0.23473509933774833	0.16911435226699745	0.15884154543901488
3	3706	kNN (k=600)	1.0	0.27745844598515607	0.22019867549668873	0.15038587856333316	0.14439072704276784
5	3706	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.3151045570494713	0.25956953642384106	0.17492460347102762	0.17027114942672852
2	3706	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.31101162201567034	0.25609271523178806	0.17309023612682883	0.1683820114621678
3	3706	kNN (k=2000)	1.0	0.2376255784814069	0.19043046357615895	0.12175090351069077	0.12023405134708473
3	3706	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.2651613886816429	0.21890728476821192	0.17270241626196237	0.15648724038642736
3	3706	Normalized kNN (k=700, min=3)	1.0	0.04247709391485715	0.0481953642384106	0.024664372922283236	0.02710044799208958
3	3706	kNN (k=70)	1.0	0.32234237828992923	0.25600993377483444	0.18995314270745148	0.17555586206477816
3	3706	iMF (k=5, lambda=1.0, alpha=100.0)	1.0	0.13637695806935823	0.11723509933774835	0.07990498626420922	0.07654002966344295
3	3706	kNN (k=50)	1.0	0.32258015536568985	0.2567549668874172	0.19124939093970392	0.17645145024595246
3	3706	iMF (k=5, lambda=10.0, alpha=10.0)	1.0	0.21698801382206293	0.1790066225165563	0.11925793171343557	0.11651021227220479
3	3706	Normalized kNN (k=30, min=3)	1.0	0.07610897655900492	0.07165562913907285	0.057277864661253224	0.049991211637646776
3	3706	Normalized kNN (k=90, min=3)	1.0	0.043577625349658124	0.044205298013245034	0.02348292900942707	0.025179765486027496
3	3706	Normalized kNN (k=300, min=3)	1.0	0.04206927144125399	0.04630794701986755	0.021373380033892848	0.02499743609039622
3	0	Normalized kNN (k=1000, min=3)	0.8848509933774834	0.8546726417453075	0.6683774834437086	0.6273853253587942	0.5346644753500815
3	3706	Normalized kNN (k=800, min=3)	1.0	0.04179401060734483	0.04788079470198675	0.02433601272317151	0.027058403003356005
3	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8848509933774834	0.8479521164300987	0.6632781456953643	0.6224672962286403	0.5297968757736804
3	3706	iMF (k=5, lambda=0.1, alpha=1.0)	1.0	0.2586109825148582	0.21299668874172187	0.1344613571254107	0.13416192892323442
3	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8848509933774834	0.8679165894598531	0.6820860927152318	0.6326030823613447	0.5417048664362323
5	0	Normalized kNN (k=1000, min=3)	0.8878807947019868	0.8551315390413177	0.6725	0.6291243162055711	0.5402313271196332
3	3706	Normalized kNN (k=400, min=3)	1.0	0.04176069379828109	0.0468046357615894	0.022170399397475442	0.025551788839879894
3	0	kNN (k=20)	0.8848509933774834	0.8313303690610465	0.6517549668874172	0.6133168644654186	0.5204215197727123
5	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8878807947019868	0.8487499471742733	0.666341059602649	0.6233029859320505	0.5345137859113478
3	3706	iMF (k=5, lambda=10.0, alpha=100.0)	1.0	0.13098818649147254	0.11283112582781457	0.07619660931875509	0.07356087811642446
3	3706	Normalized kNN (k=100, min=3)	1.0	0.04272738643685944	0.043675496688741725	0.02250162670865227	0.024581768013716886
4	3706	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.13791109439474325	0.11902317880794702	0.07932829405538912	0.07772704275160026
5	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8878807947019868	0.8672627745190822	0.6849337748344371	0.6342690542577509	0.5469978304894019
5	0	kNN (k=20)	0.8878807947019868	0.8333852682158442	0.6557781456953643	0.6155785766591609	0.5263261665997966
3	3706	kNN (k=5000)	1.0	0.20849494938080823	0.16899006622516557	0.10533645243199721	0.10444147094388653
4	3706	Normalized kNN (k=6000, min=3)	1.0	0.019789875856410157	0.027450331125827815	0.014842816925419016	0.016025453935442337
3	3706	iMF (k=50, lambda=10.0, alpha=10.0)	1.0	0.26711263400992397	0.22046357615894038	0.17321864012752455	0.15709424452231902
3	3706	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.3180245205203427	0.2605794701986755	0.17469654860845363	0.17014743872473637
4	3706	kNN (k=80)	1.0	0.3197437155268929	0.2526158940397351	0.18901403517189405	0.17485933461709813
