fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Normalized kNN (k=1000, min=3)	1.0	0.3371201463444933	0.2627152317880795	0.18885898842694177	0.1781613151186131
3	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.588119778792986	0.4875	0.40923942802706303	0.36262284610428686
3	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.5941561440881383	0.48930463576158945	0.41832199080879867	0.36716084404058696
3	100	kNN (k=20)	1.0	0.6642048607377868	0.5295695364238411	0.4621877927006796	0.40276461326962354
3	100	Normalized kNN (k=6000, min=3)	1.0	0.3015214121328345	0.23347682119205299	0.16229667750674093	0.15440092870605543
3	100	kNN (k=80)	1.0	0.6637226823906051	0.5302814569536424	0.46473313289195384	0.4039070124255179
3	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.5883522713007158	0.4853973509933775	0.4229825946909642	0.3678594988941613
3	100	Normalized kNN (k=200, min=3)	1.0	0.36571400991430486	0.31114238410596023	0.24102595298739052	0.21861148029997457
3	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.6635910267939301	0.537317880794702	0.46333702335658905	0.4060517202540059
3	100	Normalized kNN (k=10, min=3)	1.0	0.5643003005842128	0.45670529801324505	0.3565289299964451	0.33175001589385006
3	100	kNN (k=60)	1.0	0.6674681875447698	0.5316556291390728	0.4659316139797973	0.40494818103765806
3	100	Average Rating	1.0	0.20456134911813514	0.1821688741721854	0.12246852228925167	0.11817641895179024
3	100	kNN (k=40)	1.0	0.6682041503988395	0.5327980132450331	0.46578404797333584	0.40544379000741193
3	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.5882391695646161	0.4878807947019868	0.4095151174175372	0.36283906631763946
3	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.7158790976069876	0.572251655629139	0.5054533633370777	0.4393776496164055
3	100	Normalized kNN (k=40, min=3)	1.0	0.4980502853072561	0.42296357615894037	0.39607110070643253	0.3304899599430686
3	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.6544153580651108	0.5355298013245033	0.46227457257023696	0.4048788149232644
3	100	Normalized kNN (k=70, min=3)	1.0	0.4399644453599877	0.3787251655629139	0.3455494587642549	0.28894047725882055
3	100	kNN (k=700)	1.0	0.5995988997389816	0.49029801324503314	0.4157028502907089	0.366569581734104
3	100	Normalized kNN (k=500, min=3)	1.0	0.35019484727719546	0.2827317880794702	0.20532878155588496	0.1929200496258684
3	100	Normalized kNN (k=900, min=3)	1.0	0.34096248294544623	0.2668046357615894	0.19339850154550373	0.1813912107818091
