target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	8.398977383345594E-7	3.5981064643896045E-14	9.786022211548907E-43	2.826412965506658E-39
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	0.0	2.6123056257397604E-52	1.1441111296542232E-38	3.2609281290951507E-52	6.434817120430391E-72
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	9.339553958752853E-8	4.99572691021307E-91	4.762051722142347E-65	0.8707817664020961	9.805029489515455E-14
20	Popularity	iMF (full)	NaN	0.0	0.0	2.3729333733079212E-222	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	6.835559627817507E-282	0.0
20	Popularity	kNN (test)	2.007869437032355E-57	0.0	0.0	1.446139452071748E-221	0.0
20	Popularity	kNN (full)	4.0763929658326404E-153	0.0	0.0	1.0636882890588801E-129	5.066400270567851E-273
20	Popularity	Average Rating	NaN	2.733965953183575E-11	2.4781580118721587E-13	2.5350944861358252E-39	1.3882507327071055E-5
20	Popularity	Normalized kNN (full)	0.0	1.0014300873614281E-10	1.1667949377973047E-72	9.81762101622925E-289	1.796448828567874E-209
20	Random	Normalized kNN (test)	9.339553958752853E-8	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	2.007869437032355E-57	0.0	0.0	0.0	0.0
20	Random	kNN (full)	4.0763929658326404E-153	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	0.0	0.0	0.0	2.29716371314258E-198	0.0
50	Popularity	Normalized kNN (full)	0.0	3.1138542905627263E-6	9.660537954491972E-60	8.619250433024041E-262	5.917013340904197E-186
50	Popularity	iMF (full)	NaN	0.0	0.0	1.7178195360313853E-212	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	2.2885467084034877E-291	0.0
50	Popularity	kNN (test)	1.6148111309317698E-11	0.0	0.0	6.806280789549738E-234	0.0
50	Popularity	Normalized kNN (test)	NaN	2.4080654748742726E-27	1.169869840963409E-20	1.1276694597597952E-10	0.7560699007011723
50	Popularity	kNN (full)	1.995004357570198E-89	0.0	0.0	1.4327819334943017E-156	8.828836952087821E-307
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	3.7700572656649004E-168	1.4545832249589013E-61	6.908683529709731E-33	6.657064832829535E-44	6.60248934202664E-47
5	iMF (full)	Average Rating	0.15731638948125026	3.2428605185027443E-123	3.0227273872276286E-114	5.528118449921186E-142	4.3775559070789634E-148
5	iMF (full)	Popularity	0.15731638948125026	1.2847712923224052E-132	3.4726226640130256E-138	1.0159869268305378E-69	8.772802706488143E-105
5	iMF (full)	kNN (full)	7.5E-322	1.5696365344969982E-19	7.06009438957786E-22	9.673740561210663E-50	1.0895222632266237E-37
5	iMF (full)	kNN (test)	9.701163466773921E-242	0.008683563745358978	8.979463298661497E-5	1.6133441189436154E-8	1.3573621972278907E-5
5	iMF (full)	iMF (test)	NaN	1.5560209353927313E-42	2.9058956772703194E-50	4.987726462831941E-48	1.8812397016700092E-54
2000	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Average Rating	NaN	0.0	0.0	7.676570010328511E-167	1.0080797E-317
2000	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Normalized kNN (full)	3.7681499394445777E-109	0.0	0.0	0.0	0.0
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	2.0633317781925216E-144	2.205411341636415E-217	5.6509178660145745E-127	2.9661028000526924E-205
200	Average Rating	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	iMF (full)	NaN	9.320568468084538E-74	1.5164118517161854E-108	1.8762484373292834E-56	6.984637075071874E-101
3706	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	kNN (full)	NaN	0.027787616241857636	0.010358204300365891	1.1845548299792498E-4	1.0090444682774143E-4
3706	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	Normalized kNN (full)	1.9735730943469301E-16	0.0	0.0	1.290326271133857E-155	0.0
3706	iMF (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
3706	iMF (full)	kNN (full)	NaN	1.6007609502469907E-68	8.275756484579949E-102	2.393716794586952E-44	4.6400578387578785E-86
3706	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
3706	iMF (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
3706	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
3706	iMF (full)	Popularity	NaN	0.0	0.0	0.0	0.0
3706	iMF (full)	Normalized kNN (full)	1.9735730943469301E-16	0.0	0.0	2.5072262809316986E-278	0.0
20	Normalized kNN (test)	iMF (full)	9.339553958752853E-8	1.58589E-318	1.039756543418619E-182	5.073238944776276E-176	2.3377153594904465E-222
20	Normalized kNN (test)	iMF (test)	9.339553958752853E-8	5.160878819084871E-283	4.258558971113076E-239	2.3004677872406176E-217	1.0715642574302388E-270
20	Normalized kNN (test)	kNN (test)	4.922902627871075E-57	3.3572632256123096E-221	9.15398748223781E-106	6.3514809715781535E-149	2.4822788937857795E-154
20	Normalized kNN (test)	kNN (full)	1.806578857868838E-154	4.985896089938884E-202	3.1911756599239686E-92	1.7798835472327663E-95	6.388685096958485E-123
20	Normalized kNN (test)	Average Rating	9.339553958752853E-8	3.9156047917747595E-92	6.895655077575865E-42	1.0683793061047658E-77	3.167329685556558E-63
20	Normalized kNN (test)	Normalized kNN (full)	0.0	9.06321507281628E-98	3.4744737139909934E-233	1.525977603104866E-299	3.467676509374867E-289
0	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
