fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Average Rating	1.0	0.20456134911813514	0.1821688741721854	0.12246852228925167	0.11817641895179024
3	100	iMF (test)	1.0	0.5915126789113855	0.4891887417218543	0.4162239093713751	0.36645588063401946
3	100	Normalized kNN (full)	0.7389072847682119	0.5545828446522354	0.4484105960264901	0.3400274633639071	0.32167635558906343
3	100	Random	1.0	0.13380229799417853	0.1250496688741722	0.08065663258628918	0.07946880816689832
3	100	iMF (full)	1.0	0.7144531585692487	0.571341059602649	0.5046979005665168	0.4386234630875697
3	100	Popularity	1.0	0.4944998902994081	0.42379139072847677	0.3449036380571099	0.30921221535895954
3	100	kNN (test)	1.0	0.6617906074978984	0.5285761589403973	0.462823804234694	0.40236481801235185
3	100	Normalized kNN (test)	1.0	0.3522728701605398	0.28822847682119207	0.21017361546166213	0.19712761686843436
3	100	kNN (full)	0.9993874172185431	0.6682041503988395	0.5327980132450331	0.46578404797333584	0.40544379000741193
3	200	Average Rating	1.0	0.18947335648415664	0.16198675496688741	0.10595581308120061	0.10337532177797229
2	100	Average Rating	1.0	0.17688281962739003	0.1632615894039735	0.11270879875614383	0.10795173638370328
3	200	iMF (test)	1.0	0.522237510714999	0.43387417218543045	0.35129613984612973	0.31611799476884367
2	100	iMF (test)	1.0	0.5878541717620636	0.4870695364238411	0.4225220407418918	0.3702533518130992
2	100	Normalized kNN (full)	0.7344370860927152	0.5532538082440728	0.4479139072847682	0.3404688389395411	0.32295596818103295
2	100	Random	1.0	0.13603111255151287	0.12559602649006624	0.08112110382449986	0.07967530999050695
3	200	Normalized kNN (full)	0.7808609271523178	0.5205686983928254	0.41985099337748344	0.3238611072013632	0.3027082774452824
3	200	Random	1.0	0.08570392046318207	0.07920529801324504	0.047196221649739856	0.04754316238268889
2	100	iMF (full)	1.0	0.7203855600971784	0.5772185430463577	0.508460837074495	0.44501743428340707
2	100	Popularity	1.0	0.5180535283491376	0.44249999999999995	0.36318953855083047	0.32563448650136495
3	200	iMF (full)	1.0	0.6740024797144866	0.5386920529801325	0.45946493279692235	0.4059499047631828
3	200	Popularity	1.0	0.4511073060553278	0.37705298013245037	0.288945817022438	0.2659464613026264
2	100	kNN (test)	1.0	0.6616060405788944	0.5290562913907285	0.466879401362384	0.40630016864527563
3	200	kNN (test)	1.0	0.632671679289011	0.5029139072847681	0.4268695452622708	0.37629744898341455
2	100	Normalized kNN (test)	1.0	0.3424519364437798	0.2812913907284768	0.20763204350732212	0.19451297036191545
3	200	Normalized kNN (test)	1.0	0.33044739337794055	0.27114238410596025	0.19060539507769592	0.18218918610416432
2	100	kNN (full)	0.9983278145695363	0.6682529603143864	0.5331622516556291	0.4689364180007144	0.40898156373347117
3	200	kNN (full)	1.0	0.6363051635877357	0.5049006622516556	0.4275866254013895	0.37750280139099623
2	200	Average Rating	1.0	0.16183235397096485	0.14377483443708608	0.09824071398402881	0.09443357973327621
2	200	iMF (test)	1.0	0.5258230468015003	0.43620860927152316	0.36025953441936787	0.32282099220573
3	50	Average Rating	1.0	0.5984202439392214	0.5030794701986755	0.42193574674347656	0.37419852663980585
2	200	Normalized kNN (full)	0.7704635761589405	0.5210641409386146	0.42124172185430464	0.32559932843387557	0.30546418585297763
2	200	Random	1.0	0.08852230207068162	0.08324503311258279	0.048146513339465465	0.04998818254234131
3	50	iMF (test)	1.0	0.7528077236463893	0.614569536423841	0.5526257216775049	0.4767470090397178
3	50	Normalized kNN (full)	0.7022185430463576	0.6154384556640512	0.49354304635761587	0.3590973240387914	0.3468002565575297
3	50	Random	1.0	0.21221812192910272	0.1935264900662252	0.13446044253062792	0.12884278889973108
2	200	iMF (full)	1.0	0.6807111041996995	0.5455794701986755	0.46800504554264594	0.41427396175284703
2	200	Popularity	1.0	0.46861719469329316	0.3920529801324503	0.3043382497413754	0.27941489508538725
2	200	kNN (test)	1.0	0.6339241471324563	0.5042384105960265	0.432152048739762	0.3810310672778262
3	50	iMF (full)	1.0	0.776718123398223	0.6181456953642384	0.5603009341719741	0.483356123681761
3	50	Popularity	1.0	0.6020082251273817	0.5152152317880795	0.47514888704719366	0.4042345797148262
1	100	Average Rating	1.0	0.16577409415750377	0.1499503311258278	0.10167398953289862	0.09796257713554465
3	50	kNN (test)	0.9989735099337749	0.7477866265321292	0.5979966887417218	0.549391857780593	0.4687662181674024
1	100	iMF (test)	1.0	0.5915643545487143	0.48874172185430464	0.4223804893484462	0.370113799302644
2	200	Normalized kNN (test)	1.0	0.3149499984025503	0.2602483443708609	0.18559927677838042	0.1765738451009675
2	200	kNN (full)	1.0	0.6385111106490977	0.5066059602649007	0.4329659680885295	0.3824557422397371
1	100	Normalized kNN (full)	0.7334105960264901	0.5571922995237553	0.45023178807947023	0.34274755142560603	0.3248715955281939
1	100	Random	1.0	0.13688070541597	0.1277317880794702	0.08075501764674262	0.08087912603181661
3	50	Normalized kNN (test)	1.0	0.6685011456956956	0.5556622516556291	0.48352476071508427	0.4216747188266928
3	50	kNN (full)	0.9838079470198675	0.7487871093975397	0.5968377483443709	0.5425112220989613	0.46586316953772217
1	100	iMF (full)	1.0	0.7204375198395562	0.5758940397350993	0.5093452244269315	0.444482019760906
