target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.05413907284768212	0.2508278145695364	0.2508278145695364	0.2508278145695364
500	Popularity	iMF (test)	1.0	0.05778145695364238	0.27764900662251657	0.27764900662251657	0.27764900662251657
500	Popularity	Random	1.0	0.10215231788079471	0.123841059602649	0.123841059602649	0.123841059602649
500	Popularity	Normalized kNN (full)	0.6766556291390728	0.06059602649006623	0.25811258278145693	0.25811258278145693	0.25811258278145693
500	Popularity	Normalized kNN (test)	1.0	0.09304635761589404	0.22135761589403974	0.22135761589403974	0.22135761589403974
500	Popularity	kNN (full)	1.0	0.04900662251655629	0.24817880794701988	0.24817880794701988	0.24817880794701988
500	Popularity	Average Rating	1.0	0.10182119205298014	0.14817880794701987	0.14817880794701987	0.14817880794701987
500	Popularity	iMF (full)	1.0	0.03658940397350993	0.19337748344370861	0.19337748344370861	0.19337748344370861
20	Popularity	Random	1.0	0.01456953642384106	0.10033112582781457	0.10033112582781457	0.10033112582781457
20	Popularity	Normalized kNN (test)	0.9945364238410596	0.048841059602649006	0.36887417218543045	0.36887417218543045	0.36887417218543045
20	Popularity	iMF (full)	1.0	0.04039735099337748	0.3403973509933775	0.3403973509933775	0.3403973509933775
20	Popularity	iMF (test)	1.0	0.04652317880794702	0.3660596026490066	0.3660596026490066	0.3660596026490066
20	Popularity	kNN (test)	0.9451986754966888	0.05513245033112583	0.41788079470198675	0.41788079470198675	0.41788079470198675
20	Popularity	kNN (full)	0.8567880794701986	0.05231788079470199	0.3922185430463576	0.3922185430463576	0.3922185430463576
20	Popularity	Average Rating	1.0	0.045033112582781455	0.2947019867549669	0.2947019867549669	0.2947019867549669
20	Popularity	Normalized kNN (full)	0.5079470198675496	0.03493377483443708	0.21804635761589403	0.21804635761589403	0.21804635761589403
20	Random	Normalized kNN (test)	0.9945364238410596	0.016721854304635762	0.09403973509933775	0.09403973509933775	0.09403973509933775
20	Random	iMF (full)	1.0	0.014403973509933774	0.0652317880794702	0.0652317880794702	0.0652317880794702
20	Random	iMF (test)	1.0	0.012913907284768211	0.06158940397350993	0.06158940397350993	0.06158940397350993
20	Random	kNN (test)	0.9451986754966888	0.013741721854304636	0.0706953642384106	0.0706953642384106	0.0706953642384106
20	Random	kNN (full)	0.8567880794701986	0.01423841059602649	0.07334437086092715	0.07334437086092715	0.07334437086092715
20	Random	Average Rating	1.0	0.02019867549668874	0.11490066225165563	0.11490066225165563	0.11490066225165563
20	Random	Normalized kNN (full)	0.5079470198675496	0.03145695364238411	0.14536423841059604	0.14536423841059604	0.14536423841059604
50	Popularity	Normalized kNN (full)	0.5117549668874172	0.036754966887417216	0.2283112582781457	0.2283112582781457	0.2283112582781457
50	Popularity	iMF (full)	1.0	0.04271523178807947	0.3170529801324503	0.3170529801324503	0.3170529801324503
50	Popularity	iMF (test)	1.0	0.04586092715231788	0.3491721854304636	0.3491721854304636	0.3491721854304636
50	Popularity	kNN (test)	0.9908940397350994	0.055794701986754965	0.40016556291390726	0.40016556291390726	0.40016556291390726
50	Popularity	Normalized kNN (test)	1.0	0.04619205298013245	0.353476821192053	0.353476821192053	0.353476821192053
50	Popularity	kNN (full)	0.9145695364238411	0.05231788079470199	0.3804635761589404	0.3804635761589404	0.3804635761589404
50	Popularity	Random	1.0	0.015231788079470199	0.04437086092715232	0.04437086092715232	0.04437086092715232
50	Popularity	Average Rating	1.0	0.018211920529801324	0.22682119205298013	0.22682119205298013	0.22682119205298013
5	iMF (full)	Normalized kNN (full)	0.49321192052980134	0.0890728476821192	0.2336092715231788	0.2336092715231788	0.2336092715231788
5	iMF (full)	Random	1.0	0.015562913907284768	0.23990066225165563	0.23990066225165563	0.23990066225165563
5	iMF (full)	Normalized kNN (test)	0.858112582781457	0.10480132450331126	0.46258278145695364	0.46258278145695364	0.46258278145695364
