target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.03394039735099338	0.03394039735099338	0.03394039735099338	0.03394039735099338
500	Popularity	iMF (test)	0.0	0.0456953642384106	0.0456953642384106	0.0456953642384106	0.0456953642384106
500	Popularity	Random	0.0	0.10182119205298014	0.10182119205298014	0.10182119205298014	0.10182119205298014
500	Popularity	Normalized kNN (full)	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159	0.04685430463576159
500	Popularity	Normalized kNN (test)	0.0	0.08758278145695364	0.08758278145695364	0.08758278145695364	0.08758278145695364
500	Popularity	kNN (full)	0.0	0.03195364238410596	0.03195364238410596	0.03195364238410596	0.03195364238410596
500	Popularity	Average Rating	0.0	0.09867549668874172	0.09867549668874172	0.09867549668874172	0.09867549668874172
500	Popularity	iMF (full)	0.0	0.02533112582781457	0.02533112582781457	0.02533112582781457	0.02533112582781457
20	Popularity	Random	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Popularity	Normalized kNN (test)	0.0	0.01076158940397351	0.01076158940397351	0.01076158940397351	0.01076158940397351
20	Popularity	iMF (full)	0.0	0.010430463576158941	0.010430463576158941	0.010430463576158941	0.010430463576158941
20	Popularity	iMF (test)	0.0	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
20	Popularity	kNN (test)	0.0	0.010596026490066225	0.010596026490066225	0.010596026490066225	0.010596026490066225
20	Popularity	kNN (full)	0.0	0.01076158940397351	0.01076158940397351	0.01076158940397351	0.01076158940397351
20	Popularity	Average Rating	0.0	0.010927152317880795	0.010927152317880795	0.010927152317880795	0.010927152317880795
20	Popularity	Normalized kNN (full)	0.0	0.011754966887417218	0.011754966887417218	0.011754966887417218	0.011754966887417218
20	Random	Normalized kNN (test)	0.0	0.012086092715231788	0.012086092715231788	0.012086092715231788	0.012086092715231788
20	Random	iMF (full)	0.0	0.011258278145695364	0.011258278145695364	0.011258278145695364	0.011258278145695364
20	Random	iMF (test)	0.0	0.010430463576158941	0.010430463576158941	0.010430463576158941	0.010430463576158941
20	Random	kNN (test)	0.0	0.011258278145695364	0.011258278145695364	0.011258278145695364	0.011258278145695364
20	Random	kNN (full)	0.0	0.012582781456953643	0.012582781456953643	0.012582781456953643	0.012582781456953643
20	Random	Average Rating	0.0	0.016225165562913906	0.016225165562913906	0.016225165562913906	0.016225165562913906
20	Random	Normalized kNN (full)	0.0	0.030132450331125826	0.030132450331125826	0.030132450331125826	0.030132450331125826
50	Popularity	Normalized kNN (full)	0.0	0.013741721854304636	0.013741721854304636	0.013741721854304636	0.013741721854304636
50	Popularity	iMF (full)	0.0	0.010596026490066225	0.010596026490066225	0.010596026490066225	0.010596026490066225
50	Popularity	iMF (test)	0.0	0.01076158940397351	0.01076158940397351	0.01076158940397351	0.01076158940397351
50	Popularity	kNN (test)	0.0	0.011589403973509934	0.011589403973509934	0.011589403973509934	0.011589403973509934
50	Popularity	Normalized kNN (test)	0.0	0.012086092715231788	0.012086092715231788	0.012086092715231788	0.012086092715231788
50	Popularity	kNN (full)	0.0	0.011589403973509934	0.011589403973509934	0.011589403973509934	0.011589403973509934
50	Popularity	Random	0.0	0.013741721854304636	0.013741721854304636	0.013741721854304636	0.013741721854304636
50	Popularity	Average Rating	0.0	0.013410596026490066	0.013410596026490066	0.013410596026490066	0.013410596026490066
5	iMF (full)	Normalized kNN (full)	0.0	0.01076158940397351	0.01076158940397351	0.01076158940397351	0.01076158940397351
5	iMF (full)	Random	0.0	0.010596026490066225	0.010596026490066225	0.010596026490066225	0.010596026490066225
5	iMF (full)	Normalized kNN (test)	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
5	iMF (full)	Average Rating	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
5	iMF (full)	Popularity	0.0	0.01009933774834437	0.01009933774834437	0.01009933774834437	0.01009933774834437
5	iMF (full)	kNN (full)	0.0	0.010430463576158941	0.010430463576158941	0.010430463576158941	0.010430463576158941
5	iMF (full)	kNN (test)	0.0	0.010264900662251655	0.010264900662251655	0.010264900662251655	0.010264900662251655
5	iMF (full)	iMF (test)	0.0	0.009933774834437087	0.009933774834437087	0.009933774834437087	0.009933774834437087
2000	Normalized kNN (test)	iMF (test)	0.0	0.20596026490066224	0.20596026490066224	0.20596026490066224	0.20596026490066224
2000	Normalized kNN (test)	Popularity	0.0	0.21374172185430462	0.21374172185430462	0.21374172185430462	0.21374172185430462
2000	Normalized kNN (test)	kNN (test)	0.0	0.09254966887417218	0.09254966887417218	0.09254966887417218	0.09254966887417218
2000	Normalized kNN (test)	kNN (full)	0.0	0.08509933774834437	0.08509933774834437	0.08509933774834437	0.08509933774834437
2000	Normalized kNN (test)	Random	0.0	0.4695364238410596	0.4695364238410596	0.4695364238410596	0.4695364238410596
2000	Normalized kNN (test)	Average Rating	0.0	0.4675496688741722	0.4675496688741722	0.4675496688741722	0.4675496688741722
2000	Normalized kNN (test)	iMF (full)	0.0	0.073841059602649	0.073841059602649	0.073841059602649	0.073841059602649
2000	Normalized kNN (test)	Normalized kNN (full)	0.0	0.12235099337748344	0.12235099337748344	0.12235099337748344	0.12235099337748344
200	Average Rating	kNN (test)	0.0	0.02632450331125828	0.02632450331125828	0.02632450331125828	0.02632450331125828
200	Average Rating	iMF (full)	0.0	0.021026490066225166	0.021026490066225166	0.021026490066225166	0.021026490066225166
200	Average Rating	kNN (full)	0.0	0.02566225165562914	0.02566225165562914	0.02566225165562914	0.02566225165562914
200	Average Rating	Popularity	0.0	0.06754966887417219	0.06754966887417219	0.06754966887417219	0.06754966887417219
200	Average Rating	iMF (test)	0.0	0.041225165562913904	0.041225165562913904	0.041225165562913904	0.041225165562913904
200	Average Rating	Random	0.0	0.25298013245033113	0.25298013245033113	0.25298013245033113	0.25298013245033113
200	Average Rating	Normalized kNN (full)	0.0	0.05927152317880795	0.05927152317880795	0.05927152317880795	0.05927152317880795
200	Average Rating	Normalized kNN (test)	0.0	0.173841059602649	0.173841059602649	0.173841059602649	0.173841059602649
3706	kNN (test)	iMF (full)	0.0	0.09470198675496688	0.09470198675496688	0.09470198675496688	0.09470198675496688
3706	kNN (test)	Average Rating	0.0	0.16158940397350993	0.16158940397350993	0.16158940397350993	0.16158940397350993
3706	kNN (test)	kNN (full)	0.0	0.1347682119205298	0.1347682119205298	0.1347682119205298	0.1347682119205298
3706	kNN (test)	Random	0.0	0.1629139072847682	0.1629139072847682	0.1629139072847682	0.1629139072847682
3706	kNN (test)	iMF (test)	0.0	0.13245033112582782	0.13245033112582782	0.13245033112582782	0.13245033112582782
3706	kNN (test)	Normalized kNN (test)	0.0	0.1607615894039735	0.1607615894039735	0.1607615894039735	0.1607615894039735
3706	kNN (test)	Popularity	0.0	0.14304635761589404	0.14304635761589404	0.14304635761589404	0.14304635761589404
3706	kNN (test)	Normalized kNN (full)	0.0	0.12599337748344372	0.12599337748344372	0.12599337748344372	0.12599337748344372
3706	iMF (full)	Average Rating	0.0	0.12566225165562914	0.12566225165562914	0.12566225165562914	0.12566225165562914
