target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	6.050990805614367E-8	7.649155257373673E-14	1.0788275736785308E-38	3.8402358409939185E-35
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	6.3164210812263574E-55	1.4354974370024938E-41	1.55320158367365E-57	1.5020628939210325E-77
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	4.99572691021307E-91	4.762051722142347E-65	0.8707817664020961	9.805029489515455E-14
20	Popularity	iMF (full)	NaN	0.0	0.0	1.8223456975464445E-215	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	1.6656181939060245E-285	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	5.697031063197521E-223	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	1.0447838153648656E-152	5.366431648828534E-294
20	Popularity	Average Rating	NaN	2.733965953183575E-11	2.4781580118721587E-13	2.5350944861358252E-39	1.3882507327071055E-5
20	Popularity	Normalized kNN (full)	NaN	3.0872333538492776E-20	0.0019890040783200158	4.4649538067107135E-121	2.384063469409556E-60
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	0.05735396188231796	3.133647166238059E-23	1.1881910957239403E-185	1.260119110422858E-118
50	Popularity	iMF (full)	NaN	0.0	0.0	1.1602017359973387E-206	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	7.741879419342751E-254	0.0
50	Popularity	kNN (test)	NaN	0.0	0.0	6.806280789549738E-234	0.0
50	Popularity	Normalized kNN (test)	NaN	2.4080654748742726E-27	1.169869840963409E-20	1.1276694597597952E-10	0.7560699007011723
50	Popularity	kNN (full)	NaN	0.0	0.0	4.765831290838576E-161	8.116299893879E-311
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	NaN	7.503657161040375E-234	5.8308649585362836E-176	8.382313851719731E-218	5.7521615926361826E-229
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	2.0903639929017315E-52	1.710449838053679E-22	3.2290364700061556E-30	2.5365859722305027E-34
5	iMF (full)	Average Rating	NaN	3.540812513996356E-114	3.3973927996994454E-99	9.831392566017313E-130	1.2944019457142307E-134
5	iMF (full)	Popularity	NaN	1.4632356627619734E-122	2.3986709599027373E-121	3.421963377150695E-57	3.149155191336809E-90
5	iMF (full)	kNN (full)	NaN	0.023889674940421442	0.03185339817989234	0.009948756306764648	0.01701217764286073
5	iMF (full)	kNN (test)	NaN	0.40606732188090067	0.828096458392901	0.04281265771805273	0.21170512788440454
5	iMF (full)	iMF (test)	NaN	8.573664789344073E-48	2.2911832171944593E-61	3.225806814600185E-51	2.67204517830921E-61
2000	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (test)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Average Rating	NaN	0.0	0.0	7.676570010328511E-167	1.0080797E-317
2000	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
2000	Normalized kNN (test)	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	3.026601571834346E-155	3.309381437378618E-226	8.846442291066847E-143	4.847452440395316E-221
200	Average Rating	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	iMF (full)	NaN	1.4411643723050268E-78	1.8864573866765758E-117	9.326865047353036E-59	1.2156595480958412E-108
3706	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	kNN (full)	NaN	0.027787616241857636	0.010358204300365891	1.1845548299792498E-4	1.0090444682774143E-4
3706	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
3706	kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
