fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Average Rating	1.0	0.20456134911813514	0.1821688741721854	0.12246852228925167	0.11817641895179024
3	100	iMF (test)	1.0	0.59449044875894	0.49100993377483443	0.41887756087637235	0.3678661431291246
3	100	Normalized kNN (full)	1.0	0.5643035756181848	0.4566059602649007	0.357103113681734	0.3317287383449538
3	100	Random	1.0	0.13602218370899447	0.1269205298013245	0.07948731135387468	0.07924276208558308
3	100	iMF (full)	1.0	0.7159998398719203	0.5721854304635762	0.5046446840435085	0.4391555568603453
3	100	Popularity	1.0	0.4944998902994081	0.42379139072847677	0.3449036380571099	0.30921221535895954
3	100	kNN (test)	1.0	0.6617906074978984	0.5285761589403973	0.462823804234694	0.40236481801235185
3	100	Normalized kNN (test)	1.0	0.3522728701605398	0.28822847682119207	0.21017361546166213	0.19712761686843436
3	100	kNN (full)	1.0	0.6682041503988395	0.5327980132450331	0.46578404797333584	0.40544379000741193
3	200	Average Rating	1.0	0.18947335648415664	0.16198675496688741	0.10595581308120061	0.10337532177797229
3	200	iMF (test)	1.0	0.5207373596004644	0.43332781456953645	0.3517774513026968	0.3166673808789687
3	200	Normalized kNN (full)	1.0	0.524630897579362	0.42334437086092713	0.33091889395234597	0.3070182232929634
3	200	Random	1.0	0.0800565782458467	0.07614238410596028	0.0435337799571748	0.044651838051487355
3	200	iMF (full)	1.0	0.6737951279485989	0.5384602649006622	0.46135903232907144	0.40607323395992323
3	200	Popularity	1.0	0.4511073060553278	0.37705298013245037	0.288945817022438	0.2659464613026264
3	200	kNN (test)	1.0	0.632671679289011	0.5029139072847681	0.4268695452622708	0.37629744898341455
3	200	Normalized kNN (test)	1.0	0.33044739337794055	0.27114238410596025	0.19060539507769592	0.18218918610416432
3	200	kNN (full)	1.0	0.6363051635877357	0.5049006622516556	0.4275866254013895	0.37750280139099623
3	50	Average Rating	1.0	0.5984202439392214	0.5030794701986755	0.42193574674347656	0.37419852663980585
3	50	iMF (test)	1.0	0.7531814220840493	0.614817880794702	0.5515376781283142	0.4764214644716888
3	50	Normalized kNN (full)	1.0	0.6374612189152895	0.5122682119205297	0.3951583613338445	0.3693304280860914
3	50	Random	1.0	0.20963531358882231	0.1933112582781457	0.1370679934862561	0.13011637895989597
3	50	iMF (full)	1.0	0.7762708886735227	0.6172350993377483	0.5594079456367912	0.4825972901215509
3	50	Popularity	1.0	0.6020082251273817	0.5152152317880795	0.47514888704719366	0.4042345797148262
3	50	kNN (test)	1.0	0.7477866265321292	0.5979966887417218	0.549391857780593	0.4687662181674024
3	50	Normalized kNN (test)	1.0	0.6685011456956956	0.5556622516556291	0.48352476071508427	0.4216747188266928
3	50	kNN (full)	1.0	0.7489309062102201	0.5969370860927152	0.5428699417457604	0.46601660330042743
3	2000	Average Rating	1.0	0.05867900911778155	0.06480132450331126	0.03727827125796287	0.03842908191652799
3	2000	iMF (test)	1.0	0.22980909985753453	0.1991225165562914	0.1442290850482747	0.13534518581480623
3	2000	Normalized kNN (full)	1.0	0.2816003065451762	0.23228476821192054	0.20310250252945952	0.17575947115078439
3	2000	Random	1.0	0.011188244074412714	0.010910596026490067	0.005538849103883625	0.005959849534448987
3	2000	iMF (full)	1.0	0.4698980504994511	0.3794701986754967	0.2943209699005092	0.26978300302486724
3	2000	Popularity	1.0	0.258124410537857	0.21488410596026492	0.1416594036859692	0.13791098242977834
3	2000	kNN (test)	1.0	0.42865120060974016	0.34129139072847686	0.2617094562388689	0.23972702050102218
3	2000	Normalized kNN (test)	1.0	0.10810032455286316	0.10329470198675496	0.05528655216165458	0.06008184483286461
3	2000	kNN (full)	1.0	0.4324258763154133	0.3449834437086092	0.26803462076603995	0.24394127892676867
3	3706	Average Rating	1.0	0.016157669009139782	0.020413907284768214	0.010538791024920014	0.011505535385975558
3	3706	iMF (test)	1.0	0.14456579039219086	0.1258609271523179	0.08819076539696366	0.08331485580711957
3	3706	Normalized kNN (full)	1.0	0.1727277858554996	0.1463245033112583	0.13185913773472022	0.11128046602303011
3	3706	Random	1.0	0.00605796964553647	0.005877483443708609	0.0028695238178169298	0.0030835557298631833
3	3706	iMF (full)	1.0	0.3606254465950203	0.29107615894039734	0.21597964940983555	0.20105220097665022
3	3706	Popularity	1.0	0.17098256441647924	0.1456291390728477	0.08334995244718131	0.08611383679729186
3	3706	kNN (test)	1.0	0.3197219126703091	0.2540066225165563	0.18777805956208307	0.17373833358611288
3	3706	Normalized kNN (test)	1.0	0.04176069379828109	0.0468046357615894	0.022170399397475442	0.025551788839879894
3	3706	kNN (full)	1.0	0.32313846353978104	0.25682119205298015	0.19324072581436288	0.17720557299069697
