fold	target size	expected intersection ratio in top n
1	0	0.6379842893890268
2	0	0.6341867000199429
3	0	0.633868219504126
4	0	0.6310376733297264
5	0	0.6325997839347334
1	1	0.6185723608387241
2	1	0.615847512601025
3	1	0.6141902032008872
4	1	0.6106218476757997
5	1	0.6110940440442343
1	2	0.5988560450805858
2	2	0.5958429842567166
3	2	0.5943491981863456
4	2	0.5900516039820104
5	2	0.5896353202507366
1	5	0.5290294216406597
2	5	0.5339368453106125
3	5	0.5290172033424373
4	5	0.5212213368935664
5	5	0.5183863417191621
1	10	0.4094288395277968
2	10	0.4152796328368661
3	10	0.4037217366630437
4	10	0.4046402653636203
5	10	0.4004248901497682
1	20	0.2788367551407702
2	20	0.27990558082841316
3	20	0.27705212212899427
4	20	0.27603838786150614
5	20	0.2743917044952666
1	50	0.14851827910274684
2	50	0.14860905858763301
3	50	0.14824531029466112
4	50	0.14725467496238703
5	50	0.14702645881175846
1	100	0.08507041587166751
2	100	0.08522961209781607
3	100	0.08521997380035172
4	100	0.08490537102144544
5	100	0.08463674589505078
1	200	0.046450996824936155
2	200	0.046467355617761975
3	200	0.046402663901149825
4	200	0.046419805287485565
5	200	0.04626355429949483
1	500	0.019788020549973133
2	500	0.019784046341520627
3	500	0.01979275650084904
4	500	0.01980257931182864
5	500	0.01978073049979317
1	1000	0.010144452797064161
2	1000	0.010139842486072212
3	1000	0.010137966765856831
4	1000	0.010144005552320152
5	1000	0.010126905090507374
1	2000	0.0051384698931484125
2	2000	0.005136535598131528
3	2000	0.005138730639696315
4	2000	0.005136771826479855
5	2000	0.005133992090300234
1	2650	0.003928140599715421
2	2650	0.003927224793515622
3	2650	0.003927782955571268
4	2650	0.003927562181326066
5	2650	0.003926235338089157
