fold	target size	expected intersection ratio in top n
1	0	0.6379842893890268
2	0	0.6341867000199429
3	0	0.633868219504126
4	0	0.6310376733297264
5	0	0.6325997839347334
1	1	0.6180259472317953
2	1	0.6159360229928275
3	1	0.614382768594148
4	1	0.6110131213220878
5	1	0.6121192043330252
1	2	0.5994455751111641
2	2	0.5958842272643955
3	2	0.5942000933148289
4	2	0.5896572486116414
5	2	0.5893818444728525
1	5	0.5301842812764308
2	5	0.5339494673053173
3	5	0.5291017586128812
4	5	0.5207770899638301
5	5	0.5167821332660095
1	10	0.4087013747431207
2	10	0.414050063033574
3	10	0.40456932485797936
4	10	0.4049406271516161
5	10	0.39975376188831657
1	20	0.2791210708590195
2	20	0.2799565834367844
3	20	0.27699442893809245
4	20	0.27618639615037366
5	20	0.27399193832726826
1	50	0.1484412334534404
2	50	0.14878578103378542
3	50	0.14824451415332465
4	50	0.1477409206233594
5	50	0.14696896060595904
1	100	0.08501692764355012
2	100	0.08525357260604596
3	100	0.0850130261432554
4	100	0.08484898247241168
5	100	0.08455197368712396
1	200	0.046483538845012065
2	200	0.046423503354985705
3	200	0.04642479696604661
4	200	0.04636018321018785
5	200	0.04627184312028885
1	500	0.019822584232237803
2	500	0.019804996852433296
3	500	0.01979567040445528
4	500	0.019785304206067476
5	500	0.01976744353024194
1	1000	0.010143184700217028
2	1000	0.010136436693654811
3	1000	0.010135365325248249
4	1000	0.010141003505827162
5	1000	0.010121601386812234
1	2000	0.0051375956667343604
2	2000	0.0051358478906475755
3	2000	0.005138763304544876
4	2000	0.005136876199978033
5	2000	0.0051343405683330155
1	2650	0.003928140599715421
2	2650	0.003927224793515622
3	2650	0.003927782955571268
4	2650	0.003927562181326066
5	2650	0.003926235338089157
