target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	NaN	3.321101299500259E-92	5.69777274822612E-85	5.713633061258566E-59	2.0196671668594006E-85
500	Popularity	iMF (test)	NaN	6.087880162221014E-71	2.056405766686613E-58	4.256830162169635E-33	2.170420944155681E-55
500	Popularity	Random	NaN	6.252975853702585E-209	8.34331287827632E-195	6.948085529770468E-154	1.6776873854880648E-215
500	Popularity	Normalized kNN (full)	6.3669064059935686E-18	2.1664068050118463E-6	2.0612164140927013E-15	1.7591941985375483E-18	4.6382389759957626E-21
500	Popularity	Normalized kNN (test)	NaN	9.56995143793209E-151	3.3034089136797546E-133	1.2326190090098253E-100	6.45657443923667E-147
500	Popularity	Average Rating	NaN	3.5741278510487214E-174	2.2065024688113224E-174	7.715615136876899E-142	3.699294853027025E-194
500	Popularity	iMF (full)	NaN	1.004459370144706E-117	3.718198220380648E-112	4.613885134236864E-93	7.356546244142045E-125
20	Popularity	Random	NaN	1.4612611753477037E-199	5.591316841622874E-193	3.770010038850271E-141	1.0948179156719343E-190
20	Popularity	Normalized kNN (test)	2.6813144496313602E-9	5.760892859415774E-11	0.06759021389566577	0.052866670798555455	0.013741886945906265
20	Popularity	iMF (full)	NaN	1.0018005752366183E-63	2.34339149567564E-50	5.81519532611055E-30	4.039299326308616E-49
20	Popularity	iMF (test)	NaN	0.007200889086822516	2.4684871391292694E-10	8.898776838874973E-6	1.7284734178168858E-9
20	Popularity	kNN (full/test)	1.6844426230004725E-6	1.0039621487263877E-60	2.9564418368629444E-49	6.597409154054463E-29	4.3709805211631033E-44
20	Popularity	Average Rating	NaN	5.380512317933548E-134	2.6010493049262604E-98	1.3357944497752122E-86	1.6975722807169442E-109
20	Popularity	Normalized kNN (full)	6.707115589832121E-152	1.807437790304418E-9	1.3765677835596403E-13	6.870011562863753E-49	8.370711506371062E-35
20	Random	Normalized kNN (test)	2.6813144496313602E-9	5.067055911446513E-168	7.330012818754676E-192	1.041311728307766E-133	3.6932838266816376E-188
20	Random	iMF (full)	NaN	3.1346077936282416E-299	5.0186215904169676E-263	8.043255446825152E-194	4.591237287149554E-258
20	Random	iMF (test)	NaN	2.4124544586928403E-227	2.3960495705809704E-227	2.450756232051426E-168	9.22040201484741E-227
20	Random	kNN (full/test)	1.6844426230004725E-6	3.8826455241041856E-291	4.409705742120148E-261	5.849497038294699E-191	8.758283745117204E-258
20	Random	Average Rating	NaN	4.092654036137841E-28	4.3864153031081984E-44	6.745570565939262E-27	4.672858764574915E-40
20	Random	Normalized kNN (full)	6.707115589832121E-152	9.2509725055495E-154	1.6720811406441573E-118	4.700165068276806E-43	1.1610669291791668E-92
50	Popularity	Normalized kNN (full)	1.4526339014944428E-131	0.07518182495707323	0.24142965275432826	1.5264352852687617E-8	0.007313191200040412
50	Popularity	iMF (full)	NaN	3.9411975964586466E-89	5.856013170483456E-74	2.1481741793276185E-52	7.868236882301231E-74
50	Popularity	iMF (test)	NaN	0.0011951182229896866	0.7808467489301558	0.5496366313792174	0.899190552826901
50	Popularity	kNN (full/test)	NaN	1.942771287946684E-83	2.1551028432451525E-70	9.264844966217595E-43	5.195371786253579E-66
50	Popularity	Normalized kNN (test)	NaN	8.936919664314734E-54	1.6504474703957213E-29	4.9736050966296255E-20	5.3438514186431896E-33
50	Popularity	Random	NaN	1.8575671150800113E-263	1.0011307787476081E-246	3.591898049537787E-179	5.809472454173504E-250
50	Popularity	Average Rating	NaN	5.327279285878862E-186	6.035803760559212E-165	1.773877213691779E-139	4.479363277162661E-181
