target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	1.0	0.0981981981981982	0.3144144144144144	0.3144144144144144	0.3144144144144144
500	Popularity	iMF (test)	1.0	0.14414414414414414	0.2945945945945946	0.2945945945945946	0.2945945945945946
500	Popularity	Random	1.0	0.17567567567567569	0.20270270270270271	0.20270270270270271	0.20270270270270271
500	Popularity	Normalized kNN (full)	0.9099099099099099	0.09279279279279279	0.3108108108108108	0.3108108108108108	0.3108108108108108
500	Popularity	Normalized kNN (test)	1.0	0.16036036036036036	0.23423423423423423	0.23423423423423423	0.23423423423423423
500	Popularity	Average Rating	1.0	0.17657657657657658	0.2126126126126126	0.2126126126126126	0.2126126126126126
500	Popularity	iMF (full)	1.0	0.08468468468468468	0.26306306306306304	0.26306306306306304	0.26306306306306304
20	Popularity	Random	1.0	0.01891891891891892	0.12792792792792793	0.12792792792792793	0.12792792792792793
20	Popularity	Normalized kNN (test)	0.9567567567567568	0.03513513513513514	0.35495495495495494	0.35495495495495494	0.35495495495495494
20	Popularity	iMF (full)	1.0	0.06396396396396396	0.3945945945945946	0.3945945945945946	0.3945945945945946
20	Popularity	iMF (test)	1.0	0.04054054054054054	0.3900900900900901	0.3900900900900901	0.3900900900900901
20	Popularity	kNN (full/test)	0.972972972972973	0.06576576576576576	0.4099099099099099	0.4099099099099099	0.4099099099099099
20	Popularity	Average Rating	1.0	0.018018018018018018	0.2009009009009009	0.2009009009009009	0.2009009009009009
20	Popularity	Normalized kNN (full)	0.43333333333333335	0.04864864864864865	0.25405405405405407	0.25405405405405407	0.25405405405405407
20	Random	Normalized kNN (test)	0.9567567567567568	0.02072072072072072	0.13333333333333333	0.13333333333333333	0.13333333333333333
20	Random	iMF (full)	1.0	0.018018018018018018	0.0981981981981982	0.0981981981981982	0.0981981981981982
20	Random	iMF (test)	1.0	0.017117117117117116	0.10270270270270271	0.10270270270270271	0.10270270270270271
20	Random	kNN (full/test)	0.972972972972973	0.018018018018018018	0.0990990990990991	0.0990990990990991	0.0990990990990991
20	Random	Average Rating	1.0	0.02882882882882883	0.21621621621621623	0.21621621621621623	0.21621621621621623
20	Random	Normalized kNN (full)	0.43333333333333335	0.027927927927927927	0.16396396396396395	0.16396396396396395	0.16396396396396395
50	Popularity	Normalized kNN (full)	0.4846846846846847	0.05675675675675676	0.2756756756756757	0.2756756756756757	0.2756756756756757
50	Popularity	iMF (full)	1.0	0.06036036036036036	0.327027027027027	0.327027027027027	0.327027027027027
50	Popularity	iMF (test)	1.0	0.036036036036036036	0.327027027027027	0.327027027027027	0.327027027027027
50	Popularity	kNN (full/test)	1.0	0.062162162162162166	0.3387387387387387	0.3387387387387387	0.3387387387387387
50	Popularity	Normalized kNN (test)	1.0	0.03333333333333333	0.263963963963964	0.263963963963964	0.263963963963964
50	Popularity	Random	1.0	0.04144144144144144	0.0963963963963964	0.0963963963963964	0.0963963963963964
50	Popularity	Average Rating	1.0	0.03513513513513514	0.13873873873873874	0.13873873873873874	0.13873873873873874
5	iMF (full)	Normalized kNN (full)	0.4081081081081081	0.07117117117117117	0.24054054054054055	0.24054054054054055	0.24054054054054055
5	iMF (full)	Random	1.0	0.02072072072072072	0.2945945945945946	0.2945945945945946	0.2945945945945946
5	iMF (full)	Normalized kNN (test)	0.7513513513513513	0.07117117117117117	0.45765765765765765	0.45765765765765765	0.45765765765765765
5	iMF (full)	Average Rating	0.9540540540540541	0.03783783783783784	0.4036036036036036	0.4036036036036036	0.4036036036036036
5	iMF (full)	kNN (full/test)	0.781981981981982	0.16306306306306306	0.5801801801801801	0.5801801801801801	0.5801801801801801
5	iMF (full)	Popularity	0.9540540540540541	0.0972972972972973	0.4927927927927928	0.4927927927927928	0.4927927927927928
5	iMF (full)	iMF (test)	1.0	0.0963963963963964	0.4927927927927928	0.4927927927927928	0.4927927927927928
2000	Normalized kNN (test)	iMF (test)	1.0	0.6612612612612613	0.6828828828828829	0.6828828828828829	0.6828828828828829
2000	Normalized kNN (test)	Popularity	1.0	0.35945945945945945	0.3792792792792793	0.3792792792792793	0.3792792792792793
2000	Normalized kNN (test)	Random	1.0	0.8450450450450451	0.8495495495495495	0.8495495495495495	0.8495495495495495
2000	Normalized kNN (test)	kNN (full/test)	1.0	0.23783783783783785	0.24594594594594596	0.24594594594594596	0.24594594594594596
2000	Normalized kNN (test)	Average Rating	1.0	0.8432432432432433	0.8729729729729729	0.8729729729729729	0.8729729729729729
2000	Normalized kNN (test)	iMF (full)	1.0	0.2018018018018018	0.2153153153153153	0.2153153153153153	0.2153153153153153
2000	Normalized kNN (test)	Normalized kNN (full)	0.9990990990990991	0.3738738738738739	0.4117117117117117	0.4117117117117117	0.4117117117117117
200	Average Rating	iMF (full)	1.0	0.044144144144144144	0.06306306306306306	0.06306306306306306	0.06306306306306306
200	Average Rating	Popularity	1.0	0.09279279279279279	0.14234234234234233	0.14234234234234233	0.14234234234234233
200	Average Rating	iMF (test)	1.0	0.13333333333333333	0.1972972972972973	0.1972972972972973	0.1972972972972973
200	Average Rating	Random	1.0	0.4207207207207207	0.5054054054054054	0.5054054054054054	0.5054054054054054
200	Average Rating	Normalized kNN (full)	0.7063063063063063	0.06396396396396396	0.0981981981981982	0.0981981981981982	0.0981981981981982
200	Average Rating	kNN (full/test)	1.0	0.05225225225225225	0.07567567567567568	0.07567567567567568	0.07567567567567568
200	Average Rating	Normalized kNN (test)	1.0	0.2774774774774775	0.3918918918918919	0.3918918918918919	0.3918918918918919
20	Normalized kNN (test)	iMF (full)	0.9567567567567568	0.03783783783783784	0.35945945945945945	0.35945945945945945	0.35945945945945945
20	Normalized kNN (test)	iMF (test)	0.9567567567567568	0.03513513513513514	0.3783783783783784	0.3783783783783784	0.3783783783783784
20	Normalized kNN (test)	kNN (full/test)	0.9522522522522523	0.04594594594594595	0.3891891891891892	0.3891891891891892	0.3891891891891892
20	Normalized kNN (test)	Average Rating	0.9567567567567568	0.027927927927927927	0.24864864864864866	0.24864864864864866	0.24864864864864866
20	Normalized kNN (test)	Normalized kNN (full)	0.43333333333333335	0.04144144144144144	0.26036036036036037	0.26036036036036037	0.26036036036036037
0	Normalized kNN (full)	Random	0.4153153153153153	0.03513513513513514	0.16756756756756758	0.16756756756756758	0.16756756756756758
0	Normalized kNN (full)	iMF (test)	0.4153153153153153	0.06936936936936937	0.1873873873873874	0.1873873873873874	0.1873873873873874
0	Normalized kNN (full)	Popularity	0.4153153153153153	0.055855855855855854	0.1990990990990991	0.1990990990990991	0.1990990990990991
0	Normalized kNN (full)	Average Rating	0.4153153153153153	0.07297297297297298	0.1945945945945946	0.1945945945945946	0.1945945945945946
0	Normalized kNN (full)	iMF (full)	0.4153153153153153	0.08018018018018018	0.22252252252252253	0.22252252252252253	0.22252252252252253
0	Normalized kNN (full)	Normalized kNN (test)	0.4198198198198198	0.0963963963963964	0.22612612612612612	0.22612612612612612	0.22612612612612612
0	Normalized kNN (full)	kNN (full/test)	0.41621621621621624	0.0918918918918919	0.24594594594594596	0.24594594594594596	0.24594594594594596
50	Normalized kNN (full)	iMF (full)	0.4846846846846847	0.06486486486486487	0.31801801801801804	0.31801801801801804	0.31801801801801804
50	Normalized kNN (full)	iMF (test)	0.4846846846846847	0.04054054054054054	0.27387387387387385	0.27387387387387385	0.27387387387387385
50	Normalized kNN (full)	kNN (full/test)	0.4846846846846847	0.06756756756756757	0.3225225225225225	0.3225225225225225	0.3225225225225225
50	Normalized kNN (full)	Normalized kNN (test)	0.4846846846846847	0.036936936936936934	0.25225225225225223	0.25225225225225223	0.25225225225225223
50	Normalized kNN (full)	Random	0.4846846846846847	0.054954954954954956	0.13333333333333333	0.13333333333333333	0.13333333333333333
50	Normalized kNN (full)	Average Rating	0.4846846846846847	0.04594594594594595	0.16576576576576577	0.16576576576576577	0.16576576576576577
100	Popularity	Normalized kNN (test)	1.0	0.04864864864864865	0.22252252252252253	0.22252252252252253	0.22252252252252253
100	Popularity	iMF (full)	1.0	0.047747747747747746	0.27207207207207207	0.27207207207207207	0.27207207207207207
100	Popularity	iMF (test)	1.0	0.04864864864864865	0.2945945945945946	0.2945945945945946	0.2945945945945946
100	Popularity	Normalized kNN (full)	0.5675675675675675	0.05855855855855856	0.2873873873873874	0.2873873873873874	0.2873873873873874
100	Popularity	kNN (full/test)	1.0	0.05405405405405406	0.31261261261261264	0.31261261261261264	0.31261261261261264
100	Popularity	Average Rating	1.0	0.054954954954954956	0.13783783783783785	0.13783783783783785	0.13783783783783785
100	Popularity	Random	1.0	0.06306306306306306	0.11441441441441441	0.11441441441441441	0.11441441441441441
50	iMF (full)	iMF (test)	1.0	0.04684684684684685	0.3261261261261261	0.3261261261261261	0.3261261261261261
50	iMF (full)	kNN (full/test)	1.0	0.0963963963963964	0.48018018018018016	0.48018018018018016	0.48018018018018016
50	iMF (full)	Normalized kNN (test)	1.0	0.02972972972972973	0.20810810810810812	0.20810810810810812	0.20810810810810812
50	iMF (full)	Random	1.0	0.023423423423423424	0.054954954954954956	0.054954954954954956	0.054954954954954956
50	iMF (full)	Average Rating	1.0	0.02702702702702703	0.0963963963963964	0.0963963963963964	0.0963963963963964
100	Normalized kNN (test)	iMF (full)	1.0	0.03423423423423423	0.16396396396396395	0.16396396396396395	0.16396396396396395
100	Normalized kNN (test)	iMF (test)	1.0	0.05315315315315315	0.263963963963964	0.263963963963964	0.263963963963964
100	Normalized kNN (test)	Normalized kNN (full)	0.5675675675675675	0.04144144144144144	0.2	0.2	0.2
100	Normalized kNN (test)	kNN (full/test)	1.0	0.03423423423423423	0.16486486486486487	0.16486486486486487	0.16486486486486487
100	Normalized kNN (test)	Average Rating	1.0	0.13693693693693693	0.2711711711711712	0.2711711711711712	0.2711711711711712
100	Normalized kNN (test)	Random	1.0	0.0936936936936937	0.1918918918918919	0.1918918918918919	0.1918918918918919
2650	Normalized kNN (test)	kNN (full/test)	1.0	0.25765765765765763	0.2711711711711712	0.2711711711711712	0.2711711711711712
2650	Normalized kNN (test)	Random	1.0	0.8756756756756757	0.8801801801801802	0.8801801801801802	0.8801801801801802
2650	Normalized kNN (test)	Normalized kNN (full)	1.0	0.436036036036036	0.4657657657657658	0.4657657657657658	0.4657657657657658
2650	Normalized kNN (test)	Popularity	1.0	0.4189189189189189	0.4315315315315315	0.4315315315315315	0.4315315315315315
2650	Normalized kNN (test)	iMF (test)	1.0	0.7126126126126127	0.7405405405405405	0.7405405405405405	0.7405405405405405
2650	Normalized kNN (test)	Average Rating	1.0	0.8594594594594595	0.8864864864864865	0.8864864864864865	0.8864864864864865
2650	Normalized kNN (test)	iMF (full)	1.0	0.23783783783783785	0.24774774774774774	0.24774774774774774	0.24774774774774774
2000	iMF (test)	Popularity	1.0	0.3387387387387387	0.409009009009009	0.409009009009009	0.409009009009009
2000	iMF (test)	Random	1.0	0.6666666666666666	0.6837837837837838	0.6837837837837838	0.6837837837837838
2000	iMF (test)	kNN (full/test)	1.0	0.22072072072072071	0.2801801801801802	0.2801801801801802	0.2801801801801802
2000	iMF (test)	Average Rating	1.0	0.6585585585585586	0.6855855855855856	0.6855855855855856	0.6855855855855856
2000	iMF (test)	iMF (full)	1.0	0.1945945945945946	0.24144144144144145	0.24144144144144145	0.24144144144144145
2000	iMF (test)	Normalized kNN (full)	0.9990990990990991	0.3279279279279279	0.4081081081081081	0.4081081081081081	0.4081081081081081
2	iMF (full)	Random	1.0	0.03063063063063063	0.3846846846846847	0.3846846846846847	0.3846846846846847
2	iMF (full)	Average Rating	0.9477477477477477	0.07207207207207207	0.5099099099099099	0.5099099099099099	0.5099099099099099
2	iMF (full)	Popularity	0.9477477477477477	0.11801801801801802	0.5513513513513514	0.5513513513513514	0.5513513513513514
2	iMF (full)	kNN (full/test)	0.7504504504504504	0.17117117117117117	0.5954954954954955	0.5954954954954955	0.5954954954954955
2	iMF (full)	iMF (test)	1.0	0.12792792792792793	0.5531531531531532	0.5531531531531532	0.5531531531531532
2	iMF (full)	Normalized kNN (test)	0.718018018018018	0.0981981981981982	0.47927927927927927	0.47927927927927927	0.47927927927927927
2	iMF (full)	Normalized kNN (full)	0.4036036036036036	0.06756756756756757	0.22432432432432434	0.22432432432432434	0.22432432432432434
10	Average Rating	iMF (full)	0.9990990990990991	0.026126126126126126	0.2990990990990991	0.2990990990990991	0.2990990990990991
10	Average Rating	Normalized kNN (test)	0.8342342342342343	0.03153153153153153	0.35315315315315315	0.35315315315315315	0.35315315315315315
10	Average Rating	kNN (full/test)	0.8639639639639639	0.024324324324324326	0.3036036036036036	0.3036036036036036	0.3036036036036036
10	Average Rating	Popularity	1.0	0.01891891891891892	0.3	0.3	0.3
10	Average Rating	iMF (test)	0.9990990990990991	0.023423423423423424	0.31801801801801804	0.31801801801801804	0.31801801801801804
10	Average Rating	Normalized kNN (full)	0.4144144144144144	0.024324324324324326	0.21351351351351353	0.21351351351351353	0.21351351351351353
10	Average Rating	Random	0.9990990990990991	0.013513513513513514	0.24144144144144145	0.24144144144144145	0.24144144144144145
500	kNN (full/test)	iMF (test)	1.0	0.09009009009009009	0.2126126126126126	0.2126126126126126	0.2126126126126126
500	kNN (full/test)	Random	1.0	0.0918918918918919	0.11171171171171171	0.11171171171171171	0.11171171171171171
500	kNN (full/test)	Normalized kNN (full)	0.9099099099099099	0.09009009009009009	0.3927927927927928	0.3927927927927928	0.3927927927927928
500	kNN (full/test)	Normalized kNN (test)	1.0	0.0918918918918919	0.13513513513513514	0.13513513513513514	0.13513513513513514
500	kNN (full/test)	Average Rating	1.0	0.09009009009009009	0.109009009009009	0.109009009009009	0.109009009009009
500	kNN (full/test)	iMF (full)	1.0	0.1018018018018018	0.42882882882882883	0.42882882882882883	0.42882882882882883
200	iMF (full)	Popularity	1.0	0.06126126126126126	0.2585585585585586	0.2585585585585586	0.2585585585585586
200	iMF (full)	iMF (test)	1.0	0.04954954954954955	0.1810810810810811	0.1810810810810811	0.1810810810810811
200	iMF (full)	Random	1.0	0.044144144144144144	0.054954954954954956	0.054954954954954956	0.054954954954954956
200	iMF (full)	Normalized kNN (full)	0.7063063063063063	0.05945945945945946	0.34594594594594597	0.34594594594594597	0.34594594594594597
200	iMF (full)	kNN (full/test)	1.0	0.08378378378378379	0.4297297297297297	0.4297297297297297	0.4297297297297297
200	iMF (full)	Normalized kNN (test)	1.0	0.03873873873873874	0.11171171171171171	0.11171171171171171	0.11171171171171171
1	iMF (test)	iMF (full)	1.0	0.14954954954954955	0.5621621621621622	0.5621621621621622	0.5621621621621622
1	iMF (test)	Normalized kNN (test)	0.7450450450450451	0.13783783783783785	0.4954954954954955	0.4954954954954955	0.4954954954954955
1	iMF (test)	Normalized kNN (full)	0.4027027027027027	0.07297297297297298	0.22342342342342342	0.22342342342342342	0.22342342342342342
1	iMF (test)	kNN (full/test)	0.7801801801801802	0.14774774774774774	0.5207207207207207	0.5207207207207207	0.5207207207207207
1	iMF (test)	Random	1.0	0.04864864864864865	0.43963963963963965	0.43963963963963965	0.43963963963963965
1	iMF (test)	Popularity	0.9576576576576576	0.11981981981981982	0.5144144144144144	0.5144144144144144	0.5144144144144144
1	iMF (test)	Average Rating	0.9576576576576576	0.1045045045045045	0.5531531531531532	0.5531531531531532	0.5531531531531532
10	iMF (full)	Normalized kNN (test)	0.8342342342342343	0.04954954954954955	0.4126126126126126	0.4126126126126126	0.4126126126126126
10	iMF (full)	kNN (full/test)	0.8639639639639639	0.14594594594594595	0.5765765765765766	0.5765765765765766	0.5765765765765766
10	iMF (full)	Popularity	0.9990990990990991	0.07117117117117117	0.45045045045045046	0.45045045045045046	0.45045045045045046
10	iMF (full)	iMF (test)	1.0	0.06756756756756757	0.46216216216216216	0.46216216216216216	0.46216216216216216
10	iMF (full)	Normalized kNN (full)	0.4144144144144144	0.06846846846846846	0.24684684684684685	0.24684684684684685	0.24684684684684685
10	iMF (full)	Random	1.0	0.014414414414414415	0.14954954954954955	0.14954954954954955	0.14954954954954955
100	iMF (full)	iMF (test)	1.0	0.03963963963963964	0.23153153153153153	0.23153153153153153	0.23153153153153153
100	iMF (full)	Normalized kNN (full)	0.5675675675675675	0.062162162162162166	0.3063063063063063	0.3063063063063063	0.3063063063063063
100	iMF (full)	kNN (full/test)	1.0	0.0891891891891892	0.47387387387387386	0.47387387387387386	0.47387387387387386
100	iMF (full)	Average Rating	1.0	0.03153153153153153	0.08108108108108109	0.08108108108108109	0.08108108108108109
100	iMF (full)	Random	1.0	0.02972972972972973	0.051351351351351354	0.051351351351351354	0.051351351351351354
20	iMF (full)	iMF (test)	1.0	0.05045045045045045	0.3981981981981982	0.3981981981981982	0.3981981981981982
20	iMF (full)	kNN (full/test)	0.972972972972973	0.12072072072072072	0.5261261261261261	0.5261261261261261	0.5261261261261261
20	iMF (full)	Average Rating	1.0	0.02252252252252252	0.17207207207207206	0.17207207207207206	0.17207207207207206
20	iMF (full)	Normalized kNN (full)	0.43333333333333335	0.06576576576576576	0.26306306306306304	0.26306306306306304	0.26306306306306304
2000	Popularity	Random	1.0	0.3792792792792793	0.3945945945945946	0.3945945945945946	0.3945945945945946
2000	Popularity	kNN (full/test)	1.0	0.22342342342342342	0.4009009009009009	0.4009009009009009	0.4009009009009009
2000	Popularity	Average Rating	1.0	0.35945945945945945	0.3810810810810811	0.3810810810810811	0.3810810810810811
2000	Popularity	iMF (full)	1.0	0.18828828828828828	0.3261261261261261	0.3261261261261261	0.3261261261261261
2000	Popularity	Normalized kNN (full)	0.9990990990990991	0.24324324324324326	0.3891891891891892	0.3891891891891892	0.3891891891891892
2	Random	Average Rating	0.9477477477477477	0.027927927927927927	0.3963963963963964	0.3963963963963964	0.3963963963963964
2	Random	Popularity	0.9477477477477477	0.03063063063063063	0.4126126126126126	0.4126126126126126	0.4126126126126126
2	Random	kNN (full/test)	0.7504504504504504	0.025225225225225224	0.345045045045045	0.345045045045045	0.345045045045045
