fold	target size	expected intersection ratio in top n
2	50	0.18675111406197517
5	50	0.1866548989798081
4	50	0.1867963024151249
3	50	0.1868223258300807
1	50	0.18656883391872983
5	2	0.9667797397531288
2	2	0.9673241972510462
5	500	0.020197740197321776
2	10	0.725889614260499
2	1	0.9741496994416041
4	2	0.9677869942598623
2	5	0.9285090465871513
2	100	0.0973419689773431
5	100	0.09731714769816155
4	100	0.09738152222788383
3	100	0.09736049427599601
1	100	0.09731658837925918
5	10	0.7250208681152366
5	1000	0.01019924166927048
4	1	0.9745500195666743
2	0	0.9790848039854408
4	10	0.7260942210081508
5	20	0.41875198274372166
2	20	0.41906102497870235
4	20	0.41959922084736245
5	1	0.9735899650674108
3	20	0.41948795235496283
1	20	0.4184893175856192
5	5	0.9273009068648966
5	200	0.04978881348006273
4	0	0.9795091854001244
4	5	0.9296938243235868
5	0	0.9784445883552683
4	500	0.020202079511382743
2	500	0.020198777454769102
3	500	0.02020025709332741
1	500	0.02019801226922544
4	1000	0.010199754072954042
2	1000	0.010199526338719647
3	1000	0.01019966294974211
1	1000	0.01019940046315897
4	200	0.04977865836943787
2	200	0.049786566075779415
3	200	0.049790915614317886
1	200	0.049780113840252424
1	2	0.9671482753983719
1	1	0.9738814993974185
3	2	0.9680022516654765
1	10	0.7231964826803243
1	0	0.9787531724888973
3	10	0.726498854077532
1	5	0.928351316550365
3	1	0.9744002230150094
3	0	0.979169268423807
3	5	0.9298273952829351
