target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	1.974813071725842E-76	1.2276318072746238E-68	3.2255300814524837E-52	1.2722629349025213E-69
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	1.8195129306893352E-20	9.89741838298673E-26	3.57028357251938E-15	7.494368881448987E-24
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	1.7881140877737573E-7	0.47213409042110754	0.9278572542234126	0.32472250374926404
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	5.917472553976396E-33	7.429490853341679E-41	1.1549349032223152E-27	2.586179504998744E-39
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	9.117623944144731E-282	7.265714191496659E-306	7.624050104941522E-279	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.089552248697269E-14	2.204488303600898E-23	2.397088399863593E-13	5.155234090311718E-22
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	5.126744049152521E-163	4.256150012020825E-146	1.453159834392408E-112	3.064097879467397E-147
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.657102077630586	0.8643732709463613	0.8440376495341089	0.9324464729849465
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	4.601882142978058E-21	6.914668224960284E-36	1.6082580339345805E-26	1.2951180415159526E-35
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	3.857942775170363E-70	9.300934430648872E-60	1.0182650612335526E-43	2.225345671713021E-59
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	1.0573879573268546E-17	1.0908239238537293E-19	5.078082712767668E-13	4.0197881899299297E-19
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	8.668120361260296E-16	1.946475722992472E-16	8.01174292587521E-19	3.885722306833256E-19
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	7.739894216521528E-292	6.474688261905E-312	4.053966266086938E-288	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	1.9174339495466642E-20	4.7867380165006366E-42	9.351448653291673E-43	1.0372937583308581E-46
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	8.8384995932E-313	0.0	1.274956E-318	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.06992017741026979	2.639134688522072E-4	0.010177707758701927	3.901052104795776E-4
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	1.3716565199659973E-5	7.47061667174777E-13	3.228150902624616E-7	2.9982487916337537E-12
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	8.476767297744418E-153	3.065960829116969E-130	1.9773104137384157E-101	2.4933361227255346E-131
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	NaN	3.688431365680173E-309	0.0	2.33523226456436E-310	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	NaN	2.988509765536488E-24	1.6735794020005362E-28	3.9089486450381505E-19	9.85599073656389E-28
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	4.842271344513781E-22	1.2348675114581204E-33	3.502852970163735E-27	5.136413163968586E-34
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	NaN	1.6160126172642103E-16	1.138622918443473E-18	6.265464699723397E-12	2.396785344337644E-17
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	NaN	0.017005739241882287	5.145486814415532E-5	0.003934034269227813	8.808822192171496E-5
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	NaN	7.232044220728237E-31	4.058004491860333E-37	1.1002614364629311E-23	1.8237649130907598E-35
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	5.993068360968534E-22	4.038099555757037E-33	9.97365554272745E-23	1.7009398489442866E-32
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	NaN	1.000888783558285E-309	0.0	1.522050417E-315	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	NaN	4.200664368529692E-34	7.880478815120054E-11	8.771297954486281E-8	9.199526466895294E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=900)	NaN	1.2995839322987822E-13	4.0544777804392503E-16	1.42007789009417E-10	1.2002168594005704E-15
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	3.1647477109678576E-20	9.975830759148863E-20	8.438703558345145E-16	3.431323911980019E-20
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=100)	NaN	3.664287599634178E-32	2.953982963649449E-39	1.1160924264811236E-25	1.6435265565654401E-37
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=100.0)	NaN	9.985978888979583E-83	3.047190849792438E-68	1.2345252373618003E-52	6.806102061954351E-69
