fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	1000	Normalized kNN (k=1000, min=3)	1.0	0.0026257366231163463	0.0010555555555555557	0.0042900112887971015	0.0015024896727109777
5	1000	Normalized kNN (k=1000, min=3)	1.0	0.0017445084491611049	8.333333333333334E-4	0.003488127861252702	0.0011464848917979293
2	0	Normalized kNN (k=1000, min=3)	0.43042592592592593	0.5791434980412645	0.1701111111111111	0.6647050025894881	0.24801936558318335
1	0	Normalized kNN (k=1000, min=3)	0.4339074074074074	0.5846914351920744	0.17020370370370372	0.6689243495213448	0.2480120801021653
5	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13780090049619792	0.04844444444444445	0.20760343174230203	0.07208033666527162
3	0	Normalized kNN (k=1000, min=3)	0.42903703703703705	0.577415142123824	0.1697037037037037	0.6634515653473855	0.24724293234462774
5	0	Normalized kNN (k=1000, min=3)	0.4310740740740741	0.5851422845931541	0.1722037037037037	0.6694392204151388	0.2498193420261757
1	1000	Normalized kNN (k=1000, min=3)	1.0	0.0018281474790254797	7.962962962962962E-4	0.004023532267891101	0.0011800071843230012
4	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1336856625662596	0.047148148148148154	0.20394557586343182	0.07078307212474193
2	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.43042592592592593	0.5781499115640787	0.1703888888888889	0.6648589001993036	0.2481605439539034
4	0	Normalized kNN (k=1000, min=3)	0.42942592592592593	0.5788137463348704	0.168	0.6646047474192717	0.24562263824329897
3	1000	Normalized kNN (k=1000, min=3)	1.0	0.0026748587551766495	0.0012962962962962963	0.0053645290017082835	0.0018123804231096657
2	1000	Normalized kNN (k=1000, min=3)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
1	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.4339074074074074	0.5820196131559856	0.1711111111111111	0.6706232504483046	0.24904009497934795
3	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.42903703703703705	0.5782879316271382	0.1698703703703704	0.6644941777610385	0.24750885071389567
5	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.4310740740740741	0.5801171596803079	0.17196296296296296	0.6685759539238348	0.24941049441086513
1	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1407572099308436	0.04833333333333333	0.20775802911943267	0.07200929246591944
4	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.42942592592592593	0.5733362505524138	0.1680925925925926	0.6634304460077471	0.245574003563823
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1372362609277616	0.04781481481481481	0.2053514338998751	0.07128092575837436
5	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07674937246044074	0.028759259259259262	0.12225348063094442	0.042753896469977855
4	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.06950005731121635	0.02637037037037037	0.11351227725202301	0.03965409284115444
2	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.43042592592592593	0.5780929781539418	0.17062962962962963	0.6648834953982381	0.2484587121793234
3	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.42903703703703705	0.5761583879751088	0.17031481481481484	0.6647392005160137	0.2479212917803849
1	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.4339074074074074	0.5807208615292608	0.17103703703703704	0.6699277149764407	0.2489203089611774
5	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.4310740740740741	0.578967967974337	0.1722037037037037	0.6685394015434863	0.24966679641282596
1	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07652631534182726	0.028166666666666666	0.1234030381270909	0.042194240885656105
4	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.42942592592592593	0.5728607607943556	0.16825925925925928	0.6639629115031302	0.2456971122856692
2	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.06854919220901953	0.02575925925925926	0.11404258724699293	0.038751170504628216
5	1000	kNN (k=20)	1.0	0.12506402421471283	0.04288888888888889	0.17642167772597933	0.06284956658375984
4	1000	kNN (k=20)	1.0	0.12483035264170349	0.04227777777777778	0.17232633914567147	0.06191548411379734
2	0	kNN (k=20)	0.43042592592592593	0.5693135266849598	0.16933333333333334	0.6626929150319832	0.24691816682373427
3	0	kNN (k=20)	0.42903703703703705	0.565340616762092	0.16846296296296298	0.66122062150002	0.2457489533811561
5	0	kNN (k=20)	0.4310740740740741	0.5682397776676159	0.1707962962962963	0.665735295628334	0.24795519283281783
1	0	kNN (k=20)	0.4339074074074074	0.569572704079594	0.1695	0.6673145636304599	0.24710737909536593
1	1000	kNN (k=20)	1.0	0.1276224015501035	0.043000000000000003	0.18033287236517295	0.06331746141766101
4	0	kNN (k=20)	0.42942592592592593	0.5642389356493398	0.16724074074074075	0.6622442661448984	0.24453489399899345
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
5	1000	kNN (k=80)	1.0	0.15856756105123312	0.053981481481481484	0.22468318463637346	0.07937191911836365
4	1000	kNN (k=80)	1.0	0.15306138685572393	0.0532962962962963	0.22366798853674943	0.07879270846561225
2	0	kNN (k=80)	0.43042592592592593	0.5728407174307045	0.1698888888888889	0.6638703124408531	0.24761516863852648
3	0	kNN (k=80)	0.42903703703703705	0.5745346385068727	0.16964814814814816	0.6638411715972867	0.24715628335069245
5	0	kNN (k=80)	0.4310740740740741	0.5744675540120419	0.1713148148148148	0.6672837031934639	0.24867255842333053
1	0	kNN (k=80)	0.4339074074074074	0.5749054103529454	0.17014814814814816	0.6689098071340226	0.2479832061826167
1	1000	kNN (k=80)	1.0	0.1612296983130559	0.05474074074074074	0.23026568069986697	0.08094621964942426
4	0	kNN (k=80)	0.42942592592592593	0.5699487161048146	0.16787037037037036	0.6644169090841763	0.24543812513262403
2	1000	kNN (k=80)	1.0	0.15904549098493306	0.05385185185185185	0.2232934176011761	0.07927043773055459
5	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09232752833157741	0.033	0.13985934140694783	0.04900939853732116
4	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.0936602505765729	0.03277777777777778	0.13840435651237898	0.04875655096017149
2	0	iMF (k=50, lambda=10.0, alpha=100.0)	0.43042592592592593	0.5679653302107263	0.16922222222222225	0.6630060508993841	0.2468621304119277
3	0	iMF (k=50, lambda=10.0, alpha=100.0)	0.42903703703703705	0.5667459995404669	0.169	0.6613461030487202	0.2462796076944585
1	0	iMF (k=50, lambda=10.0, alpha=100.0)	0.4339074074074074	0.5726799220211966	0.1697037037037037	0.6678986900931745	0.24734668924051617
4	0	iMF (k=50, lambda=10.0, alpha=100.0)	0.42942592592592593	0.5674459843222608	0.1672962962962963	0.6615046461496689	0.244536265995775
5	0	iMF (k=50, lambda=10.0, alpha=100.0)	0.4310740740740741	0.5698449037009887	0.17083333333333334	0.6656993801067139	0.24788461418764243
1	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09442760391058116	0.03277777777777778	0.13931993888323202	0.04849622768439842
2	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09731599432071397	0.0342962962962963	0.14603018323911737	0.05084552292924446
5	1000	Normalized kNN (k=200, min=3)	1.0	0.011874642914236778	0.0052592592592592595	0.022992748240873082	0.007827809141107252
4	1000	Normalized kNN (k=200, min=3)	1.0	0.0137449959058087	0.006092592592592592	0.026676113948918015	0.009191034140194213
2	0	Normalized kNN (k=200, min=3)	0.43042592592592593	0.5743661552913003	0.16994444444444445	0.6636783344251949	0.24767512670421196
3	0	Normalized kNN (k=200, min=3)	0.42903703703703705	0.5724107065515961	0.16937037037037037	0.6635838568798125	0.2469638032972574
1	0	Normalized kNN (k=200, min=3)	0.4339074074074074	0.5787565321454041	0.17014814814814816	0.6693036131020971	0.2480442456135231
4	0	Normalized kNN (k=200, min=3)	0.42942592592592593	0.5745583302415138	0.16790740740740742	0.6642998234715781	0.24547450744021745
5	0	Normalized kNN (k=200, min=3)	0.4310740740740741	0.5810540746839004	0.1713888888888889	0.6674021145924939	0.2487888217043759
5	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16850972029419695	0.05738888888888889	0.23670996843259462	0.08431531935985082
1	1000	Normalized kNN (k=200, min=3)	1.0	0.014337569334024906	0.00625925925925926	0.027497124869654173	0.00933664718879298
4	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.1629656679861298	0.054870370370370375	0.23114880925101097	0.08115758077272327
