target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	9.060066442379376E-82	2.6762393534732196E-77	1.01621165103512E-54	6.880251469475669E-76
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	1.0915906295878237E-11	3.4681827080080395E-19	2.389834374392855E-10	8.80442493797049E-17
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	1.0357041735278642E-10	0.7605075526289637	0.9947516828518003	0.9076509163856048
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	4.0536371682904096E-18	4.182136073808204E-28	1.145940482909052E-17	5.691945857272077E-26
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	1.2043877959351202E-295	0.0	2.693301119695987E-296	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.3589877416946055E-5	4.938727060085909E-12	1.5059766632102088E-6	1.2451613255875543E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	3.843278956787505E-178	8.751502679277429E-163	1.118433904522101E-131	2.623710202555649E-166
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.2936702680435287	0.4652774789132845	0.4672433788015614	0.8500130011614979
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	7.871492987758314E-12	8.8395420081644E-24	2.093012465306546E-19	4.0936884468113045E-23
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	5.438658076661084E-95	9.181730882791145E-95	2.2831157619909453E-66	2.0823866671255987E-93
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	4.984057574530792E-9	7.810345898754187E-14	5.846034568737E-9	7.04629266424758E-13
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	2.7949667901363464E-19	3.3757274403915963E-23	6.394423637431763E-23	1.5724338700002753E-26
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	1.4106599542855785E-305	0.0	3.29927E-319	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	1.3319746349276049E-21	5.779683660864931E-48	2.1673066335110533E-41	5.448414711136008E-50
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	2.477266569E-314	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.8898610165713866	0.06763658425875597	0.16656594052976315	0.11004990922120073
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	0.0528965796389859	3.896139054945641E-6	6.792593045350684E-5	6.719624605002145E-6
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	4.039765530357808E-165	1.8038723401269884E-139	1.186701196964282E-110	5.1323743244792844E-142
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	NaN	2.197545278E-314	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	NaN	4.219336808783199E-14	1.83252750686204E-21	6.019125558391809E-14	7.44596622238393E-20
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	4.800186875233545E-10	3.4609305431134385E-22	5.698752502649006E-17	3.31044711975497E-21
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	NaN	1.07907179226373E-7	1.2908551726837536E-12	5.30375374578433E-7	1.114249031305784E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	NaN	0.45974991820797273	0.00979622322748698	0.06679611278416757	0.02236381417926895
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	NaN	6.186048580459627E-17	4.0289601538254523E-26	8.440105428203076E-16	6.698766750887917E-24
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	2.8700951446938037E-12	2.327463993756475E-23	6.727830335807349E-19	8.010496710735432E-23
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	NaN	4.94666732E-315	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	NaN	6.245817361429179E-35	2.709818115238558E-12	3.559091805520262E-8	1.3449993607406938E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=900)	NaN	1.4193013046965986E-6	6.480447462405977E-11	3.724708932832756E-7	3.6363601617559656E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	1.7301614469469502E-41	2.9857636672516687E-37	2.3152637607972556E-27	5.297306827868704E-38
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=100)	NaN	1.870890447921567E-19	1.1983959035286741E-30	1.8310665075785662E-19	2.0656505418780306E-28
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=100.0)	NaN	1.1151485074055824E-94	2.939566882335812E-86	1.839371172991703E-58	8.271931131824815E-85
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=900, min=3)	NaN	3.018469735E-315	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=600, min=3)	NaN	8.48767090657769E-309	0.0	4.36307633E-316	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=1000)	NaN	4.858189450658792E-6	1.5097837998999559E-10	2.301795336522504E-6	1.2980459888601635E-9
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=5000, min=3)	NaN	5.846678565E-315	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=600)	NaN	8.628639101573563E-10	3.0493128894669013E-15	2.4771103629379167E-9	5.736909192667523E-14
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=30)	NaN	0.0024340231121103024	1.2508804287846866E-6	0.00988936468023882	4.52446213404676E-5
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=10.0)	NaN	0.13672953849690817	1.4173249062897223E-5	6.294229551283151E-5	1.3614356103936871E-5
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=70)	NaN	6.766312487837589E-16	1.045290963758987E-25	5.314348019552461E-15	3.3298612296058466E-23
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	1.441822439731675E-92	1.3843287958857512E-84	9.774496225796646E-60	8.625845251603413E-84
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=50, min=3)	NaN	6.134944624864169E-112	2.456629007505561E-77	2.7300645510374306E-55	5.987874220053913E-76
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=1.0)	NaN	9.409489145977972E-22	1.8191183650101392E-35	2.118438037756453E-21	1.236149296303609E-32
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=1.0)	NaN	1.0679805800871282E-5	2.7650565985526096E-12	1.4837298589862119E-6	8.685844688778035E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=300)	NaN	2.474819955909268E-15	1.9080183986076368E-23	1.709693366199834E-14	1.822457434133524E-21
