fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	50	Normalized kNN (k=1000, min=3)	1.0	0.1483421355840237	0.0685	0.29652069334499537	0.10226470341175911
1	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.41144956436013796	0.13103703703703704	0.5372652857967817	0.19294122726853874
5	50	Normalized kNN (k=1000, min=3)	1.0	0.14995683703562251	0.06953703703703704	0.2930933067024154	0.10298273484573268
5	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4107195798710765	0.13125925925925927	0.5340170008825441	0.19257548864419718
4	50	Normalized kNN (k=1000, min=3)	1.0	0.15400930156755263	0.06881481481481481	0.2979002153874258	0.1031914788268228
1	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.34363718988732495	0.11603703703703704	0.4806029915449769	0.17127406879249102
5	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3449606542496284	0.11753703703703705	0.47883859810106505	0.17259540213817046
4	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4041013284571555	0.12794444444444444	0.5297631769541417	0.18922907766421126
2	50	Normalized kNN (k=1000, min=3)	1.0	0.14528168842551573	0.06653703703703703	0.2871843849030663	0.09924811814346302
1	50	kNN (k=20)	1.0	0.35385255773229146	0.11170370370370371	0.4570468172048662	0.16394116251345695
2	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.41078582721740836	0.13014814814814815	0.5311609277759449	0.19179626429534125
5	50	kNN (k=20)	1.0	0.3516661199400444	0.11183333333333333	0.4506619261355548	0.16321729374530775
4	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3333305717308312	0.11331481481481481	0.4697721047579124	0.16766958616527344
1	50	kNN (k=80)	1.0	0.40180635854410157	0.12427777777777778	0.5065287431228529	0.1825114922493326
5	50	kNN (k=80)	1.0	0.40138690340183286	0.12477777777777779	0.503085343167061	0.18243810707781585
4	50	kNN (k=20)	1.0	0.34770833773239396	0.10916666666666666	0.4474608105569538	0.16065034616619284
2	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.34623592669447406	0.11727777777777779	0.47759643648532507	0.1727401138334851
4	50	kNN (k=80)	1.0	0.3996563197479006	0.12235185185185186	0.50352747129505	0.18048329089227658
2	50	kNN (k=20)	1.0	0.3570796230045275	0.11296296296296296	0.4533781209037062	0.16541872081706316
2	50	kNN (k=80)	1.0	0.400129667942735	0.12455555555555556	0.502805102185548	0.18273458787911087
1	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.3374285230679871	0.1090925925925926	0.4458017098122567	0.16046269953603423
5	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.3361558022325123	0.1080925925925926	0.43846183539862565	0.15819807342118483
4	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.33274468783096894	0.10657407407407407	0.43947491321666854	0.15712482762882476
1	50	Normalized kNN (k=200, min=3)	1.0	0.2963157201278693	0.11375925925925927	0.4882963750227467	0.1704622967842315
2	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.33539020905944045	0.10851851851851851	0.4413595739473777	0.1595078552679388
1	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.4301891355849712	0.1346111111111111	0.5463670411714108	0.19767952931816235
5	50	Normalized kNN (k=200, min=3)	1.0	0.2955462957668906	0.11535185185185184	0.4851330251483274	0.17169742162502333
5	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.42642318278075014	0.13507407407407407	0.5417167546693016	0.19748788472708392
1	50	Normalized kNN (k=10, min=3)	1.0	0.18207724920019583	0.05435185185185185	0.21406986231142403	0.07815897865414415
4	50	Normalized kNN (k=200, min=3)	1.0	0.2933397290543423	0.11224074074074074	0.4817157816147243	0.1683293999555752
1	50	kNN (k=60)	1.0	0.39361063406132146	0.12201851851851851	0.49442346699587714	0.17893467009560823
1	50	Average Rating	1.0	0.10501561212927099	0.050555555555555555	0.20261873318387752	0.07333029558622282
4	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.4203650657481269	0.13094444444444445	0.5366716524647841	0.19310045110556992
2	50	Normalized kNN (k=200, min=3)	1.0	0.2911869337318247	0.11329629629629631	0.48260679146065566	0.1694148454730123
1	50	kNN (k=40)	1.0	0.38312066160725433	0.11959259259259261	0.4870408124770534	0.175613005978639
1	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.41271239095126894	0.1309814814814815	0.5395049024588102	0.193196965753684
5	50	Normalized kNN (k=10, min=3)	1.0	0.18289498843346547	0.05503703703703704	0.21254630029299157	0.07846259848720576
2	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.4261016100755403	0.13398148148148148	0.5414353986549885	0.19662417980424102
5	50	kNN (k=60)	1.0	0.3938013290752186	0.12274074074074075	0.49468290787724645	0.17935409257921286
5	50	Average Rating	1.0	0.10165527653473368	0.05025925925925927	0.1945761487186317	0.07246255420411084
4	50	Normalized kNN (k=10, min=3)	1.0	0.18308434586499447	0.05472222222222222	0.21264223171426816	0.07863001624877701
5	50	kNN (k=40)	1.0	0.37845199411933833	0.11831481481481482	0.4772812603939972	0.17283462815518236
4	50	kNN (k=60)	1.0	0.39030787520993093	0.11975925925925927	0.49176333736468836	0.17642412238037797
4	50	Average Rating	1.0	0.1073052448447936	0.04992592592592593	0.2055336874189141	0.07318896217972685
5	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4102079376786127	0.13116666666666668	0.5335308602264113	0.192456953968515
2	50	Normalized kNN (k=10, min=3)	1.0	0.19128644274893805	0.05592592592592593	0.21978258392463704	0.08046916170493898
4	50	kNN (k=40)	1.0	0.3790755534994055	0.11657407407407408	0.4787918437509304	0.17165209567937176
4	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.40703784117044034	0.12814814814814815	0.5322331501773649	0.18965780669032922
2	50	kNN (k=60)	1.0	0.3938155513970687	0.12233333333333334	0.49359297535300645	0.179412558547449
2	50	Average Rating	1.0	0.09993991318632882	0.04822222222222223	0.19210364431528648	0.0701503707723323
2	50	kNN (k=40)	1.0	0.38227353013612914	0.11935185185185185	0.4798315458209349	0.1748112085630386
2	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4103443166071073	0.1309814814814815	0.5334081994592186	0.19293664549645778
1	50	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.379769230320279	0.11912962962962964	0.4834195501455406	0.17461957081480947
1	50	Normalized kNN (k=40, min=3)	1.0	0.3403855902436233	0.10398148148148148	0.4180988858326967	0.15212930307916336
1	50	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.43105733847859523	0.13662962962962963	0.5548349842853921	0.2007515022708699
5	50	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.37393795839855537	0.11924074074074073	0.47624589731945155	0.1737961233275576
5	50	Normalized kNN (k=40, min=3)	1.0	0.33527087294705926	0.10418518518518519	0.4156654375553557	0.15197680880663075
4	50	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.36908742673636225	0.11566666666666667	0.46933694621115846	0.16992018390095157
1	50	Normalized kNN (k=70, min=3)	1.0	0.3479322235956255	0.11764814814814815	0.4794809071873746	0.17352892747143417
5	50	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.4326327275994771	0.1366851851851852	0.5506735072686814	0.20012117631735568
2	50	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.37681285797934855	0.11911111111111113	0.47605680861508964	0.17396814784630335
1	50	kNN (k=700)	1.0	0.41230272819531205	0.13103703703703704	0.5397851320915692	0.19328614134156905
4	50	Normalized kNN (k=40, min=3)	1.0	0.33361630885491256	0.10287037037037038	0.41823851873823464	0.15125450842374383
5	50	Normalized kNN (k=70, min=3)	1.0	0.35089881784477	0.11814814814814815	0.47896088909276613	0.1736374864944431
4	50	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.42242124848070883	0.13253703703703704	0.5454336999921163	0.19574482484916017
2	50	Normalized kNN (k=40, min=3)	1.0	0.33964322533137536	0.10440740740740742	0.42071514437735474	0.15281497952833006
5	50	kNN (k=700)	1.0	0.41413497529810045	0.13168518518518518	0.5348027205940566	0.19307904124424524
2	50	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.4291985207857584	0.13535185185185183	0.5487230032942586	0.19906264966973372
4	50	Normalized kNN (k=70, min=3)	1.0	0.3438902566999843	0.11377777777777777	0.47443206948175387	0.16889744016879002
1	50	Normalized kNN (k=500, min=3)	1.0	0.2017397079209028	0.08605555555555555	0.3770638539949515	0.12951153226837722
2	50	Normalized kNN (k=70, min=3)	1.0	0.3458177194984795	0.11772222222222223	0.4747284986021205	0.1733640772542349
4	50	kNN (k=700)	1.0	0.4077592121926874	0.1284814814814815	0.5312560955059848	0.19004290426142909
5	50	Normalized kNN (k=500, min=3)	1.0	0.199790790978513	0.08716666666666667	0.37555419354251995	0.1301689431877051
2	50	kNN (k=700)	1.0	0.41043284723595064	0.13024074074074074	0.5307918951742776	0.19173776934187767
1	50	Normalized kNN (k=900, min=3)	1.0	0.15392385761487232	0.07066666666666667	0.3052538880523132	0.1054581481355787
4	50	Normalized kNN (k=500, min=3)	1.0	0.204436174752496	0.08611111111111111	0.3802578032480813	0.1299031688002555
1	50	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.433131632705594	0.13599999999999998	0.5544618266554259	0.2000352709582336
1	50	kNN (k=300)	1.0	0.4187677928111496	0.13135185185185186	0.5377226457331639	0.19342308017299709
1	50	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.4294279362010571	0.1346111111111111	0.5465216393077341	0.19770913943296253
2	50	Normalized kNN (k=500, min=3)	1.0	0.19978685461444196	0.08562962962962964	0.37273429641236966	0.1284218011092544
5	50	Normalized kNN (k=900, min=3)	1.0	0.15383204278726517	0.07033333333333333	0.29679432909313064	0.1042905346433779
5	50	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.4299001632954101	0.13577777777777778	0.548009089519263	0.1989467168161432
5	50	kNN (k=300)	1.0	0.41984795690408055	0.13190740740740742	0.5346073823174256	0.19327832585189741
5	50	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.42699449986936383	0.1350185185185185	0.5423814419660409	0.1973424984956693
4	50	Normalized kNN (k=900, min=3)	1.0	0.1596482999016146	0.0705	0.3059834544208068	0.10578543164661404
4	50	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.427041513757899	0.1325	0.5436389017012068	0.1954207053197485
4	50	kNN (k=300)	1.0	0.4124584520987146	0.12905555555555556	0.5308076707236664	0.19044610056250602
2	50	Normalized kNN (k=900, min=3)	1.0	0.15149439954385754	0.06894444444444445	0.299076995305961	0.10302542326992148
4	50	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.42162520653565144	0.13112962962962962	0.5376962073333653	0.1933951359786102
2	50	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.42783403545132304	0.13546296296296295	0.5501948969437163	0.19930037686533342
2	50	kNN (k=300)	1.0	0.41626651618456184	0.13090740740740742	0.531765874067994	0.19252621937822878
