fold	target size	expected intersection ratio in top n
1	0	0.9793513614204078
2	0	0.9786697503542473
3	0	0.9786498726907829
4	0	0.9785740866370385
5	0	0.9791732833702965
1	1	0.9744453697913499
2	1	0.9738809945653302
3	1	0.9738006500114199
4	1	0.9736266526400122
5	1	0.9744018066442235
1	2	0.9676274727157644
2	2	0.9673390471607721
3	2	0.9676795985131964
4	2	0.9670407020953227
5	2	0.967932007127538
1	5	0.9289773110074424
2	5	0.9296253712535514
3	5	0.9302857919998304
4	5	0.9271192738020527
5	5	0.9288060444607535
1	10	0.7255177539833555
2	10	0.7274045919147888
3	10	0.7259695229262246
4	10	0.7235221272929553
5	10	0.7241056870551731
1	20	0.4191076479611152
2	20	0.41966010323563374
3	20	0.4196612653266051
4	20	0.41853671024051586
5	20	0.4188718689525937
1	50	0.1867522490150811
2	50	0.18691281266588858
3	50	0.1868404984653997
4	50	0.18652891164912258
5	50	0.18661567543115443
1	100	0.09733283242539129
2	100	0.09738649468599272
3	100	0.0973505273685087
4	100	0.09728778835463234
5	100	0.09732132852669091
1	200	0.04978102145416811
2	200	0.049784244116880795
3	200	0.04978594232336822
4	200	0.04977879655844492
5	200	0.04977014596121298
1	500	0.020199629793034905
2	500	0.020201303329242047
3	500	0.02020105055803014
4	500	0.020198310134237844
5	500	0.020200289840538708
1	1000	0.01019949974677655
2	1000	0.010199937071483384
3	1000	0.010199642326267867
4	1000	0.01019903629637101
5	1000	0.010199474950232709
